source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
rule_gambling,Gambling,ALTERNATIVE_TO,money_gp,Money,wagering transfers wealth,,DMG,215,APPENDIX F: GAMBLING,TRUE,page-sweep
campaign_settlement,Taverns and Barracks,GATES,rule_gambling,Gambling,common wherever men gather,,DMG,215,APPENDIX F: GAMBLING,TRUE,page-sweep
rule_dm_discretion,DM as House,GATES,rule_gambling,Card Games,referee deals against the players,,DMG,216,Card Games:,TRUE,page-sweep
rule_tricks,Tricks,DERIVED_FROM,gen_random_dungeon,Dungeon Features,architectural features with hidden functions,,DMG,217,APPENDIX H: TRICKS,TRUE,page-sweep
rule_tricks,Trick Arch,TRIGGERS,rule_sex,Sex Change,one of several random effects,,DMG,217,APPENDIX H: TRICKS,TRUE,page-sweep
rule_tricks,Trick Arch,TRIGGERS,tbl_height_weight,Size Change,enlarges or reduces the subject,,DMG,217,APPENDIX H: TRICKS,TRUE,page-sweep
rule_tricks,Trick Arch,TRIGGERS,rule_planar_travel,Teleportation,may transport to a distant area,,DMG,217,APPENDIX H: TRICKS,TRUE,page-sweep
rule_tricks,Trick Container,ALTERNATIVE_TO,monster_special,Polymorphed Monster,alternates between treasure and a creature,,DMG,217,APPENDIX H: TRICKS,TRUE,page-sweep
spell_polymorph_other,Polymorph,OVERRIDES,rule_tricks,Trick Container,fixes the object in one form permanently,,DMG,217,APPENDIX H: TRICKS,TRUE,page-sweep
spell_dispel_magic,Dispel Magic,OVERRIDES,rule_tricks,Trick Container,fixes the object in one form permanently,,DMG,217,APPENDIX H: TRICKS,TRUE,page-sweep
rule_tricks,Trick Secret Door,GATES,ex_secret_doors,Secret Door,a hidden second stud changes the destination,,DMG,217,APPENDIX H: TRICKS,TRUE,page-sweep
rule_tricks,Trick Fountain,TRIGGERS,save_poison,Saving Throw vs Poison,failure to answer a riddle sprays poison,,DMG,217,APPENDIX H: TRICKS,TRUE,page-sweep
rule_tricks,Trick Fountain,FEEDS_INTO,tbl_treasure_map,Treasure Clue,a correct answer yields a clue,,DMG,217,APPENDIX H: TRICKS,TRUE,page-sweep
gen_dungeon_dressing,Chamber and Room List,FEEDS_INTO,gen_random_dungeon,Room Purpose,names a function for generated spaces,,DMG,220,"CHAMBER, ROOM, AND OTHER SPACE LIST",TRUE,page-sweep
rule_herbs,Herbs and Spices,FEEDS_INTO,item_brew_potion,Potion Formulae,reference for components,,DMG,220,"APPENDIX J: HERBS, SPICES AND MEDICINAL VEGETABLES",TRUE,page-sweep
rule_herbs,Herbs,ALTERNATIVE_TO,spell_cure_disease,Medicinal Treatment,plants treat disorders by body system,,DMG,220,"APPENDIX J: HERBS, SPICES AND MEDICINAL VEGETABLES",TRUE,page-sweep
rule_herbs,Wolfsbane,FEEDS_INTO,rule_lycanthropy_cure_regimen,Lycanthropy Cure,a named component of the cure,,DMG,220,"APPENDIX J: HERBS, SPICES AND MEDICINAL VEGETABLES",TRUE,page-sweep
rule_herbs,Garlic,EXCLUDES,monster_undead,Vampires,wards off the undead,,DMG,221,"APPENDIX J: HERBS, SPICES AND MEDICINAL VEGETABLES",TRUE,page-sweep
rule_herbs,Herbs,OVERRIDES,save_poison,Anti-Venom,some plants counter poison,,DMG,221,"APPENDIX J: HERBS, SPICES AND MEDICINAL VEGETABLES",TRUE,page-sweep
rule_herbs,Herbs,TRIGGERS,save_poison,Poisonous Plants,several listed plants are toxic,,DMG,221,"APPENDIX J: HERBS, SPICES AND MEDICINAL VEGETABLES",TRUE,page-sweep
rule_herbs,Herbs,OVERRIDES,tbl_parasite,Parasitic Infestation,some plants kill parasites,,DMG,221,"APPENDIX J: HERBS, SPICES AND MEDICINAL VEGETABLES",TRUE,page-sweep
rule_magical_substances,Describing Magical Substances,FEEDS_INTO,item_nonstandard,Item Description,appearance colour and consistency tables,,DMG,221,APPENDIX K: DESCRIBING MAGICAL SUBSTANCES,TRUE,page-sweep
