source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
tbl_npc_magic_items,Chance Per Level For Magic Item,GATES,gen_random_encounter,City Encounters,encountered characters may carry items,,DMG,194,APPENDIX D: CREATURES FROM THE LOWER PLANES,TRUE,page-sweep
exp_level,NPC Level,MODIFIES,tbl_npc_magic_items,Chance Per Level For Magic Item,chance scales with level,,DMG,194,Magic Possessed by Encountered Creatures,TRUE,page-sweep
sys_classes,Character Class,GATES,tbl_npc_magic_items,Item Type,each class has its own item probabilities,,DMG,194,CHANCE PER LEVEL FOR MAGIC ITEM,TRUE,page-sweep
tbl_npc_magic_items,Encountered Items,CONSTRAINS,item_magic_item,Item Power,power must suit the possessor's level,,DMG,194,Magic Possessed by Encountered Creatures,TRUE,page-sweep
tbl_npc_magic_items,Encountered Items,TRIGGERS,cbt_melee,Item Use,items are employed before interaction,,DMG,194,Magic Possessed by Encountered Creatures,TRUE,page-sweep
monster_undead,Vampire,MODIFIES,gen_random_encounter,City Encounters,ranges the settlement in several forms,,DMG,194,APPENDIX D: CREATURES FROM THE LOWER PLANES,TRUE,page-sweep
gen_lower_planes,Lower Planes Creature Generation,FEEDS_INTO,monster_demon_devil,Demons and Devils,builds new creatures feature by feature,,DMG,195,APPENDIX D: CREATURES FROM THE LOWER PLANES,TRUE,page-sweep
gen_lower_planes,Creature Generation,FEEDS_INTO,monster_special,Physical Features,skin back colour wings arms hands and legs,,DMG,195,APPENDIX D: CREATURES FROM THE LOWER PLANES,TRUE,page-sweep
gen_lower_planes,Creature Generation,TRIGGERS,save_poison,Poison,generated attacks may be poisoned,,DMG,195,APPENDIX D: CREATURES FROM THE LOWER PLANES,TRUE,page-sweep
gen_lower_planes,Generated Poison,MODIFIES,save_poison,Saving Throw,potency varies by generated result,,DMG,195,APPENDIX D: CREATURES FROM THE LOWER PLANES,TRUE,page-sweep
gen_lower_planes,Creature Generation,TRIGGERS,rule_insanity,Insanity,some generated attacks cause madness,,DMG,195,APPENDIX D: CREATURES FROM THE LOWER PLANES,TRUE,page-sweep
gen_lower_planes,Creature Generation,TRIGGERS,abil_strength,Weakness,some attacks permanently drain ability,,DMG,195,APPENDIX D: CREATURES FROM THE LOWER PLANES,TRUE,page-sweep
rule_dm_discretion,DM Creativity,GATES,gen_lower_planes,Creature Generation,referee reconciles incompatible features,,DMG,195,APPENDIX D: CREATURES FROM THE LOWER PLANES,TRUE,page-sweep
tbl_monster_listing,Alphabetical Monster Listing,FEEDS_INTO,xp_monster,Experience Point Value,base value plus per hit point,,DMG,196,APPENDIX E: ALPHABETICAL MONSTER LISTING,TRUE,page-sweep
tbl_monster_listing,Material Form Destruction,MODIFIES,xp_monster,Experience Point Value,killing permanently multiplies the award,,DMG,199,APPENDIX E: ALPHABETICAL MONSTER LISTING,TRUE,page-sweep
rule_deity,Extraplanar Beings,CONSTRAINS,xp_monster,Experience Point Value,destroying the form is worth far less than true death,,DMG,199,APPENDIX E: ALPHABETICAL MONSTER LISTING,TRUE,page-sweep
tbl_monster_listing,Monster Listing,FEEDS_INTO,magic_resistance,Magic Resistance,resistance percentage per creature,,DMG,198,APPENDIX E: ALPHABETICAL MONSTER LISTING,TRUE,page-sweep
tbl_monster_listing,Monster Listing,FEEDS_INTO,item_magic_weapon,Weapon Threshold,which plus is needed to strike,,DMG,198,APPENDIX E: ALPHABETICAL MONSTER LISTING,TRUE,page-sweep
tbl_traps,Trap List,FEEDS_INTO,rule_traps,Traps,percentile table of trap types,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Trap List,TRIGGERS,ex_falling,Falling,pits chutes and collapsing floors,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Trap List,TRIGGERS,save_poison,Saving Throw vs Poison,poisoned arrows spikes caltrops and gas,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Trap List,TRIGGERS,rule_fear,Fear,fear gas among the gas traps,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Trap List,TRIGGERS,spell_sleep,Sleep,sleep gas among the gas traps,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Trap List,TRIGGERS,spell_slow,Slow,slowing gas among the gas traps,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Trap List,TRIGGERS,abil_strength,Weakness,weakness gas drains ability,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Trap List,TRIGGERS,ex_light_vision,Blindness,blinding gas among the gas traps,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Trap List,TRIGGERS,rule_item_destruction,Corrosion,corroding gas and acid vents damage equipment,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Trap List,TRIGGERS,rule_planar_travel,Teleporter,teleport traps relocate the party,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Trap List,CONSTRAINS,ex_movement_rate,Blocked Passage,falling bars and stone blocks seal routes,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
tbl_traps,Locking Pit,CONSTRAINS,cbt_pursuit_evasion,Escape,locking and flooding pits trap the victim,,DMG,216,APPENDIX G: TRAPS,TRUE,page-sweep
thief_find_remove_traps,Find/Remove Traps,RESOLVED_BY,tbl_traps,Trap List,the skill applies to these mechanical devices,,DMG,216,APPENDIX G: TRAPS,FALSE,page-sweep
