source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
item_artifact,Artifacts and Relics,DERIVED_FROM,item_magic_item,Magic Items,unique item category,,DMG,155,ARTIFACTS AND RELICS,TRUE,prose-sweep
item_artifact,Artifacts and Relics,GATES,tbl_minor_benign,Minor Benign Powers,power table,,DMG,155,ARTIFACTS AND RELICS POWERS/EFFECTS TABLES,TRUE,prose-sweep
item_artifact,Artifacts and Relics,GATES,tbl_major_benign,Major Benign Powers,power table,,DMG,155,ARTIFACTS AND RELICS POWERS/EFFECTS TABLES,TRUE,prose-sweep
item_artifact,Artifacts and Relics,GATES,tbl_minor_malevolent,Minor Malevolent Effects,drawback table,,DMG,155,ARTIFACTS AND RELICS POWERS/EFFECTS TABLES,TRUE,prose-sweep
item_artifact,Artifacts and Relics,GATES,tbl_major_malevolent,Major Malevolent Effects,drawback table,,DMG,155,ARTIFACTS AND RELICS POWERS/EFFECTS TABLES,TRUE,prose-sweep
item_artifact,Artifacts and Relics,GATES,tbl_prime_powers,Prime Powers,greatest power table,,DMG,155,ARTIFACTS AND RELICS POWERS/EFFECTS TABLES,TRUE,prose-sweep
item_artifact,Artifacts and Relics,GATES,tbl_side_effects,Side Effects,incidental effects table,,DMG,155,ARTIFACTS AND RELICS POWERS/EFFECTS TABLES,TRUE,prose-sweep
tbl_minor_benign,Minor Benign Powers,MODIFIES,sys_ability_scores,Ability Scores,adds to major attribute,,DMG,155,TABLE I: MINOR BENIGN POWERS,TRUE,prose-sweep
tbl_minor_benign,Minor Benign Powers,GATES,rule_spell_casting,Spell-Like Powers,spells usable per day,,DMG,155,TABLE I: MINOR BENIGN POWERS,TRUE,prose-sweep
tbl_minor_benign,Minor Benign Powers,GATES,race_infravision,Infravision,granted while held,,DMG,155,TABLE I: MINOR BENIGN POWERS,TRUE,prose-sweep
tbl_minor_benign,Minor Benign Powers,GATES,thief_find_remove_traps,Find Traps,granted power,,DMG,155,TABLE I: MINOR BENIGN POWERS,TRUE,prose-sweep
tbl_minor_benign,Minor Benign Powers,FEEDS_INTO,sys_alignment,Know Alignment,reveals alignment,,DMG,155,TABLE I: MINOR BENIGN POWERS,TRUE,prose-sweep
tbl_minor_malevolent,Minor Malevolent Effects,MODIFIES,abil_charisma,Charisma,temporary loss when power used,,DMG,161,TABLE III: MINOR MALEVOLENT EFFECTS,TRUE,prose-sweep
tbl_minor_malevolent,Minor Malevolent Effects,MODIFIES,save_spell,Saving Throw vs Magic,penalty,,DMG,161,TABLE III: MINOR MALEVOLENT EFFECTS,TRUE,prose-sweep
tbl_minor_malevolent,Minor Malevolent Effects,MODIFIES,save_poison,Saving Throw vs Poison,penalty,,DMG,161,TABLE III: MINOR MALEVOLENT EFFECTS,TRUE,prose-sweep
tbl_minor_malevolent,Minor Malevolent Effects,MODIFIES,cbt_encounter_reactions,Encounter Reactions,hostility in mammals nearby,,DMG,161,TABLE III: MINOR MALEVOLENT EFFECTS,TRUE,prose-sweep
tbl_minor_malevolent,Minor Malevolent Effects,MODIFIES,tbl_gem_value,Gem Value,gems never increase in value,,DMG,161,TABLE III: MINOR MALEVOLENT EFFECTS,TRUE,prose-sweep
tbl_minor_malevolent,Minor Malevolent Effects,OVERRIDES,rule_holy_water,Holy Water,polluted within range,,DMG,161,TABLE III: MINOR MALEVOLENT EFFECTS,TRUE,prose-sweep
tbl_minor_malevolent,Minor Malevolent Effects,OVERRIDES,rule_light_source,Light Sources,small fires extinguished,when major power used,DMG,161,TABLE III: MINOR MALEVOLENT EFFECTS,TRUE,prose-sweep
tbl_minor_malevolent,Minor Malevolent Effects,CONSUMES,rule_provisions,Food and Drink,possessor must eat far more,,DMG,161,TABLE III: MINOR MALEVOLENT EFFECTS,TRUE,prose-sweep
tbl_minor_malevolent,Minor Malevolent Effects,MODIFIES,comeliness,Comeliness,disfiguring effects,,DMG,161,TABLE III: MINOR MALEVOLENT EFFECTS,FALSE,prose-sweep
tbl_prime_powers,Prime Powers,MODIFIES,sys_ability_scores,Ability Scores,permanent raise on command,,DMG,162,TABLE V: PRIME POWERS,TRUE,prose-sweep
tbl_prime_powers,Prime Powers,GATES,magic_resistance,Magic Resistance,granted on command,,DMG,162,TABLE V: PRIME POWERS,TRUE,prose-sweep
tbl_prime_powers,Prime Powers,TRIGGERS,rule_instant_death,Death Ray,no saving throw,,DMG,162,TABLE V: PRIME POWERS,TRUE,prose-sweep
tbl_prime_powers,Prime Powers,GATES,rule_planar_travel,Plane Shift,planar movement,,DMG,162,TABLE V: PRIME POWERS,TRUE,prose-sweep
tbl_prime_powers,Prime Powers,TRIGGERS,monster_demon_devil,Demon Lord or Arch-Devil,summoning power,,DMG,162,TABLE V: PRIME POWERS,TRUE,prose-sweep
item_command_word,Command Word,GATES,tbl_prime_powers,Prime Powers,pronouncement required,,DMG,162,TABLE V: PRIME POWERS,TRUE,prose-sweep
