source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
magic_item_determination,Determination Tables,FEEDS_INTO,xp_magic_items,Experience Point Value,each entry carries an XP award,,DMG,123,TREASURE (RANDOM DETERMINATION),TRUE,page-sweep
magic_item_determination,Determination Tables,FEEDS_INTO,money_gp,Sale Value,each entry carries a gold value,,DMG,123,TREASURE (RANDOM DETERMINATION),TRUE,page-sweep
cursed_item,Cursed Items,EXCLUDED_FROM,xp_magic_items,Experience Point Value,cursed entries award none,,DMG,123,TREASURE (RANDOM DETERMINATION),TRUE,page-sweep
sys_classes,Class Restriction,CONSTRAINS,magic_item_determination,Magic Items,entries are tagged by usable class,,DMG,123,TREASURE (RANDOM DETERMINATION),TRUE,page-sweep
item_magic_armor,Armor Plus,MODIFIES,cbt_armor_class,Armor Class,each plus improves the rating,,DMG,124,III.F. ARMOR AND SHIELD,TRUE,page-sweep
item_magic_armor,Armor Plus,FEEDS_INTO,xp_magic_items,Experience Point Value,value scales with the bonus,,DMG,124,III.F. ARMOR AND SHIELD,TRUE,page-sweep
item_magic_armor,Plate Mail of Vulnerability,DERIVED_FROM,cursed_item,Cursed Item,cursed armor variant,,DMG,124,III.F. ARMOR AND SHIELD,TRUE,page-sweep
item_magic_armor,Plate Mail of Etherealness,GATES,rule_planar_travel,Ethereal Plane,armor grants planar movement,,DMG,124,III.F. ARMOR AND SHIELD,TRUE,page-sweep
item_magic_weapon,Weapon Plus,MODIFIES,cbt_tohit,To-Hit Roll,each plus improves the attack,,DMG,125,III.H. MISCELLANEOUS WEAPONS,TRUE,page-sweep
item_magic_weapon,Weapon Plus,MODIFIES,cbt_damage,Damage,each plus improves damage,,DMG,125,III.H. MISCELLANEOUS WEAPONS,TRUE,page-sweep
monster_size,Opponent Size,MODIFIES,item_magic_weapon,Situational Bonus,some weapons vary their plus by target size,,DMG,125,III.H. MISCELLANEOUS WEAPONS,TRUE,page-sweep
item_magic_weapon,Cursed Backbiter,DERIVED_FROM,cursed_item,Cursed Item,cursed weapon variant,,DMG,125,III.H. MISCELLANEOUS WEAPONS,TRUE,page-sweep
item_magic_weapon,Dagger of Venom,TRIGGERS,save_poison,Saving Throw vs Poison,delivers venom,,DMG,125,III.H. MISCELLANEOUS WEAPONS,FALSE,page-sweep
sword_alignment,Sword Alignment,TRIGGERS,cbt_damage,Touch Damage,mismatched wielders are injured on any contact,,DMG,167,TREASURE (SWORDS),TRUE,page-sweep
sword_ego_vs_personality,Sword Ego,FEEDS_INTO,cbt_damage,Touch Damage,damage equals the sword's ego points,,DMG,167,TREASURE (SWORDS),TRUE,page-sweep
sword_intelligence,Sword Intelligence,GATES,sword_primary_abilities,Primary Abilities,rolled from a detection table,,DMG,167,Table 3.: Sword Primary Abilities,TRUE,page-sweep
sword_primary_abilities,Primary Abilities,GATES,rule_detection,Detection,swords detect traps doors metals and magic,,DMG,167,Table 3.: Sword Primary Abilities,TRUE,page-sweep
