source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass,status
rule_superior_force,Obviously Superior Force,TRIGGERS,cbt_morale,Morale Check,checked every round,,DMG,240,MORALE,TRUE,page-sweep,core
rule_party_losses,Party Casualties,MODIFIES,cbt_morale,Morale Check,thresholds at quarter and half,,DMG,240,Morale Checks Made When,TRUE,page-sweep,core
hit_points,Personal Wound Damage,ALTERNATIVE_TO,rule_party_losses,Party Casualties,individual damage counts as party loss,,DMG,240,Morale Checks Made When,TRUE,page-sweep,core
rule_liege_status,Leader Unconscious,MODIFIES,cbt_morale,Morale Check,penalty to the roll,,DMG,240,Morale Checks Made When,TRUE,page-sweep,core
rule_liege_status,Leader Slain or Deserts,MODIFIES,cbt_morale,Morale Check,the largest single penalty,,DMG,240,Morale Checks Made When,TRUE,page-sweep,core
hench_desertion,Enemy Desertion,MODIFIES,cbt_morale,Morale Check,improves the check,,DMG,240,Other Morale Check Modifiers,TRUE,page-sweep,core
cbt_damage,One-Sided Casualties,MODIFIES,cbt_morale,Morale Check,strongest positive modifier,,DMG,240,Other Morale Check Modifiers,TRUE,page-sweep,core
rule_outnumbered,Outnumbered and Outclassed,MODIFIES,cbt_morale,Morale Check,worst situational penalty,,DMG,240,Other Morale Check Modifiers,TRUE,page-sweep,core
cbt_morale,Morale Failure,TRIGGERS,cbt_fall_back,Falling Back,mildest failure band,,DMG,240,MORALE FAILURE,TRUE,page-sweep,core
cbt_morale,Morale Failure,TRIGGERS,cbt_pursuit_evasion,Disengage and Retreat,second failure band,,DMG,240,MORALE FAILURE,TRUE,page-sweep,core
cbt_morale,Morale Failure,TRIGGERS,cbt_flee,Flee in Panic,third failure band,,DMG,240,MORALE FAILURE,TRUE,page-sweep,core
cbt_morale,Morale Failure,TRIGGERS,rule_surrender,Surrender,worst failure band,,DMG,240,MORALE FAILURE,TRUE,page-sweep,core
money_gp,Offered Bribe,TRIGGERS,rule_loyalty_check,Loyalty Check,failure means co-operation with the briber,,DMG,240,"TYPICAL LOYALTY, OBEDIENCE, AND MORALE CHECK SITUATIONS",TRUE,page-sweep,core
rule_character_actions,Ordered to Testify Against Liege,TRIGGERS,rule_loyalty_check,Loyalty Check,failure means agreement,,DMG,240,"TYPICAL LOYALTY, OBEDIENCE, AND MORALE CHECK SITUATIONS",TRUE,page-sweep,core
sys_treasure,Goods Left Unattended,TRIGGERS,rule_loyalty_check,Loyalty Check,failure means theft,,DMG,240,"TYPICAL LOYALTY, OBEDIENCE, AND MORALE CHECK SITUATIONS",TRUE,page-sweep,core
rule_character_actions,Abandonment,TRIGGERS,hench_desertion,Desertion,failure means the henchman leaves,,DMG,240,"TYPICAL LOYALTY, OBEDIENCE, AND MORALE CHECK SITUATIONS",TRUE,page-sweep,core
rule_quest,Ordered to Perform Heroic Act,TRIGGERS,rule_loyalty_check,Loyalty Check,failure means refusal,,DMG,240,"TYPICAL LOYALTY, OBEDIENCE, AND MORALE CHECK SITUATIONS",TRUE,page-sweep,core
item_magic_item,Ordered to Expend Own Magic,TRIGGERS,rule_loyalty_check,Loyalty Check,failure means refusal,,DMG,240,"TYPICAL LOYALTY, OBEDIENCE, AND MORALE CHECK SITUATIONS",TRUE,page-sweep,core
rule_waterborne_travel,Water Setting,GATES,spell_monster_summoning,Summoned Monsters,separate fresh and salt water tables,,DMG,224,APPENDIX M: SUMMONED MONSTERS,TRUE,page-sweep,core
rule_water_type,Fresh or Salt Water,FEEDS_INTO,spell_monster_summoning,Summoned Monsters,different creature lists,,DMG,224,APPENDIX M: SUMMONED MONSTERS,TRUE,page-sweep,core
rule_dm_discretion,DM Selection,OVERRIDES,spell_monster_summoning,Random Determination,the referee may choose the creature and numbers,,DMG,224,APPENDIX M: SUMMONED MONSTERS,TRUE,page-sweep,core
rule_dm_discretion,Perceived Bias,CONSTRAINS,rule_dm_discretion,DM Selection,random rolling avoids accusations of favouritism,,DMG,224,APPENDIX M: SUMMONED MONSTERS,TRUE,page-sweep,core
item_ring,Elemental Command Ring,GATES,rule_spell_casting,Elemental Spell Powers,each ring grants a themed spell suite,,DMG,130,TREASURE (RINGS),TRUE,page-sweep,core
item_ring,Elemental Command Ring,DERIVED_FROM,cursed_item,Disguised Item,masquerades as a lesser ring until a condition is met,,DMG,130,TREASURE (RINGS),TRUE,page-sweep,core
rule_dm_discretion,Established Condition,GATES,item_ring,Elemental Command Ring,the referee sets the revealing condition,,DMG,130,TREASURE (RINGS),TRUE,page-sweep,core
item_ring,Magic Ring,RESOLVED_BY,exp_level,Effective Caster Level,rings operate at a fixed level or the spell minimum,,DMG,130,TREASURE (RINGS),TRUE,page-sweep,core
item_ring,Ring of Feather Falling,EXCLUDES,ex_falling,Falling Damage,automatic activation past a threshold,,DMG,130,TREASURE (RINGS),TRUE,page-sweep,core
gen_dungeon_dressing,Dungeon Dressing,FEEDS_INTO,gen_random_dungeon,Room Detail,furnishings and religious articles,,DMG,218,"Furnishing and Appointments, General",TRUE,page-sweep,core
gen_dungeon_dressing,Religious Articles,FEEDS_INTO,rule_deity,Religious Setting,altars vestments and reliquaries,,DMG,218,Religious Articles and Furnishings:,TRUE,page-sweep,core
