source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
exp_level,Gaining a Level,GATES,rule_spell_book,Spell Book,exactly one new spell per level gained,,DMG,39,Spells Beyond Those At Start:,TRUE,section-sweep
rule_spell_book,Spell Book,CONSTRAINS,rule_magic_user_spells,Magic-User Spells,repertoire grows only by acquisition or level,,DMG,39,Spells Beyond Those At Start:,TRUE,section-sweep
sys_treasure,Captured Spell Books and Scrolls,FEEDS_INTO,rule_spell_book,Spell Book,principal route to new spells,,DMG,39,Spells Beyond Those At Start:,TRUE,section-sweep
rule_npc_magic_user,NPC Magic-User,GATES,rule_spell_book,Spell Book,spells must be bought or cozened,,DMG,39,Spells Beyond Those At Start:,TRUE,section-sweep
rule_npc_magic_user,NPC Magic-User,CONSUMES,money_gp,Money,steep price for spell access,,DMG,39,Spells Beyond Those At Start:,TRUE,section-sweep
rule_npc_magic_user,NPC Magic-User,CONSUMES,item_magic_item,Magic Items,payment in items as well as coin,,DMG,39,Spells Beyond Those At Start:,TRUE,section-sweep
rule_npc_magic_user,NPC Magic-User,TRIGGERS,rule_quest,Quest,service demanded in exchange for spells,,DMG,39,Spells Beyond Those At Start:,TRUE,section-sweep
rule_npc_magic_user,Spell Trade,CONSUMES,sys_treasure,Excess Treasure,drains surplus wealth from the campaign,,DMG,39,Spells Beyond Those At Start:,TRUE,section-sweep
rule_player_character,Player Cooperation,ALTERNATIVE_TO,rule_npc_magic_user,NPC Magic-User,spells exchanged between player magic-users,,DMG,39,Spells Beyond Those At Start:,TRUE,section-sweep
class_illusionist,Illusionist,DERIVED_FROM,rule_magic_user_spells,Spell Acquisition,same acquisition rules apply,,DMG,39,Acquisition of Illusionists' Spells,TRUE,section-sweep
rule_terrain,Terrain Type,GATES,gen_wandering_monsters,Encounter Check,which times of day are checked,,DMG,47,FREQUENCY OF ENCOUNTER CHANCE TIME CHECKS:,TRUE,section-sweep
rule_time_of_day,Time of Day,GATES,gen_wandering_monsters,Encounter Check,six daily check points,,DMG,47,FREQUENCY OF ENCOUNTER CHANCE TIME CHECKS:,TRUE,section-sweep
rule_terrain,Forest,MODIFIES,gen_wandering_monsters,Encounter Check,checked at every time of day,,DMG,47,FREQUENCY OF ENCOUNTER CHANCE TIME CHECKS:,TRUE,section-sweep
rule_terrain,Desert,MODIFIES,gen_wandering_monsters,Encounter Check,few daylight checks,,DMG,47,FREQUENCY OF ENCOUNTER CHANCE TIME CHECKS:,TRUE,section-sweep
gen_wandering_monsters,Encounter Check,TRIGGERS,gen_random_encounter,Random Encounter,rolled at each checkpoint,,DMG,47,FREQUENCY OF ENCOUNTER CHANCE TIME CHECKS:,TRUE,section-sweep
rule_terrain,Terrain,FEEDS_INTO,ex_movement_rate,Outdoor Movement,terrain governs travel,,DMG,47,ADVENTURES IN THE OUTDOORS,TRUE,section-sweep
sys_alignment,Alignment,MODIFIES,rule_npc_characteristics,Character Behavior,dictates much of PC behavior,,DMG,15,PLAYER CHARACTER RACIAL TENDENCIES,TRUE,section-sweep
race,Racial Characteristics,MODIFIES,rule_npc_characteristics,Character Behavior,temperament guidelines per race,,DMG,15,PLAYER CHARACTER RACIAL TENDENCIES,TRUE,section-sweep
tbl_height_weight,NPC Height and Weight Tables,FEEDS_INTO,rule_player_character,Player Character,used for PCs as well,,DMG,15,PLAYER CHARACTER RACIAL TENDENCIES,TRUE,section-sweep
rule_dm_discretion,DM Non-Interference,CONSTRAINS,rule_npc_characteristics,Personality,players develop their own personae,,DMG,15,PLAYER CHARACTER RACIAL TENDENCIES,TRUE,section-sweep
