source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
rule_mental_attack,Mental Attack,TRIGGERS,rule_insanity,Insanity,madness inflicted,,DMG,83,INSANITY,TRUE,prose-sweep
cursed_item,Curse,TRIGGERS,rule_insanity,Insanity,madness inflicted,,DMG,83,INSANITY,TRUE,prose-sweep
rule_insanity,Insanity,MODIFIES,rule_character_actions,Character Behavior,DM assumes the role,,DMG,83,INSANITY,TRUE,prose-sweep
psi_attack_modes,Psionic Attack,TRIGGERS,rule_insanity,Insanity,mild insanities subject to psionic attack,,DMG,83,INSANITY,TRUE,prose-sweep
rule_insanity,Insanity,TRIGGERS,rule_alcohol,Alcohol,dipsomania compels drinking,specific insanity type,DMG,83,INSANITY,TRUE,prose-sweep
potion_miscibility,Potion Miscibility,TRIGGERS,cbt_damage,Damage,explosion on adverse result,,DMG,119,POTION MISCIBILITY,TRUE,prose-sweep
potion_miscibility,Potion Miscibility,TRIGGERS,save_poison,Poison,lethal poison result,,DMG,119,POTION MISCIBILITY,TRUE,prose-sweep
rule_potion_use,Drinking a Potion,TRIGGERS,potion_miscibility,Potion Miscibility,test required,while another is in effect,DMG,119,POTION MISCIBILITY,TRUE,prose-sweep
potion_miscibility,Potion Miscibility,TRIGGERS,rule_planar_travel,Ethereal Plane,imbiber may be lost,specific potion combination,DMG,119,POTION MISCIBILITY,TRUE,prose-sweep
item_command_word,Command Word,GATES,rule_magic_item_use,Magic Item Use,required for rods staves wands,,DMG,121,COMMAND WORDS,TRUE,prose-sweep
rule_spell_book,Spell Book,FEEDS_INTO,item_command_word,Command Word,words recorded by spell users,,DMG,121,COMMAND WORDS,TRUE,prose-sweep
rule_informational_spells,Informational Spells,ALTERNATIVE_TO,item_command_word,Command Word,discovering the word,,DMG,121,COMMAND WORDS,TRUE,prose-sweep
rule_scrying,Crystal Balls and Scrying,TRIGGERS,rule_detection,Detection,observation is detectable,,DMG,121,CRYSTAL BALLS AND SCRYING,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,rule_scrying,Scrying Detection,chance of noticing,,DMG,121,CRYSTAL BALLS AND SCRYING,TRUE,prose-sweep
abil_intelligence,Intelligence,MODIFIES,rule_scrying,Scrying Detection,chance of noticing,,DMG,121,CRYSTAL BALLS AND SCRYING,TRUE,prose-sweep
energy_drain,Energy Drain,TRIGGERS,exp_level_loss,Level Loss,experience level lost,,DMG,120,ENERGY DRAINING,TRUE,prose-sweep
exp_level_loss,Level Loss,MODIFIES,hit_points,Hit Points,points lost with the level,,DMG,120,ENERGY DRAINING,TRUE,prose-sweep
exp_level_loss,Level Loss,MODIFIES,abil_constitution,Constitution,bonus hit points also lost,,DMG,120,ENERGY DRAINING,TRUE,prose-sweep
exp_level_loss,Level Loss,CONSTRAINS,sys_classes,Class Abilities,abilities of that level lost,,DMG,120,ENERGY DRAINING,TRUE,prose-sweep
exp_level_loss,Level Loss,MODIFIES,sys_experience,Experience Points,reduced to midpoint of lower level,,DMG,120,ENERGY DRAINING,TRUE,prose-sweep
monster_undead,Undead,TRIGGERS,energy_drain,Energy Drain,touch attack,,DMG,120,ENERGY DRAINING,TRUE,prose-sweep
item_magic_item,Magic Device,TRIGGERS,energy_drain,Energy Drain,device may drain,,DMG,120,ENERGY DRAINING,TRUE,prose-sweep
