source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
magic_item_determination,Magic Item Tables,GATES,item_ring,Rings,category subtable,,DMG,122,III.C. RINGS,TRUE,page-sweep
magic_item_determination,Magic Item Tables,GATES,item_rod_staff_wand,Rods Staves and Wands,category subtable,,DMG,122,"III.D. RODS, STAVES, & WANDS",TRUE,page-sweep
item_magic_item,Magic Item,FEEDS_INTO,xp_magic_items,Experience Point Value,each item carries an XP award,,DMG,122,III.C. RINGS,TRUE,page-sweep
item_magic_item,Magic Item,FEEDS_INTO,money_gp,Sale Value,each item has a gold piece value,,DMG,122,III.C. RINGS,TRUE,page-sweep
cursed_item,Cursed Item,EXCLUDED_FROM,xp_magic_items,Experience Point Value,cursed items award no experience,,DMG,122,III.C. RINGS,TRUE,page-sweep
item_rod_staff_wand,Rods Staves and Wands,CONSTRAINS,sys_classes,Class Restriction,most items are limited by class,,DMG,122,"III.D. RODS, STAVES, & WANDS",TRUE,page-sweep
item_ring,Powerful Rings,CONSUMES,rule_charges,Charges,most powerful rings may be charge-limited,DM option,DMG,122,III.C. RINGS,TRUE,page-sweep
potion_esp,Potion of ESP,DERIVED_FROM,spell_esp,ESP Spell,duplicates the spell with altered duration,,DMG,126,TREASURE (POTIONS),TRUE,page-sweep
potion_extra_healing,Extra-Healing,MODIFIES,hit_points,Hit Points,restores damage in fractions by dose,,DMG,126,TREASURE (POTIONS),TRUE,page-sweep
potion_extra_healing,Partial Dose,MODIFIES,potion_extra_healing,Extra-Healing,thirds of the potion heal proportionally,,DMG,126,TREASURE (POTIONS),TRUE,page-sweep
potion_fire_resistance,Fire Resistance,EXCLUDES,cbt_damage,Normal Fire,total invulnerability to ordinary flame,,DMG,126,TREASURE (POTIONS),TRUE,page-sweep
potion_fire_resistance,Fire Resistance,MODIFIES,cbt_damage,Magical Fire,reduces damage per die,,DMG,126,TREASURE (POTIONS),TRUE,page-sweep
potion_fire_resistance,Fire Resistance,MODIFIES,save_matrix,Saving Throw,bonus against fire attacks,,DMG,126,TREASURE (POTIONS),TRUE,page-sweep
potion_fire_resistance,Half Dose,MODIFIES,potion_fire_resistance,Fire Resistance,halved benefits and duration,,DMG,126,TREASURE (POTIONS),TRUE,page-sweep
potion_flying,Potion of Flying,DERIVED_FROM,spell_fly,Fly Spell,duplicates the spell,,DMG,126,TREASURE (POTIONS),TRUE,page-sweep
potion_gaseous_form,Gaseous Form,MODIFIES,ex_movement_rate,Movement Rate,slow gaseous drift,,DMG,126,TREASURE (POTIONS),TRUE,page-sweep
potion_gaseous_form,Gaseous Form,FEEDS_INTO,sys_equipment,Carried Gear,possessions become gaseous with the drinker,,DMG,126,TREASURE (POTIONS),TRUE,page-sweep
potion_gaseous_form,Gaseous Form,EXCLUDES,cbt_melee,Physical Attack,gaseous creatures cannot be struck normally,,DMG,126,TREASURE (POTIONS),FALSE,page-sweep
