source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
item_scroll,Protection from Undead,GATES,rule_protection_circle,Circle of Protection,wards physical undead attacks only,,DMG,129,TREASURE (RINGS),TRUE,page-sweep
rule_protection_circle,Circle of Protection,EXCLUDED_FROM,save_spell,Magic Spells,does not protect against spells or other attack forms,,DMG,129,TREASURE (RINGS),TRUE,page-sweep
monster_hd,Undead Hit Dice,CONSTRAINS,rule_protection_circle,Circle of Protection,excess hit dice pass through,,DMG,129,TREASURE (RINGS),TRUE,page-sweep
rule_protection_circle,Leaving the Circle,EXCLUDES,rule_protection_circle,Protection,stepping out ends protection,,DMG,129,TREASURE (RINGS),TRUE,page-sweep
item_scroll,Protection Scrolls,MODIFIES,rule_protection_circle,Circle of Protection,cumulative in effect but not duration,,DMG,129,TREASURE (RINGS),TRUE,page-sweep
item_ring,Magic Ring,CONSTRAINS,rule_magic_item_use,Identification,all rings look alike and must be tested,,DMG,129,RINGS (III.C.),TRUE,page-sweep
item_ring,Magic Ring,EXCLUDED_FROM,sys_alignment,Detect Good or Evil,no ring radiates alignment,,DMG,129,RINGS (III.C.),TRUE,page-sweep
item_ring,Magic Ring,CONSTRAINS,item_ring,Magic Ring,no more than two worn at once,,DMG,129,RINGS (III.C.),TRUE,page-sweep
item_ring,Magic Ring,CONSTRAINS,item_ring,Same Hand,a second ring on one hand disables both,,DMG,129,RINGS (III.C.),TRUE,page-sweep
item_ring,Magic Ring,CONSTRAINS,sys_equipment,Placement,must be worn on the fingers,,DMG,129,RINGS (III.C.),TRUE,page-sweep
exp_level,Caster Level,FEEDS_INTO,item_ring,Ring Spell Abilities,function at a fixed level of magic use,,DMG,129,RINGS (III.C.),TRUE,page-sweep
item_ring,Magic Ring,GATES,sys_classes,All Classes,usable by any class not otherwise prohibited,,DMG,129,RINGS (III.C.),TRUE,page-sweep
monster_special,Monsters with Digits,GATES,item_ring,Magic Ring,some monsters may wear and benefit,,DMG,129,RINGS (III.C.),TRUE,page-sweep
race_dwarf,Dwarf,TRIGGERS,rule_ring_malfunction,Ring Malfunction,chance of failure per use,,DMG,129,RINGS (III.C.),TRUE,page-sweep
race_gnome,Gnome,TRIGGERS,rule_ring_malfunction,Ring Malfunction,chance of failure per use,,DMG,129,RINGS (III.C.),TRUE,page-sweep
race_halfling,Halfling,TRIGGERS,rule_ring_malfunction,Ring Malfunction,chance of failure per use,,DMG,129,RINGS (III.C.),TRUE,page-sweep
rule_ring_malfunction,Ring Malfunction,OVERRIDES,cursed_item,Cursed Ring,a malfunctioning curse is recognised and removable,,DMG,129,RINGS (III.C.),TRUE,page-sweep
item_ring,Ring of Contrariness,DERIVED_FROM,cursed_item,Cursed Item,wearer cannot agree with anything,,DMG,129,Ring of Contrariness:,TRUE,page-sweep
spell_remove_curse,Remove Curse,OVERRIDES,item_ring,Ring of Contrariness,only means of removal,,DMG,129,Ring of Contrariness:,TRUE,page-sweep
item_ring,Ring of Contrariness,CONSTRAINS,spell_remove_curse,Remove Curse,wearer actively resists the casting,,DMG,129,Ring of Contrariness:,TRUE,page-sweep
item_ring,Ring of Contrariness,GATES,item_ring,Secondary Power,carries an additional random property,,DMG,129,Ring of Contrariness:,TRUE,page-sweep
item_ring,Spell Turning,CONSTRAINS,spell_remove_curse,Remove Curse,cumulative castings must reach certainty,,DMG,129,Ring of Contrariness:,TRUE,page-sweep
item_ring,Ring of Contrariness,EXCLUDES,cbt_damage,Self-Harm,wearer will never damage him or herself,,DMG,129,Ring of Contrariness:,TRUE,page-sweep
item_ring,Ring of Delusion,DERIVED_FROM,cursed_item,Cursed Item,wearer believes it is another ring,,DMG,129,Ring of Delusion:,TRUE,page-sweep
item_ring,Ring of Delusion,MODIFIES,rule_player_character,Character Abilities,wearer unconsciously produces the imagined effect,,DMG,129,Ring of Delusion:,TRUE,page-sweep
item_magic_item,Other Magic Items,FEEDS_INTO,item_ring,Ring of Delusion,wearer may unconsciously use other items to fake it,,DMG,129,Ring of Delusion:,TRUE,page-sweep
