source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
rule_helmet,Helmet,MODIFIES,cbt_armor_class,Armor Class,head protected to match the suit,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
rule_helmet,Great Helm,FEEDS_INTO,enc_encumbrance,Encumbrance,adds weight,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
rule_helmet,Great Helm,CONSTRAINS,ex_light_vision,Vision,restricted to a narrow frontal arc,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
rule_helmet,No Helmet,MODIFIES,cbt_tohit,To-Hit Roll,proportion of blows strike the unarmored head,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
monster_intelligence,Intelligent Opponent,MODIFIES,rule_helmet,Head Blows,aims at the head far more often,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
item_magic_armor,Magic Armor,MODIFIES,ex_movement_rate,Base Movement,moves at the next higher rate,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
item_magic_armor,Magic Armor,MODIFIES,enc_encumbrance,Encumbrance,weight halved,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
item_magic_armor,Magic Armor,EXCLUDES,sys_armor,Elven Chain,no magical elven chain exists,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
item_magic_armor,Magic Shield,MODIFIES,enc_encumbrance,Encumbrance,non-bulky though no lighter,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
rule_shield,Shield,MODIFIES,cbt_armor_class,Armor Class,catches blows and missiles,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
rule_shield,Shield,ALTERNATIVE_TO,cbt_pummel_grapple,Offensive Use,may strike or push an opponent,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
rule_shield,Shield,CONSTRAINS,cbt_armor_class,Armor Class,covers only the front and shield side,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
cbt_rear_attack,Attacks from Flank or Rear,EXCLUDES,rule_shield,Shield,benefit negated,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
rule_shield,Large Shield,MODIFIES,cbt_armor_class,Armor Class,improves rating,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
rule_shield,Large Shield,MODIFIES,cbt_missile,Small Missiles,optional extra bonus,DM option,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
rule_shield,Large Shield,FEEDS_INTO,enc_encumbrance,Encumbrance,cumbersome and fatiguing,,DMG,28,ARMOR ARMOR CLASS & WEAPONS,TRUE,page-sweep
dex_defensive_adj,Dexterity Armor Class Bonus,MODIFIES,cbt_armor_class,Armor Class,added to all other protection,,DMG,28,DEXTERITY ARMOR CLASS BONUS,TRUE,page-sweep
sys_armor,Armor Type,EXCLUDED_FROM,dex_defensive_adj,Dexterity Armor Class Bonus,armor never reduces the bonus,,DMG,28,DEXTERITY ARMOR CLASS BONUS,TRUE,page-sweep
cbt_rear_attack,Rear or Flank Attack,EXCLUDES,dex_defensive_adj,Dexterity Armor Class Bonus,no bonus when unable to see the attack,,DMG,28,DEXTERITY ARMOR CLASS BONUS,TRUE,page-sweep
cbt_missile,Large Missiles,EXCLUDES,dex_defensive_adj,Dexterity Armor Class Bonus,giant or engine hurled missiles negate dexterity,,DMG,28,DEXTERITY ARMOR CLASS BONUS,TRUE,page-sweep
rule_magical_attack,Magical Attack,EXCLUDES,dex_defensive_adj,Dexterity Armor Class Bonus,spell device breath or gaze,,DMG,28,DEXTERITY ARMOR CLASS BONUS,TRUE,page-sweep
dex_defensive_adj,Dexterity Defensive Adjustment,MODIFIES,save_matrix,Saving Throw,does apply to saves against those same attacks,,DMG,28,DEXTERITY ARMOR CLASS BONUS,TRUE,page-sweep
rule_dm_discretion,DM Discretion,GATES,wpn_type_vs_ac,Weapon Type Adjustments,optional subsystem,,DMG,28,WEAPON TYPES TO HIT ADJUSTMENT NOTE,TRUE,page-sweep
