source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
monster_size,Creature Size,GATES,cbt_melee,Number of Opponents,how many attackers can engage,,DMG,70,COMBAT (MELEE),TRUE,page-sweep
rule_ground_scale,Ground Scale,FEEDS_INTO,cbt_melee,Number of Opponents,hexes or squares per face,,DMG,70,COMBAT (MELEE),TRUE,page-sweep
monster_size,Defender Size,MODIFIES,cbt_melee,Flank Attacks,larger defenders expose more flank positions,,DMG,70,COMBAT (MELEE),TRUE,page-sweep
cbt_flank_attack,Flank Attack,EXCLUDES,rule_shield,Shield,negates the shield bonus,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
cbt_flank_attack,Rear Flank Attack,EXCLUDES,dex_defensive_adj,Dexterity Bonus,defender cannot see the attacker,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
cbt_rear_attack,Rear Attack,MODIFIES,cbt_tohit,To-Hit Roll,bonus to strike,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
cbt_rear_attack,Rear Attack,EXCLUDES,rule_shield,Shield,shield gives no benefit,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
cbt_rear_attack,Rear Attack,EXCLUDES,dex_defensive_adj,Dexterity Bonus,no dexterity consideration,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
rule_stun,Stunned Prone or Motionless,DERIVED_FROM,cbt_rear_attack,Rear Attack,treated as a rear attack,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
rule_stun,Stunned Prone or Motionless,MODIFIES,cbt_tohit,To-Hit Roll,larger bonus than a rear attack,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
spell_sleep,Magically Sleeping Opponent,OVERRIDES,cbt_tohit,To-Hit Roll,automatically struck,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
spell_hold_person,Held Opponent,OVERRIDES,cbt_tohit,To-Hit Roll,automatically struck,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
spell_sleep,Magically Sleeping Opponent,OVERRIDES,cbt_damage,Damage,maximum weapon damage each hit,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
spell_sleep,Magically Sleeping Opponent,MODIFIES,cbt_attacks_per_round,Attacks Per Round,double the normal number,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
spell_sleep,Helpless Opponent,TRIGGERS,death_character,Automatic Slaying,one per round outside general melee,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
rule_natural_sleep,Naturally Sleeping Opponent,EXCLUDED_FROM,spell_sleep,Magical Sleep Rules,resolved by the assassination table instead,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
rule_invisibility,Invisible Opponent,MODIFIES,cbt_tohit,To-Hit Roll,severe penalty to strike,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
rule_invisibility,Invisible Opponent,GATES,cbt_melee,Being Attacked,only attackable if attacking or detected,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
rule_invisibility,Invisible Opponent,EXCLUDES,cbt_rear_attack,Rear Attack,cannot be flanked or rear-attacked unseen,,DMG,70,Special Types Of Attacks:,TRUE,page-sweep
spell_curse,Curse,MODIFIES,cbt_armor_class,Armor Class,adjustment applied to AC not the die roll,,DMG,70,Important Note Regarding 'To Hit' Adjustments:,TRUE,page-sweep
spell_prayer,Prayer,MODIFIES,cbt_armor_class,Armor Class,adjustment applied to AC not the die roll,,DMG,70,Important Note Regarding 'To Hit' Adjustments:,TRUE,page-sweep
spell_protection_from_evil,Protection from Evil,MODIFIES,cbt_armor_class,Armor Class,adjustment applied to AC not the die roll,,DMG,70,Important Note Regarding 'To Hit' Adjustments:,TRUE,page-sweep
cbt_attack_matrix,Attack Matrix,CONSTRAINS,cbt_tohit,To-Hit Adjustments,downward die adjustment would make foes hit-proof,,DMG,70,Important Note Regarding 'To Hit' Adjustments:,TRUE,page-sweep
spell_bless,Bless,ALTERNATIVE_TO,spell_curse,Curse,reversed forms of one spell,,DMG,70,Important Note Regarding 'To Hit' Adjustments:,TRUE,page-sweep
