source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
rule_planar_travel,Astral and Ethereal Travel,TRIGGERS,gen_random_encounter,Planar Encounters,checked at three points in the journey,,DMG,181,ASTRAL & ETHEREAL ENCOUNTERS,TRUE,table-skim
ex_movement_rate,Relative Speed,GATES,cbt_pursuit_evasion,Planar Evasion,escape only if faster than the creature,,DMG,181,ASTRAL & ETHEREAL ENCOUNTERS,TRUE,table-skim
rule_planar_travel,Planes Crossed,MODIFIES,rule_psychic_wind,Psychic Wind,chance scales per plane or system traversed,,DMG,181,Psychic Wind & Ether Cyclone,TRUE,table-skim
rule_psychic_wind,Psychic Wind,TRIGGERS,gen_random_encounter,Additional Encounter Check,slowed travel adds a check,,DMG,181,ASTRALLY PROJECTED: PSYCHIC WIND,TRUE,table-skim
rule_psychic_wind,Psychic Wind,TRIGGERS,ex_mapping,Becoming Lost,party may be lost for days,,DMG,181,ASTRALLY PROJECTED: PSYCHIC WIND,TRUE,table-skim
rule_psychic_wind,Psychic Wind,OVERRIDES,rule_planar_travel,Destination,may deposit the party elsewhere,,DMG,181,ASTRALLY PROJECTED: PSYCHIC WIND,TRUE,table-skim
rule_ether_cyclone,Ether Cyclone,DERIVED_FROM,rule_psychic_wind,Planar Hazard,ethereal counterpart,,DMG,181,ETHEREAL: ETHER CYCLONE,TRUE,table-skim
rule_dm_discretion,Planar Detail,GATES,rule_psychic_wind,Psychic Wind,cannot be fully used without developed planar material,,DMG,181,Psychic Wind & Ether Cyclone,TRUE,table-skim
gen_random_encounter,Outdoor Encounter Tables,RESOLVED_BY,campaign_climate,Climate Conditions,arctic through tropical tables,,DMG,183,OUTDOOR RANDOM MONSTER ENCOUNTER TABLES,TRUE,table-skim
gen_random_encounter,Outdoor Encounter Tables,RESOLVED_BY,rule_terrain,Terrain,terrain selects the column,,DMG,183,OUTDOOR RANDOM MONSTER ENCOUNTER TABLES,TRUE,table-skim
campaign_settlement,Inhabited or Wilderness,MODIFIES,gen_random_encounter,Outdoor Encounters,settled areas use different tables,,DMG,189,Uninhabited/Wilderness Areas,TRUE,table-skim
gen_random_encounter,Encounter Result,TRIGGERS,gen_random_encounter,Subtables,humanoid giant and demi-human results branch further,,DMG,185,APPENDIX C: RANDOM MONSTER ENCOUNTERS,TRUE,table-skim
gen_random_encounter,City and Town Encounters,RESOLVED_BY,rule_time_of_day,Day or Night,separate day and night columns,,DMG,191,CITY/TOWN ENCOUNTERS MATRIX,TRUE,table-skim
rule_time_of_day,Night,GATES,monster_undead,Undead,undead appear only at night,,DMG,191,CITY/TOWN ENCOUNTERS MATRIX,TRUE,table-skim
rule_time_of_day,Night,GATES,monster_demon_devil,Demons and Devils,lower planar creatures appear only at night,,DMG,191,CITY/TOWN ENCOUNTERS MATRIX,TRUE,table-skim
rule_time_of_day,Night,GATES,rule_lycanthropy,Lycanthropes,were-creatures are far commoner after dark,,DMG,191,CITY/TOWN ENCOUNTERS MATRIX,TRUE,table-skim
gen_random_encounter,City Encounters,TRIGGERS,race,Racial Determination,classed encounters check human or demi-human,,DMG,191,CITY/TOWN ENCOUNTERS MATRIX,TRUE,table-skim
gen_random_encounter,City Encounters,FEEDS_INTO,campaign_social_class,Social Class,beggars through nobles populate the table,,DMG,191,CITY/TOWN ENCOUNTERS MATRIX,TRUE,table-skim
gen_random_encounter,Press Gang,TRIGGERS,hench_ship_crew,Forced Recruitment,characters may be taken for a crew,,DMG,191,CITY/TOWN ENCOUNTERS EXPLANATIONS,FALSE,table-skim
gen_dungeon_dressing,Dungeon Dressing,FEEDS_INTO,gen_random_dungeon,Room Detail,furnishings sounds and odours,,DMG,195,APPENDIX I: DUNGEON DRESSING,TRUE,table-skim
gen_random_encounter,Monster Appearance Tables,FEEDS_INTO,monster_special,Creature Description,skin colour wings and features rolled,,DMG,195,APPENDIX C: RANDOM MONSTER ENCOUNTERS,TRUE,table-skim
