source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
training,Training,GATES,exp_level,Experience Level,no advancement without it,,DMG,86,TRAINING,TRUE,prose-sweep
training,Training,CONSUMES,money_gp,Money,cost per level per week,,DMG,86,TRAINING,TRUE,prose-sweep
training,Training,CONSUMES,rule_time,Game Time,weeks of study,,DMG,86,TRAINING,TRUE,prose-sweep
sys_classes,Character Class,MODIFIES,training,Training,cost varies by class,,DMG,86,TRAINING,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,training,Training,cost scales with current level,,DMG,86,TRAINING,TRUE,prose-sweep
rule_tutor,Tutor,GATES,training,Training,same class mentor required,below name level,DMG,86,TRAINING,TRUE,prose-sweep
rule_tutor,Tutor,CONSTRAINS,exp_level,Experience Level,stuck at level until tutor found,performance score 2 or greater,DMG,86,TRAINING,TRUE,prose-sweep
rule_performance_rating,Performance Rating,MODIFIES,training,Training,training time in weeks,,DMG,86,TRAINING,TRUE,prose-sweep
rule_performance_rating,Performance Rating,OVERRIDES,rule_tutor,Tutor,no tutor needed at low score,doubles training time,DMG,86,TRAINING,TRUE,prose-sweep
exp_level,Experience Level,OVERRIDES,rule_tutor,Tutor,self-training at name level,,DMG,86,TRAINING,TRUE,prose-sweep
rule_tutor,Tutor,CONSUMES,rule_service,Service,may accept service in lieu of gold,DM option,DMG,86,TRAINING,TRUE,prose-sweep
monster_hit_dice,Monster Hit Dice,FEEDS_INTO,xp_monster,Experience Point Value of Monsters,basic value,,DMG,85,EXPERIENCE POINTS VALUE OF MONSTERS,TRUE,prose-sweep
hit_points,Hit Points,FEEDS_INTO,xp_monster,Experience Point Value of Monsters,per hit point award,,DMG,85,EXPERIENCE POINTS VALUE OF MONSTERS,TRUE,prose-sweep
monster_special_abilities,Special Abilities,FEEDS_INTO,xp_monster,Experience Point Value of Monsters,special ability bonus,,DMG,85,EXPERIENCE POINTS VALUE OF MONSTERS,TRUE,prose-sweep
monster_exceptional_abilities,Exceptional Abilities,FEEDS_INTO,xp_monster,Experience Point Value of Monsters,exceptional ability addition,may be doubled,DMG,85,EXPERIENCE POINTS VALUE OF MONSTERS,TRUE,prose-sweep
xp_monster,Experience Point Value of Monsters,FEEDS_INTO,exp_level,Experience Level,awarded for slain opponents,,DMG,85,EXPERIENCE POINTS VALUE OF MONSTERS,TRUE,prose-sweep
item_magic_weapon,Magic Sword,MODIFIES,cbt_tohit,To-Hit Roll,bonus to hit,,DMG,165,SWORDS,TRUE,prose-sweep
item_magic_weapon,Magic Sword,MODIFIES,cbt_damage,Damage,bonus to damage,,DMG,165,SWORDS,TRUE,prose-sweep
item_magic_weapon,Magic Sword,FEEDS_INTO,rule_light,Light,sheds light when drawn,most swords and all daggers,DMG,165,SWORDS,TRUE,prose-sweep
item_magic_weapon,Magic Sword,MODIFIES,cbt_tohit,To-Hit Roll,extra bonus versus specific creature types,,DMG,165,SWORDS,TRUE,prose-sweep
item_magic_weapon,Magic Sword,MODIFIES,rule_lycanthropy,Lycanthropes,bonus versus were creatures,specific swords,DMG,165,SWORDS,TRUE,prose-sweep
sword_intelligence,Sword Intelligence,GATES,sword_communication,Sword Communication,mode by intelligence,,DMG,166,SWORDS,TRUE,prose-sweep
sword_intelligence,Sword Intelligence,GATES,sword_primary_abilities,Primary Abilities,number granted,,DMG,166,SWORDS,TRUE,prose-sweep
sword_intelligence,Sword Intelligence,GATES,sword_extraordinary_power,Extraordinary Power,highest intelligence only,,DMG,166,SWORDS,TRUE,prose-sweep
sword_intelligence,Sword Intelligence,GATES,rule_languages,Languages,sword speaks tongues,,DMG,166,SWORDS,TRUE,prose-sweep
sword_intelligence,Sword Intelligence,GATES,thief_read_languages,Reading Languages,sword can read maps and writings,high intelligence,DMG,166,SWORDS,TRUE,prose-sweep
sword_intelligence,Sword Intelligence,GATES,sys_alignment,Sword Alignment,any intelligent sword has alignment,,DMG,166,SWORDS,TRUE,prose-sweep
sys_alignment,Alignment,CONSTRAINS,item_magic_weapon,Magic Sword,who may wield it,,DMG,166,SWORDS,TRUE,prose-sweep
sword_alignment,Sword Alignment,DERIVED_FROM,rule_alignment_languages,Alignment Languages,sword speaks its own alignment tongue,,DMG,166,SWORDS,TRUE,prose-sweep
cursed_item,Cursed Sword,OVERRIDES,sword_alignment,Sword Alignment,always absolutely neutral,,DMG,166,SWORDS,TRUE,prose-sweep
