source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
abil_strength,Strength,MODIFIES,cbt_tohit,To-Hit Roll,hit probability,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep
abil_strength,Strength,MODIFIES,cbt_damage,Damage,damage dealt,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep
abil_strength,Strength,MODIFIES,enc_weight_allowance,Weight Allowance,carrying capacity,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep
abil_strength,Strength,MODIFIES,str_open_doors,Open Doors,chances out of six,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep
abil_strength,Strength,MODIFIES,str_bend_bars,Bend Bars/Lift Gates,percentage chance,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep
abil_strength,Strength,MODIFIES,sys_experience,Experience Points,prime requisite bonus,fighters at high score,PHB,9,STRENGTH,TRUE,prose-sweep
str_open_doors,Open Doors,ALTERNATIVE_TO,str_bend_bars,Bend Bars/Lift Gates,passing a barrier,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep
str_open_doors,Open Doors,CONSUMES,rule_time,Time,per attempt,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep
str_open_doors,Open Doors,TRIGGERS,rule_noise,Noise,alerts nearby,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep
str_bend_bars,Bend Bars/Lift Gates,CONSTRAINS,str_bend_bars,Bend Bars/Lift Gates,one attempt only ever,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep
str_exceptional,Exceptional Strength,GATES,abil_strength,Strength,percentile rating,fighter classes only,PHB,9,STRENGTH,TRUE,prose-sweep
abil_intelligence,Intelligence,MODIFIES,rule_languages,Languages,number known,,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep
abil_intelligence,Intelligence,MODIFIES,sys_experience,Experience Points,prime requisite bonus,magic-users at high score,PHB,10,INTELLIGENCE,TRUE,prose-sweep
abil_intelligence,Intelligence,MODIFIES,rule_chance_know_spell,Chance to Know Each Listed Spell,learning chance,,PHB,10,INTELLIGENCE TABLE II,TRUE,prose-sweep
abil_intelligence,Intelligence,CONSTRAINS,rule_spells_per_level,Spells Knowable Per Level,minimum and maximum,,PHB,10,INTELLIGENCE TABLE II,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,rule_spell_level_access,High-Level Spell Access,comprehension,5th level and above,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,class_magic_user,Magic-User,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,class_paladin,Paladin,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,class_assassin,Assassin,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,class_ranger,Ranger,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,class_illusionist,Illusionist,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,race_half_elf,Half-Elf,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,race_halfling,Halfling,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep
