source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
sys_classes,Character Class,GATES,sys_alignment,Alignment,may be predetermined,certain classes,PHB,33,ALIGNMENT,TRUE,prose-sweep
class_druid,Druid,GATES,sys_alignment,Alignment,fixed to true neutral,,PHB,33,ALIGNMENT,TRUE,prose-sweep
rule_character_actions,Character Actions,FEEDS_INTO,rule_alignment_graph,Alignment Graph,drift recorded,,PHB,33,ALIGNMENT,TRUE,prose-sweep
rule_alignment_graph,Alignment Graph,MODIFIES,sys_alignment,Alignment,declared alignment may shift,,PHB,33,ALIGNMENT,TRUE,prose-sweep
align_change,Changing Alignment,CONSTRAINS,sys_alignment,Alignment,voluntary change limited,along like axis only,PHB,33,CHANGING ALIGNMENT,TRUE,prose-sweep
align_change,Changing Alignment,ALTERNATIVE_TO,rule_involuntary_change,Involuntary Change,two routes to shift,,PHB,33,CHANGING ALIGNMENT,TRUE,prose-sweep
sys_armor,Armor,FEEDS_INTO,cbt_armor_class,Armor Class,base rating,,PHB,36,ARMOR CLASS TABLE,TRUE,prose-sweep
rule_shield,Shield,MODIFIES,cbt_armor_class,Armor Class,improves rating,,PHB,36,ARMOR CLASS TABLE,TRUE,prose-sweep
item_magic_armor,Magic Armor,MODIFIES,cbt_armor_class,Armor Class,one step per plus,,PHB,36,ARMOR CLASS TABLE,TRUE,prose-sweep
item_magic_armor,Magic Armor,MODIFIES,cbt_tohit,To-Hit Roll,reduces attacker probability,,PHB,36,ARMOR CLASS TABLE,TRUE,prose-sweep
sys_classes,Character Class,CONSTRAINS,sys_equipment,Weapons,permitted selection,,PHB,36,WEAPONS,TRUE,prose-sweep
money_gp,Money,CONSTRAINS,sys_equipment,Weapons,initial cost limits choice,,PHB,36,WEAPONS,TRUE,prose-sweep
sys_classes,Character Class,MODIFIES,prof_weapon,Weapon Proficiency,initial number permitted,,PHB,37,WEAPON PROFICIENCY TABLE,TRUE,prose-sweep
sys_classes,Character Class,MODIFIES,prof_nonproficiency_penalty,Non-Proficiency Penalty,penalty size by class,,PHB,37,WEAPON PROFICIENCY TABLE,TRUE,prose-sweep
prof_nonproficiency_penalty,Non-Proficiency Penalty,MODIFIES,cbt_tohit,To-Hit Roll,subtraction from attack,melee and missile,PHB,37,WEAPON PROFICIENCY TABLE,TRUE,prose-sweep
prof_weapon,Weapon Proficiency,GATES,prof_nonproficiency_penalty,Non-Proficiency Penalty,applies when not proficient,,PHB,37,WEAPON PROFICIENCY TABLE,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,prof_weapon,Weapon Proficiency,additional weapons gained,rate varies by class,PHB,37,WEAPON PROFICIENCY TABLE,TRUE,prose-sweep
cbt_attack_matrix,Attack Matrix,GATES,prof_weapon,Weapon Proficiency,gained on reaching next melee table,,PHB,36,WEAPON PROFICIENCY,TRUE,prose-sweep
prof_weapon,Weapon Proficiency,FEEDS_INTO,item_magic_weapon,Magic Weapon,proficiency carries to magical version,same weapon type,PHB,36,WEAPON PROFICIENCY,TRUE,prose-sweep
wpn_stats,Weapon Statistics,FEEDS_INTO,cbt_damage,Damage,damage by weapon type,,PHB,37,WEIGHT AND DAMAGE BY WEAPON TYPE,TRUE,prose-sweep
monster_size,Opponent Size,FEEDS_INTO,cbt_damage,Damage,selects damage column,,PHB,37,WEIGHT AND DAMAGE BY WEAPON TYPE,TRUE,prose-sweep
wpn_weight,Weapon Weight,FEEDS_INTO,enc_encumbrance,Encumbrance,carried load,,PHB,37,WEIGHT AND DAMAGE BY WEAPON TYPE,TRUE,prose-sweep
wpn_space_required,Space Required,CONSTRAINS,cbt_melee,Melee Combat,room to wield,,PHB,36,WEAPONS,TRUE,prose-sweep
wpn_length,Weapon Length,FEEDS_INTO,cbt_initiative,Initiative,reach on the close,,PHB,36,WEAPONS,FALSE,prose-sweep
