source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
class_assassin,Assassin,DERIVED_FROM,class_thief,Thief,inherits thief functions,,PHB,28,THE ASSASSIN,TRUE,prose-sweep
abil_strength,Strength,GATES,class_assassin,Assassin,eligibility,minimum score,PHB,28,THE ASSASSIN,TRUE,prose-sweep
abil_dexterity,Dexterity,GATES,class_assassin,Assassin,eligibility,minimum score,PHB,28,THE ASSASSIN,TRUE,prose-sweep
class_assassin,Assassin,EXCLUDED_FROM,sys_experience,Prime Requisite Bonus,no ability score bonus,,PHB,28,THE ASSASSIN,TRUE,prose-sweep
class_assassin,Assassin,MODIFIES,hit_points,Hit Points,hit die type,,PHB,28,THE ASSASSIN,TRUE,prose-sweep
sys_alignment,Alignment,GATES,class_assassin,Assassin,evil required,,PHB,28,THE ASSASSIN,TRUE,prose-sweep
class_assassin,Assassin,GATES,sys_equipment,Arms and Shields,any shield and weapon,,PHB,28,THE ASSASSIN,TRUE,prose-sweep
class_assassin,Assassin,FEEDS_INTO,cbt_attack_matrix,Attack Matrix,uses thief tables,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
class_assassin,Assassin,GATES,thief_backstab,Back Stab,inherited ability,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_assassins_guild,Assassins Guild,CONSTRAINS,class_assassin,Assassin,membership pressure,within guild territory,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_assassins_guild,Assassins Guild,GATES,rule_assassination,Assassination,death sentence if non-member,performing assassination,PHB,29,THE ASSASSIN,TRUE,prose-sweep
campaign_territory,Territory,FEEDS_INTO,rule_assassins_guild,Assassins Guild,controlled radius,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
class_assassin,Assassin,GATES,rule_poison_use,Use of Poison,class ability,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_poison_use,Use of Poison,ALTERNATIVE_TO,rule_poison_ingested,Ingested Poison,delivery method,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_poison_use,Use of Poison,ALTERNATIVE_TO,rule_poison_insinuated,Insinuated Poison,delivery method,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_poison_use,Use of Poison,TRIGGERS,rule_poison_detection,Poison Detection,onlookers may notice,bared weapon in view,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_poison_detection,Poison Detection,TRIGGERS,cbt_encounter_reactions,Encounter Reactions,attack or hue and cry,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
cbt_melee_round,Melee Round,MODIFIES,rule_poison_detection,Poison Detection,cumulative chance per round,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
cbt_surprise,Surprise,GATES,tbl_assassination,Assassination Table,must surprise the victim,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
tbl_assassination,Assassination Table,ALTERNATIVE_TO,thief_backstab,Back Stab,attack mode choice,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
tbl_assassination,Assassination Table,ALTERNATIVE_TO,cbt_damage,Normal Melee,attack mode choice,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
tbl_assassination,Assassination Table,TRIGGERS,rule_instant_death,Instant Death,on success,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
tbl_assassination,Assassination Table,FEEDS_INTO,cbt_damage,Damage,normal damage on failure,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
abil_strength,Strength,MODIFIES,tbl_assassination,Assassination Table,damage on failed attempt,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_poison_use,Use of Poison,TRIGGERS,save_poison,Saving Throw vs Poison,victim must save,poisoned weapon used,PHB,29,THE ASSASSIN,TRUE,prose-sweep
save_poison,Saving Throw vs Poison,TRIGGERS,rule_instant_death,Instant Death,on failure,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,rule_alignment_languages,Alignment Languages,ability to learn,high score required,PHB,29,THE ASSASSIN,TRUE,prose-sweep
exp_level,Experience Level,GATES,rule_alignment_languages,Alignment Languages,first language gained,upper levels,PHB,29,THE ASSASSIN,TRUE,prose-sweep
abil_intelligence,Intelligence,CONSTRAINS,rule_alignment_languages,Alignment Languages,maximum number knowable,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_alignment_languages,Alignment Languages,DERIVED_FROM,sys_alignment,Alignment,one tongue per alignment,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_alignment_languages,Alignment Languages,FEEDS_INTO,rule_thieves_cant,Thieves' Cant,selectable by assassins,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_alignment_languages,Alignment Languages,FEEDS_INTO,rule_druidic_language,Druidic,selectable by assassins,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
class_assassin,Assassin,GATES,rule_disguise,Disguise,class ability,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_disguise,Disguise,GATES,rule_poison_use,Use of Poison,creates opportunity,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
rule_disguise,Disguise,GATES,cbt_surprise,Surprise,creates opportunity,,PHB,29,THE ASSASSIN,TRUE,prose-sweep
