source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
rule_dm_discretion,DM Discretion,GATES,class_bard,Bard,inclusion in campaign,optional class,PHB,117,APPENDIX II BARDS,TRUE,prose-sweep
abil_strength,Strength,GATES,class_bard,Bard,eligibility,high minimum score,PHB,117,BARD ABILITIES,TRUE,prose-sweep
abil_wisdom,Wisdom,GATES,class_bard,Bard,eligibility,high minimum score,PHB,117,BARD ABILITIES,TRUE,prose-sweep
abil_dexterity,Dexterity,GATES,class_bard,Bard,eligibility,high minimum score,PHB,117,BARD ABILITIES,TRUE,prose-sweep
abil_charisma,Charisma,GATES,class_bard,Bard,eligibility,high minimum score,PHB,117,BARD ABILITIES,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,class_bard,Bard,eligibility,minimum score,PHB,117,BARD ABILITIES,TRUE,prose-sweep
abil_constitution,Constitution,GATES,class_bard,Bard,eligibility,minimum score,PHB,117,BARD ABILITIES,TRUE,prose-sweep
race,Race,GATES,class_bard,Bard,eligibility,human or half-elven only,PHB,117,BARD RACE,TRUE,prose-sweep
class_bard,Bard,DERIVED_FROM,class_fighter,Fighter,first stage of progression,,PHB,117,THE CLASS,TRUE,prose-sweep
class_bard,Bard,DERIVED_FROM,class_thief,Thief,second stage of progression,,PHB,117,THE CLASS,TRUE,prose-sweep
class_bard,Bard,DERIVED_FROM,class_druid,Druid,third stage under tutelage,,PHB,117,THE CLASS,TRUE,prose-sweep
exp_level,Experience Level,GATES,class_bard,Bard,stage transitions,level windows per class,PHB,117,THE CLASS,TRUE,prose-sweep
class_fighter,Fighter,GATES,class_bard,Bard,must complete fighter stage,,PHB,117,THE CLASS,TRUE,prose-sweep
class_thief,Thief,GATES,class_bard,Bard,must complete thief stage,,PHB,117,THE CLASS,TRUE,prose-sweep
sys_alignment,Alignment,GATES,class_bard,Bard,must remain neutral,,PHB,117,THE CLASS,TRUE,prose-sweep
rule_distraction,Distraction,CONSTRAINS,psi_attack_modes,Psionic Attack,cannot attack while distracted,defenses remain,PHB,117,PSIONICS,TRUE,prose-sweep
psi_attack_blast,Psionic Blast,GATES,monster_nonpsionic,Non-Psionic Creatures,only attack mode usable,,PHB,117,PSIONICS,TRUE,prose-sweep
psi_multiple_operations,Multiple Psionic Operations,MODIFIES,psi_range,Psionic Range,cumulative increase,,PHB,117,MULTIPLE PSIONIC OPERATIONS,TRUE,prose-sweep
psi_multiple_operations,Multiple Psionic Operations,CONSTRAINS,psi_range,Psionic Range,base set by weakest member,,PHB,117,MULTIPLE PSIONIC OPERATIONS,TRUE,prose-sweep
psi_series,Series Linking,MODIFIES,psi_strength_points,Psionic Strength,transfers up the chain,,PHB,117,MULTIPLE PSIONIC OPERATIONS,TRUE,prose-sweep
psi_series,Series Linking,CONSTRAINS,psi_combat,Psionic Combat,only final link engages,,PHB,117,MULTIPLE PSIONIC OPERATIONS,TRUE,prose-sweep
psi_series,Series Linking,TRIGGERS,psi_combat,Psionic Combat,all members share the outcome,,PHB,117,MULTIPLE PSIONIC OPERATIONS,TRUE,prose-sweep
rule_psionic_use,Use of Psionic Powers,TRIGGERS,monster_psionic,Psionic Monsters,may attract attention,within range and attuned,PHB,117,USE OF PSIONIC POWERS,TRUE,prose-sweep
rule_physical_activity,Physical Activity,MODIFIES,psi_recovery,Psionic Strength Recovery,rate of restoration,,PHB,117,RECOVERY OF PSIONIC STRENGTH POINTS,TRUE,prose-sweep
psi_recovery,Psionic Strength Recovery,CONSTRAINS,rule_time,Time,no recovery under one hour,,PHB,117,RECOVERY OF PSIONIC STRENGTH POINTS,TRUE,prose-sweep
psi_recovery,Psionic Strength Recovery,FEEDS_INTO,psi_strength_points,Psionic Strength,points restored,,PHB,117,RECOVERY OF PSIONIC STRENGTH POINTS,TRUE,prose-sweep
