source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
spell_knock,Knock,ALTERNATIVE_TO,thief_open_locks,Open Locks,opening locked portals,,PHB,73,KNOCK,TRUE,prose-sweep
spell_knock,Knock,ALTERNATIVE_TO,str_open_doors,Open Doors,opening stuck or held doors,,PHB,73,KNOCK,TRUE,prose-sweep
spell_knock,Knock,ALTERNATIVE_TO,ex_secret_doors,Secret Doors,causes them to open,,PHB,73,KNOCK,TRUE,prose-sweep
spell_knock,Knock,EXCLUDES,str_bend_bars,Bend Bars/Lift Gates,will not raise bars or portcullis,,PHB,73,KNOCK,TRUE,prose-sweep
spell_knock,Knock,OVERRIDES,spell_wizard_lock,Wizard Lock,suspends but does not remove,wizard-locked portals,PHB,73,KNOCK,TRUE,prose-sweep
spell_knock,Knock,CONSTRAINS,spell_knock,Knock,two functions per casting,multiple impediments need multiple castings,PHB,73,KNOCK,TRUE,prose-sweep
spell_knock,Knock,CONSTRAINS,spell_components,Spell Components,verbal only,,PHB,73,KNOCK,TRUE,prose-sweep
str_bend_bars,Bend Bars/Lift Gates,ALTERNATIVE_TO,thief_open_locks,Open Locks,passing a barrier,,PHB,9,STRENGTH TABLE II,FALSE,prose-sweep
spell_leomunds_trap,Leomund's Trap,MODIFIES,thief_find_remove_traps,Find/Remove Traps,false positive,,PHB,73,LEOMUND'S TRAP,TRUE,prose-sweep
spell_leomunds_trap,Leomund's Trap,MODIFIES,race_dwarf,Dwarf,targets trap-detecting races,,PHB,73,LEOMUND'S TRAP,TRUE,prose-sweep
