source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
race,Race,FEEDS_INTO,tbl_racial_preferences,Racial Preferences Table,attitude by race pair,,PHB,18,RACIAL PREFERENCES,TRUE,prose-sweep
tbl_racial_preferences,Racial Preferences Table,MODIFIES,cbt_encounter_reactions,Encounter Reactions,dealings with other races,,PHB,18,RACIAL PREFERENCES,TRUE,prose-sweep
tbl_racial_preferences,Racial Preferences Table,MODIFIES,hench_hirelings,Hirelings,acquisition difficulty,outside preferred races,PHB,18,RACIAL PREFERENCES,TRUE,prose-sweep
race_subrace,Sub-Race,MODIFIES,tbl_racial_preferences,Racial Preferences Table,attitude shift,halfling sub-races,PHB,18,RACIAL PREFERENCES,TRUE,prose-sweep
class_druid,Druid,DERIVED_FROM,class_cleric,Cleric,sub-class,,PHB,18,CHARACTER CLASSES,TRUE,prose-sweep
class_paladin,Paladin,DERIVED_FROM,class_fighter,Fighter,sub-class,,PHB,18,CHARACTER CLASSES,TRUE,prose-sweep
class_ranger,Ranger,DERIVED_FROM,class_fighter,Fighter,sub-class,,PHB,18,CHARACTER CLASSES,TRUE,prose-sweep
class_illusionist,Illusionist,DERIVED_FROM,class_magic_user,Magic-User,sub-class,,PHB,18,CHARACTER CLASSES,TRUE,prose-sweep
class_assassin,Assassin,DERIVED_FROM,class_thief,Thief,sub-class,,PHB,18,CHARACTER CLASSES,TRUE,prose-sweep
sys_alignment,Alignment,GATES,class_paladin,Paladin,eligibility,lawful good only,PHB,18,CHARACTER CLASSES,TRUE,prose-sweep
sys_alignment,Alignment,GATES,class_assassin,Assassin,eligibility,evil only,PHB,18,CHARACTER CLASSES,TRUE,prose-sweep
rule_multiclass,Multi-Class,CONSTRAINS,sys_classes,Character Class,bound by thief limits,when thief is a component,PHB,18,CHARACTER CLASSES,TRUE,prose-sweep
abil_wisdom,Wisdom,GATES,class_cleric,Cleric,eligibility,higher minimum for multiclass half-elf,PHB,20,THE CLERIC,TRUE,prose-sweep
abil_wisdom,Wisdom,MODIFIES,sys_experience,Experience Points,prime requisite bonus,above 15,PHB,20,THE CLERIC,TRUE,prose-sweep
class_cleric,Cleric,MODIFIES,hit_points,Hit Points,hit die type,,PHB,20,THE CLERIC,TRUE,prose-sweep
sys_alignment,Alignment,CONSTRAINS,class_cleric,Cleric,permitted alignments,true neutral excluded,PHB,20,THE CLERIC,TRUE,prose-sweep
rule_deity,Deity,GATES,rule_cleric_spells,Cleric Spells,spells bestowed,,PHB,20,THE CLERIC,TRUE,prose-sweep
rule_holy_symbol,Holy Symbol,FEEDS_INTO,rule_cleric_spells,Cleric Spells,empowers spells,,PHB,20,THE CLERIC,TRUE,prose-sweep
class_cleric,Cleric,CONSTRAINS,sys_equipment,Weapons,edged and pointed forbidden,,PHB,20,THE CLERIC,TRUE,prose-sweep
rule_cleric_spells,Cleric Spells,CONSTRAINS,spell_components,Spell Components,must be spoken aloud,,PHB,20,THE CLERIC,TRUE,prose-sweep
rule_cleric_spells,Cleric Spells,ALTERNATIVE_TO,rule_spell_reversal,Reversed Spells,attack form,,PHB,20,THE CLERIC,TRUE,prose-sweep
class_cleric,Cleric,TRIGGERS,turn_undead,Turning Undead,turn or command,,PHB,20,THE CLERIC,TRUE,prose-sweep
turn_undead,Turning Undead,RESOLVED_BY,exp_level,Experience Level,matrix by cleric level,,PHB,20,THE CLERIC,TRUE,prose-sweep
turn_undead,Turning Undead,CONSTRAINS,monster_undead,Undead,effectiveness ceiling,hit dice versus cleric level,PHB,20,THE CLERIC,TRUE,prose-sweep
turn_undead,Turning Undead,ALTERNATIVE_TO,cbt_damage,Melee Damage,removing undead,,PHB,20,THE CLERIC,TRUE,prose-sweep
turn_undead,Turning Undead,TRIGGERS,monster_demon_devil,Demons and Devils,driving away,high level clerics only,PHB,20,THE CLERIC,TRUE,prose-sweep
race,Race,CONSTRAINS,class_cleric,Cleric,unlimited advancement,humans only,PHB,20,THE CLERIC,TRUE,prose-sweep
class_cleric,Cleric,FEEDS_INTO,cbt_attack_matrix,Attack Matrix,progression in three-level steps,,PHB,20,THE CLERIC,TRUE,prose-sweep
class_cleric,Cleric,FEEDS_INTO,save_matrix,Saving Throw Matrix,progression in three-level steps,,PHB,20,THE CLERIC,TRUE,prose-sweep
class_cleric,Cleric,GATES,rule_magic_item_use,Magic Item Use,which items usable,,PHB,20,THE CLERIC,TRUE,prose-sweep
exp_level,Experience Level,GATES,class_followers,Followers,attracted at name level,,PHB,20,THE CLERIC,TRUE,prose-sweep
rule_place_of_worship,Place of Worship,GATES,class_followers,Followers,must be established,,PHB,20,THE CLERIC,TRUE,prose-sweep
sys_alignment,Alignment,CONSTRAINS,class_followers,Followers,loyalty lost on change,alignment or deity change,PHB,20,THE CLERIC,TRUE,prose-sweep
class_followers,Followers,CONSTRAINS,money_gp,Money,serve without pay,,PHB,20,THE CLERIC,TRUE,prose-sweep
exp_level,Experience Level,GATES,rule_stronghold,Stronghold,construction option,,PHB,20,THE CLERIC,TRUE,prose-sweep
rule_stronghold,Stronghold,MODIFIES,money_gp,Money,halved construction cost,religious help,PHB,20,THE CLERIC,TRUE,prose-sweep
rule_stronghold,Stronghold,FEEDS_INTO,campaign_territory,Territory,cleared area yields revenue,,PHB,20,THE CLERIC,TRUE,prose-sweep
campaign_territory,Territory,FEEDS_INTO,money_gp,Money,monthly revenue per inhabitant,,PHB,20,THE CLERIC,TRUE,prose-sweep
