source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
class_druid,Druid,CONSTRAINS,rule_stronghold,Stronghold,no castles or towns,,PHB,22,THE DRUID,TRUE,prose-sweep
abil_strength,Strength,GATES,class_fighter,Fighter,eligibility,minimum score,PHB,22,THE FIGHTER,TRUE,prose-sweep
abil_constitution,Constitution,GATES,class_fighter,Fighter,eligibility,minimum score,PHB,22,THE FIGHTER,TRUE,prose-sweep
abil_strength,Strength,MODIFIES,sys_experience,Experience Points,prime requisite bonus,above 15,PHB,22,THE FIGHTER,TRUE,prose-sweep
class_fighter,Fighter,MODIFIES,hit_points,Hit Points,hit die type,,PHB,22,THE FIGHTER,TRUE,prose-sweep
class_fighter,Fighter,GATES,sys_equipment,Arms and Armor,unrestricted use,,PHB,22,THE FIGHTER,TRUE,prose-sweep
class_fighter,Fighter,FEEDS_INTO,cbt_attack_matrix,Attack Matrix,most advantageous progression,,PHB,22,THE FIGHTER,TRUE,prose-sweep
class_fighter,Fighter,FEEDS_INTO,save_matrix,Saving Throw Matrix,progression,,PHB,22,THE FIGHTER,TRUE,prose-sweep
class_fighter,Fighter,GATES,rule_magic_item_use,Magic Item Use,which items usable,,PHB,22,THE FIGHTER,TRUE,prose-sweep
exp_level,Experience Level,GATES,rule_freehold,Freehold,establishment option,,PHB,22,THE FIGHTER,TRUE,prose-sweep
rule_freehold,Freehold,TRIGGERS,class_followers,Followers,attracts men-at-arms,area must be cleared,PHB,22,THE FIGHTER,TRUE,prose-sweep
class_followers,Followers,CONSUMES,money_gp,Money,mercenaries require pay,fighter freehold,PHB,22,THE FIGHTER,TRUE,prose-sweep
rule_freehold,Freehold,FEEDS_INTO,campaign_territory,Territory,cleared radius,,PHB,22,THE FIGHTER,TRUE,prose-sweep
campaign_territory,Territory,FEEDS_INTO,money_gp,Money,monthly revenue per inhabitant,,PHB,22,THE FIGHTER,TRUE,prose-sweep
tbl_fighters_i,Fighters Table I,FEEDS_INTO,exp_level,Experience Level,level by experience points,,PHB,22,FIGHTERS TABLE I,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,hit_points,Hit Points,flat gain past name level,beyond 9th level,PHB,22,FIGHTERS TABLE I,TRUE,prose-sweep
race,Race,GATES,class_paladin,Paladin,eligibility,human only,PHB,22,THE PALADIN,TRUE,prose-sweep
abil_strength,Strength,GATES,class_paladin,Paladin,eligibility,minimum score,PHB,22,THE PALADIN,TRUE,prose-sweep
abil_constitution,Constitution,GATES,class_paladin,Paladin,eligibility,minimum score,PHB,22,THE PALADIN,TRUE,prose-sweep
abil_charisma,Charisma,GATES,class_paladin,Paladin,eligibility,high minimum score,PHB,22,THE PALADIN,TRUE,prose-sweep
abil_strength,Strength,MODIFIES,sys_experience,Experience Points,prime requisite bonus,strength and wisdom both above 15,PHB,22,THE PALADIN,TRUE,prose-sweep
sys_alignment,Alignment,GATES,class_paladin,Paladin,must begin and remain lawful good,,PHB,22,THE PALADIN,TRUE,prose-sweep
rule_chaotic_act,Chaotic Act,TRIGGERS,rule_penance,Penance,confession required,knowing act,PHB,23,THE PALADIN,TRUE,prose-sweep
rule_penance,Penance,GATES,class_paladin,Paladin,status retained,high-level lawful good cleric required,PHB,23,THE PALADIN,TRUE,prose-sweep
rule_evil_act,Evil Act,TRIGGERS,class_paladin_loss,Loss of Paladinhood,immediate and irrevocable,knowing and willing act,PHB,23,THE PALADIN,TRUE,prose-sweep
class_paladin_loss,Loss of Paladinhood,OVERRIDES,rule_magic_item_use,Restorative Magic,no magic can restore,,PHB,23,THE PALADIN,TRUE,prose-sweep
class_paladin_loss,Loss of Paladinhood,FEEDS_INTO,class_fighter,Fighter,reverts to fighter,,PHB,23,THE PALADIN,TRUE,prose-sweep
class_paladin,Paladin,TRIGGERS,rule_detect_evil,Detect Evil,at will,requires concentration,PHB,23,THE PALADIN,TRUE,prose-sweep
class_paladin,Paladin,MODIFIES,save_matrix,Saving Throw Matrix,bonus to all saves,,PHB,23,THE PALADIN,TRUE,prose-sweep
class_paladin,Paladin,EXCLUDES,rule_disease,Disease,immune to all forms,,PHB,23,THE PALADIN,TRUE,prose-sweep
class_paladin,Paladin,TRIGGERS,rule_lay_on_hands,Lay on Hands,healing power,,PHB,23,THE PALADIN,TRUE,prose-sweep
rule_lay_on_hands,Lay on Hands,MODIFIES,hit_points,Hit Points,heals damage,,PHB,23,THE PALADIN,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,rule_lay_on_hands,Lay on Hands,amount healed,,PHB,23,THE PALADIN,TRUE,prose-sweep
rule_lay_on_hands,Lay on Hands,CONSTRAINS,rule_lay_on_hands,Lay on Hands,once per day,,PHB,23,THE PALADIN,TRUE,prose-sweep
class_paladin,Paladin,TRIGGERS,spell_cure_disease,Cure Disease,granted ability,,PHB,23,THE PALADIN,TRUE,prose-sweep
exp_level,Experience Level,GATES,spell_cure_disease,Cure Disease,uses per week,paladin scaling,PHB,23,THE PALADIN,TRUE,prose-sweep
class_paladin,Paladin,TRIGGERS,spell_protection_from_evil,Protection from Evil,continuous aura,,PHB,23,THE PALADIN,TRUE,prose-sweep
exp_level,Experience Level,GATES,turn_undead,Turning Undead,paladin gains at third level,,PHB,23,THE PALADIN,TRUE,prose-sweep
class_paladin,Paladin,DERIVED_FROM,turn_undead,Turning Undead,turns at reduced effective level,,PHB,23,THE PALADIN,TRUE,prose-sweep
