source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
class_ranger,Ranger,EXCLUDES,class_followers,Followers,no mercenaries attracted,at stronghold,PHB,25,RANGERS TABLE I,TRUE,prose-sweep
class_ranger,Ranger,DERIVED_FROM,class_fighter,Fighter,conforms in other respects,,PHB,25,RANGERS TABLE I,TRUE,prose-sweep
tbl_rangers_i,Rangers Table I,FEEDS_INTO,exp_level,Experience Level,level by experience points,,PHB,25,RANGERS TABLE I,TRUE,prose-sweep
exp_level,Experience Level,GATES,rule_ranger_spells,Ranger Spell Use,spell access,upper levels only,PHB,25,SPELLS USABLE BY CLASS AND LEVEL,TRUE,prose-sweep
rule_ranger_spells,Ranger Spell Use,DERIVED_FROM,rule_druid_spells,Druid Spells,limited druidic access,,PHB,25,SPELLS USABLE BY CLASS AND LEVEL,TRUE,prose-sweep
rule_ranger_spells,Ranger Spell Use,DERIVED_FROM,rule_magic_user_spells,Magic-User Spells,limited arcane access,,PHB,25,SPELLS USABLE BY CLASS AND LEVEL,TRUE,prose-sweep
rule_chance_know_spell,Chance to Know Each Listed Spell,GATES,rule_ranger_spells,Ranger Spell Use,must check as magic-user,arcane spells only,PHB,25,SPELLS USABLE BY CLASS AND LEVEL,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,cbt_attacks_per_round,Attacks Per Melee Round,rate increases,fighter classes,PHB,25,ATTACKS PER MELEE ROUND TABLE,TRUE,prose-sweep
cbt_attacks_per_round,Attacks Per Melee Round,CONSTRAINS,sys_equipment,Weapons,thrusting or striking only,,PHB,25,ATTACKS PER MELEE ROUND TABLE,TRUE,prose-sweep
cbt_attacks_per_round,Attacks Per Melee Round,EXCLUDED_FROM,monster_low_hit_dice,Creatures Under One Hit Die,normal rate does not apply,,PHB,25,ATTACKS PER MELEE ROUND TABLE,TRUE,prose-sweep
exp_level,Experience Level,OVERRIDES,cbt_attacks_per_round,Attacks Per Melee Round,one attack per level,versus sub-one-hit-die creatures,PHB,25,ATTACKS PER MELEE ROUND TABLE,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,class_magic_user,Magic-User,eligibility,minimum score,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
abil_dexterity,Dexterity,GATES,class_magic_user,Magic-User,eligibility,minimum score,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
abil_intelligence,Intelligence,MODIFIES,sys_experience,Experience Points,prime requisite bonus,high score,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
class_magic_user,Magic-User,MODIFIES,hit_points,Hit Points,hit die type,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
class_magic_user,Magic-User,FEEDS_INTO,cbt_attack_matrix,Attack Matrix,least favorable progression,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
class_magic_user,Magic-User,CONSTRAINS,sys_armor,Armor,no armor permitted,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
class_magic_user,Magic-User,CONSTRAINS,sys_equipment,Weapons,very limited selection,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
rule_spell_book,Spell Book,GATES,rule_spell_memorization,Spell Memorization,must consult to prepare,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
rule_spell_casting,Casting a Spell,CONSUMES,rule_spell_memorization,Spell Memorization,expended on use,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
rule_spell_memorization,Spell Memorization,GATES,rule_spell_casting,Casting a Spell,must be prepared first,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
rule_magic_user_spells,Magic-User Spells,CONSTRAINS,spell_components,Spell Components,must be spoken aloud,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
rule_spell_book,Spell Book,CONSUMES,rule_research,Study and Research,preparation of each new book,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
class_magic_user,Magic-User,GATES,rule_magic_item_use,Magic Item Use,scrolls wands staves,class-exclusive items,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
exp_level,Experience Level,GATES,item_scribe_scroll,Scribing Scrolls,ability unlocked,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
exp_level,Experience Level,GATES,item_brew_potion,Concocting Potions,ability unlocked,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
exp_level,Experience Level,GATES,item_enchant,Enchanting Items,ability unlocked,higher level,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
item_scribe_scroll,Scribing Scrolls,CONSUMES,rule_time,Time,weeks to months,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
item_scribe_scroll,Scribing Scrolls,CONSUMES,money_gp,Money,costly process,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
item_brew_potion,Concocting Potions,CONSUMES,rule_time,Time,extended period,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
item_enchant,Enchanting Items,CONSUMES,money_gp,Money,costly process,,PHB,25,THE MAGIC-USER,TRUE,prose-sweep
