source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
rule_communication,Communication,GATES,rule_negotiation,Negotiation,must be able to convey intent,,PHB,104,COMMUNICATION,TRUE,prose-sweep
rule_languages,Languages,GATES,rule_communication,Communication,common tongue,,PHB,104,COMMUNICATION,TRUE,prose-sweep
rule_negotiation,Negotiation,ALTERNATIVE_TO,cbt_melee,Melee Combat,resolving an encounter,,PHB,104,NEGOTIATION,TRUE,prose-sweep
rule_negotiation,Negotiation,CONSUMES,money_gp,Money,bribe toll or ransom,,PHB,104,NEGOTIATION,TRUE,prose-sweep
monster_intelligence,Monster Intelligence,MODIFIES,rule_negotiation,Negotiation,balances offer against expectation,,PHB,104,NEGOTIATION,TRUE,prose-sweep
rule_party_strength,Perceived Party Strength,MODIFIES,rule_negotiation,Negotiation,weakness is exploited,,PHB,104,NEGOTIATION,TRUE,prose-sweep
turn_undead,Turning Undead,DERIVED_FROM,sys_combat,Combat,a form of attack,,PHB,104,COMBAT,TRUE,prose-sweep
rule_breath_weapon,Breath Weapon,DERIVED_FROM,sys_combat,Combat,a form of attack,,PHB,104,COMBAT,TRUE,prose-sweep
rule_gaze_attack,Gaze Weapon,DERIVED_FROM,sys_combat,Combat,a form of attack,,PHB,104,COMBAT,TRUE,prose-sweep
cbt_initiative,Initiative,GATES,cbt_melee,Melee Combat,determines first blow,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
cbt_attacks_per_round,Attacks Per Melee Round,OVERRIDES,cbt_initiative,Initiative,multiple attackers strike first,against single-attack opponents,PHB,104,MELEE COMBAT,TRUE,prose-sweep
wpn_length,Weapon Length,MODIFIES,cbt_initiative,Initiative,affects order of attack,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
rule_position,Position,MODIFIES,cbt_initiative,Initiative,affects order of attack,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
spell_haste,Haste,MODIFIES,cbt_melee,Melee Combat,doubled attack rate,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
spell_slow,Slow,MODIFIES,cbt_melee,Melee Combat,halved attack rate,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
cbt_parry,Parry,MODIFIES,cbt_tohit,To-Hit Roll,strength bonus subtracted from opponent,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
cbt_parry,Parry,EXCLUDES,cbt_melee,Melee Attack,no return attack that round,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
abil_strength,Strength,FEEDS_INTO,cbt_parry,Parry,bonus becomes defensive,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
cbt_fall_back,Falling Back,ALTERNATIVE_TO,cbt_parry,Parry,may be combined,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
cbt_flee,Fleeing,TRIGGERS,cbt_rear_attack,Rear Attack,exposes the character,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
ex_movement_rate,Movement Rate,GATES,cbt_flee,Fleeing,pursuit requires equal speed,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
cbt_melee,Melee Combat,TRIGGERS,rule_poison_use,Poison,touch attack form,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
cbt_melee,Melee Combat,TRIGGERS,save_petrify,Petrification,touch attack form,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
cbt_melee,Melee Combat,TRIGGERS,exp_level_loss,Energy Level Loss,touch attack form,,PHB,104,MELEE COMBAT,TRUE,prose-sweep
rule_dm_discretion,DM Discretion,GATES,sys_psionics,Psionics,optional subsystem,,PHB,110,APPENDIX I PSIONICS,TRUE,prose-sweep
abil_intelligence,Intelligence,GATES,psi_ability,Psionic Ability,high score required,,PHB,110,APPENDIX I PSIONICS,TRUE,prose-sweep
abil_wisdom,Wisdom,GATES,psi_ability,Psionic Ability,high score required,,PHB,110,APPENDIX I PSIONICS,TRUE,prose-sweep
abil_charisma,Charisma,GATES,psi_ability,Psionic Ability,high score required,,PHB,110,APPENDIX I PSIONICS,TRUE,prose-sweep
abil_intelligence,Intelligence,MODIFIES,psi_ability,Psionic Ability,largest bonus to the roll,,PHB,110,APPENDIX I PSIONICS,TRUE,prose-sweep
abil_wisdom,Wisdom,MODIFIES,psi_ability,Psionic Ability,bonus to the roll,,PHB,110,APPENDIX I PSIONICS,TRUE,prose-sweep
abil_charisma,Charisma,MODIFIES,psi_ability,Psionic Ability,bonus to the roll,,PHB,110,APPENDIX I PSIONICS,TRUE,prose-sweep
race,Race,GATES,psi_ability,Psionic Ability,humans and possibly dwarves and halflings,,PHB,110,APPENDIX I PSIONICS,TRUE,prose-sweep
psi_ability,Psionic Ability,EXCLUDED_FROM,sys_classes,Class Performance,does not affect class function,,PHB,110,PSIONIC ABILITY,TRUE,prose-sweep
psi_ability,Psionic Ability,FEEDS_INTO,psi_strength_points,Psionic Strength,attack and defense pool,,PHB,110,PSIONIC ABILITY,TRUE,prose-sweep
