source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
rule_availability,Availability,GATES,hench_hirelings,Hirelings,type must be present locally,,PHB,39,HIRELINGS,TRUE,prose-sweep
money_gp,Money,MODIFIES,hench_hirelings,Hirelings,wage and bonus affect success,,PHB,39,HIRELINGS,TRUE,prose-sweep
abil_charisma,Charisma,MODIFIES,hench_hirelings,Hirelings,hiring success,,PHB,39,HIRELINGS,TRUE,prose-sweep
hench_hirelings,Hirelings,EXCLUDED_FROM,cha_max_henchmen,Maximum Henchmen,number not capped by charisma,,PHB,39,HIRELINGS,TRUE,prose-sweep
hench_hirelings,Hirelings,CONSUMES,money_gp,Money,wages and salaries,,PHB,39,HIRELINGS,TRUE,prose-sweep
hench_loyalty,Loyalty,MODIFIES,hench_hirelings,Hirelings,same loyalty rules apply,,PHB,39,HIRELINGS,TRUE,prose-sweep
cha_max_henchmen,Maximum Henchmen,CONSTRAINS,hench_henchmen,Henchmen,number attracted,,PHB,39,HENCHMEN,TRUE,prose-sweep
hench_henchmen,Henchmen,DERIVED_FROM,race,Race,always of a character race,,PHB,39,HENCHMEN,TRUE,prose-sweep
hench_henchmen,Henchmen,DERIVED_FROM,sys_classes,Character Class,always of a character class,,PHB,39,HENCHMEN,TRUE,prose-sweep
hench_henchmen,Henchmen,EXCLUDES,rule_player_character,Player Character,never player characters,,PHB,39,HENCHMEN,TRUE,prose-sweep
sys_alignment,Alignment,MODIFIES,hench_loyalty,Loyalty,compatibility required,radical difference,PHB,39,HENCHMEN,TRUE,prose-sweep
hench_henchmen,Henchmen,CONSUMES,money_gp,Money,recruitment costs,inns notices criers bribes,PHB,39,HENCHMEN,TRUE,prose-sweep
hench_henchmen,Henchmen,CONSUMES,money_gp,Money,wage support and upkeep,ongoing,PHB,39,HENCHMEN,TRUE,prose-sweep
race,Race,MODIFIES,hench_henchmen,Henchmen,recruitment difficulty,non-human harder to locate,PHB,39,HENCHMEN,TRUE,prose-sweep
campaign_circumstances,Campaign Circumstances,MODIFIES,hench_henchmen,Henchmen,availability of non-humans,,PHB,39,HENCHMEN,TRUE,prose-sweep
hench_henchmen,Henchmen,CONSUMES,sys_treasure,Treasure,share of money and magic,on adventures,PHB,39,HENCHMEN,TRUE,prose-sweep
sys_treasure,Treasure,FEEDS_INTO,hench_experience,Henchman Experience,share generates experience,,PHB,39,HENCHMEN,TRUE,prose-sweep
hench_experience,Henchman Experience,MODIFIES,exp_level,Experience Level,reduced award,acting under direction,PHB,39,HENCHMEN,TRUE,prose-sweep
rule_direction,Degree of Direction,MODIFIES,hench_experience,Henchman Experience,further reduced,when closely directed,PHB,39,HENCHMEN,TRUE,prose-sweep
abil_charisma,Charisma,MODIFIES,hench_loyalty,Loyalty,principal factor,,PHB,39,HENCHMEN,TRUE,prose-sweep
money_gp,Money,MODIFIES,hench_loyalty,Loyalty,remuneration and bonuses,,PHB,39,HENCHMEN,TRUE,prose-sweep
rule_adventuring_involvement,Adventuring Involvement,MODIFIES,hench_loyalty,Loyalty,degree of participation,,PHB,39,HENCHMEN,TRUE,prose-sweep
rule_character_actions,Character Actions,MODIFIES,hench_loyalty,Loyalty,what is required of them,,PHB,39,HENCHMEN,TRUE,prose-sweep
wpn_range,Weapon Range,MODIFIES,wpn_type_vs_ac,Armor Class Adjustment,penalty at longer ranges,,PHB,38,WEAPON TYPES GENERAL DATA,TRUE,prose-sweep
