source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
abil_strength,Strength,GATES,class_monk,Monk,eligibility,high minimum score,PHB,30,THE MONK,TRUE,prose-sweep
abil_dexterity,Dexterity,GATES,class_monk,Monk,eligibility,high minimum score,PHB,30,THE MONK,TRUE,prose-sweep
abil_constitution,Constitution,GATES,class_monk,Monk,eligibility,minimum score,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,EXCLUDED_FROM,sys_experience,Prime Requisite Bonus,never gains ability bonus,,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,EXCLUDES,dex_defensive_adj,Dexterity Defensive Adjustment,no armor class benefit,,PHB,30,THE MONK,TRUE,prose-sweep
sys_alignment,Alignment,GATES,class_monk,Monk,must be lawful,,PHB,30,THE MONK,TRUE,prose-sweep
sys_alignment,Alignment,TRIGGERS,class_monk_loss,Loss of Monk Status,all abilities lost,on losing lawful alignment,PHB,30,THE MONK,TRUE,prose-sweep
class_monk_loss,Loss of Monk Status,OVERRIDES,exp_level,Experience Level,restart at first level,,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,MODIFIES,hit_points,Hit Points,hit die type,,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,CONSTRAINS,sys_armor,Armor,no armor or shield,,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,EXCLUDES,rule_flaming_oil,Flaming Oil,cannot use,,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,EXCLUDES,rule_spell_casting,Spell Casting,no spell ability,,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,FEEDS_INTO,cbt_attack_matrix,Attack Matrix,uses cleric table,,PHB,30,THE MONK,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,cbt_damage,Damage,bonus with weapons,monk scaling,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,GATES,rule_open_hand_combat,Open Hand Combat,class ability,,PHB,30,THE MONK,TRUE,prose-sweep
rule_open_hand_combat,Open Hand Combat,MODIFIES,cbt_damage,Damage,tabulated by level,,PHB,30,MONKS TABLE II,TRUE,prose-sweep
rule_open_hand_combat,Open Hand Combat,ALTERNATIVE_TO,cbt_damage,Armed Melee,better at median levels,,PHB,30,THE MONK,TRUE,prose-sweep
rule_open_hand_combat,Open Hand Combat,TRIGGERS,rule_stun,Stunning Blow,on exceptional hit,,PHB,30,THE MONK,TRUE,prose-sweep
cbt_tohit,To-Hit Roll,GATES,rule_stun,Stunning Blow,margin above required score,,PHB,30,THE MONK,TRUE,prose-sweep
rule_open_hand_combat,Open Hand Combat,EXCLUDES,abil_strength,Strength,to-hit never modified by strength,,PHB,30,THE MONK,TRUE,prose-sweep
rule_stun,Stunning Blow,GATES,rule_monk_kill,Killing Blow,target must be stunned first,,PHB,30,THE MONK,TRUE,prose-sweep
cbt_armor_class,Armor Class,FEEDS_INTO,rule_monk_kill,Killing Blow,kill chance equals opponent AC,,PHB,30,THE MONK,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,rule_monk_kill,Killing Blow,levels above seventh,,PHB,30,THE MONK,TRUE,prose-sweep
rule_stun,Stunning Blow,MODIFIES,cbt_tohit,To-Hit Roll,target stunned for rounds,,PHB,30,THE MONK,TRUE,prose-sweep
exp_level,Experience Level,GATES,cbt_attacks_per_round,Attacks Per Melee Round,multiple open hand attacks,fourth level and above,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,FEEDS_INTO,save_matrix,Saving Throw Matrix,uses thief table,,PHB,30,THE MONK,TRUE,prose-sweep
save_petrify,Saving Throw vs Petrification,GATES,rule_missile_dodge,Dodging Missiles,save per potential hit,non-magical missiles only,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,OVERRIDES,save_matrix,Saving Throw Matrix,no damage on success,,PHB,30,THE MONK,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,save_matrix,Saving Throw Matrix,half damage on failure,ninth level and above,PHB,30,THE MONK,TRUE,prose-sweep
rule_gaze_attack,Gaze Attack,OVERRIDES,save_matrix,Monk Half-Damage,petrification still applies,,PHB,30,THE MONK,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,cbt_surprise,Surprise,harder to surprise per level,,PHB,30,THE MONK,TRUE,prose-sweep
class_monk,Monk,GATES,thief_skills,Thief Skills,performed at equal level,,PHB,31,THE MONK,TRUE,prose-sweep
