source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
race,Race,CONSTRAINS,sys_classes,Character Class,which classes permitted,,PHB,13,CHARACTER RACE TABLE I,TRUE,prose-sweep
race,Race,CONSTRAINS,exp_level,Experience Level,maximum level attainable,by class,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep
race,Race,GATES,rule_npc_only_classes,NPC-Only Class Access,player availability,parenthesised entries,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep
abil_strength,Strength,MODIFIES,exp_level,Experience Level,raises racial level cap,demihuman fighters,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep
abil_intelligence,Intelligence,MODIFIES,exp_level,Experience Level,raises racial level cap,elven and half-elven magic-users,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep
abil_intelligence,Intelligence,MODIFIES,exp_level,Experience Level,raises racial level cap,gnome illusionists,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep
abil_dexterity,Dexterity,MODIFIES,exp_level,Experience Level,raises racial level cap,gnome illusionists,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep
abil_dexterity,Dexterity,MODIFIES,exp_level,Experience Level,raises racial level cap,half-orc thieves,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep
race_subrace,Sub-Race,MODIFIES,exp_level,Experience Level,raises racial level cap,halfling sub-races,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep
race_dwarf,Dwarf,MODIFIES,abil_constitution,Constitution,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep
race_dwarf,Dwarf,MODIFIES,abil_charisma,Charisma,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep
race_elf,Elf,MODIFIES,abil_dexterity,Dexterity,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep
race_elf,Elf,MODIFIES,abil_constitution,Constitution,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep
race_half_orc,Half-Orc,MODIFIES,abil_strength,Strength,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep
race_half_orc,Half-Orc,MODIFIES,abil_constitution,Constitution,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep
race_half_orc,Half-Orc,MODIFIES,abil_charisma,Charisma,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep
race_halfling,Halfling,MODIFIES,abil_strength,Strength,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep
race_halfling,Halfling,MODIFIES,abil_dexterity,Dexterity,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep
rule_racial_adjustment,Racial Ability Adjustment,FEEDS_INTO,tbl_race_minimums,Ability Score Minimums,counts toward meeting minimum,,PHB,15,CHARACTER RACE TABLE III,TRUE,prose-sweep
tbl_race_minimums,Ability Score Minimums,GATES,race,Race,race eligibility,,PHB,15,CHARACTER RACE TABLE III,TRUE,prose-sweep
tbl_race_maximums,Ability Score Maximums,CONSTRAINS,sys_ability_scores,Ability Scores,score lowered to conform,,PHB,15,CHARACTER RACE TABLE III,TRUE,prose-sweep
rule_racial_adjustment,Racial Ability Adjustment,OVERRIDES,rule_ability_generation,Ability Score Generation,modified score is the real score,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep
