source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
spell_haste,Haste,TRIGGERS,rule_aging,Aging,ages the recipients,speeded metabolism,PHB,84,HASTE,TRUE,prose-sweep
spell_haste,Haste,MODIFIES,ex_movement_rate,Movement Rate,doubled,,PHB,84,HASTE,TRUE,prose-sweep
spell_haste,Haste,MODIFIES,cbt_attacks_per_round,Attacks Per Melee Round,doubled,,PHB,84,HASTE,TRUE,prose-sweep
spell_haste,Haste,EXCLUDES,rule_spell_casting,Casting a Spell,casting not accelerated,,PHB,84,HASTE,TRUE,prose-sweep
spell_haste,Haste,OVERRIDES,spell_slow,Slow,negates the effect,,PHB,84,HASTE,TRUE,prose-sweep
exp_level,Experience Level,CONSTRAINS,spell_haste,Haste,number of creatures affected,,PHB,84,HASTE,TRUE,prose-sweep
spell_polymorph_other,Polymorph Other,TRIGGERS,con_system_shock,System Shock Survival,roll to survive change,,PHB,86,POLYMORPH OTHER,TRUE,prose-sweep
spell_polymorph_other,Polymorph Other,MODIFIES,sys_ability_scores,Ability Scores,acquires new form's abilities,on success,PHB,86,POLYMORPH OTHER,TRUE,prose-sweep
abil_intelligence,Intelligence,MODIFIES,spell_polymorph_other,Polymorph Other,resists personality change,,PHB,86,POLYMORPH OTHER,TRUE,prose-sweep
spell_polymorph_self,Polymorph Self,TRIGGERS,con_system_shock,System Shock Survival,roll to survive change,,PHB,86,POLYMORPH SELF,TRUE,prose-sweep
spell_polymorph_any_object,Polymorph Any Object,TRIGGERS,con_system_shock,System Shock Survival,roll to survive change,,PHB,90,POLYMORPH ANY OBJECT,TRUE,prose-sweep
spell_shape_change,Shape Change,TRIGGERS,con_system_shock,System Shock Survival,roll to survive change,,PHB,92,SHAPE CHANGE,TRUE,prose-sweep
spell_statue,Statue,TRIGGERS,save_petrify,Saving Throw vs Petrification,related transformation,,PHB,89,STATUE,TRUE,prose-sweep
spell_death_spell,Death Spell,EXCLUDES,rule_lycanthropy,Lycanthropy,does not affect lycanthropes,,PHB,83,DEATH SPELL,TRUE,prose-sweep
monster_hit_dice,Hit Dice,CONSTRAINS,spell_death_spell,Death Spell,number slain by victim hit dice,,PHB,83,DEATH SPELL,TRUE,prose-sweep
spell_cure_disease,Cure Disease,OVERRIDES,rule_disease,Disease,cures affliction,,PHB,49,CURE DISEASE,TRUE,prose-sweep
spell_neutralize_poison,Neutralize Poison,OVERRIDES,save_poison,Poison,detoxifies venom,,PHB,50,NEUTRALIZE POISON,TRUE,prose-sweep
spell_cloudkill,Cloudkill,TRIGGERS,save_poison,Saving Throw vs Poison,save required,,PHB,84,CLOUDKILL,TRUE,prose-sweep
spell_stinking_cloud,Stinking Cloud,TRIGGERS,save_poison,Saving Throw vs Poison,save required,,PHB,82,STINKING CLOUD,TRUE,prose-sweep
spell_atonement,Atonement,OVERRIDES,sys_alignment,Alignment,restores alignment standing,,PHB,51,ATONEMENT,TRUE,prose-sweep
spell_know_alignment,Know Alignment,FEEDS_INTO,sys_alignment,Alignment,reveals alignment,,PHB,47,KNOW ALIGNMENT,TRUE,prose-sweep
spell_detect_evil,Detect Evil,FEEDS_INTO,sys_alignment,Alignment,detects evil intent,,PHB,44,DETECT EVIL,TRUE,prose-sweep
spell_find_familiar,Find Familiar,FEEDS_INTO,sys_alignment,Alignment,familiar type by alignment,,PHB,66,FIND FAMILIAR,TRUE,prose-sweep
spell_infravision,Infravision,GATES,race_infravision,Infravision,grants the ability,,PHB,85,INFRAVISION,TRUE,prose-sweep
spell_darkness,Darkness,OVERRIDES,race_infravision,Infravision,blocks infrared sight,,PHB,66,DARKNESS 15 RADIUS,TRUE,prose-sweep
spell_invisibility,Invisibility,MODIFIES,cbt_surprise,Surprise,improves surprise,,PHB,71,INVISIBILITY,TRUE,prose-sweep
spell_bless,Bless,MODIFIES,cbt_morale,Morale,improves morale,,PHB,44,BLESS,TRUE,prose-sweep
spell_bless,Bless,MODIFIES,cbt_tohit,To-Hit Roll,attack bonus,,PHB,44,BLESS,TRUE,prose-sweep
spell_emotion,Emotion,MODIFIES,cbt_morale,Morale,fear or courage,,PHB,86,EMOTION,TRUE,prose-sweep
spell_insect_plague,Insect Plague,MODIFIES,cbt_morale,Morale,drives off low-morale creatures,,PHB,50,INSECT PLAGUE,TRUE,prose-sweep
spell_glyph_of_warding,Glyph of Warding,TRIGGERS,exp_level_loss,Level Loss,energy drain variant,,PHB,49,GLYPH OF WARDING,TRUE,prose-sweep
spell_spider_climb,Spider Climb,ALTERNATIVE_TO,thief_climb_walls,Climb Walls,scaling surfaces,,PHB,79,SPIDER CLIMB,TRUE,prose-sweep
spell_strength,Strength,MODIFIES,abil_strength,Strength,temporary increase,,PHB,79,STRENGTH,TRUE,prose-sweep
spell_plant_growth,Plant Growth,MODIFIES,ex_movement_rate,Movement Rate,impedes travel,,PHB,78,PLANT GROWTH,TRUE,prose-sweep
spell_dispel_magic,Dispel Magic,RESOLVED_BY,exp_level,Experience Level,probability by level difference,,PHB,67,DISPEL MAGIC,TRUE,prose-sweep
spell_permanency,Permanency,OVERRIDES,rule_spell_duration,Spell Duration,makes effect permanent,,PHB,90,PERMANENCY,TRUE,prose-sweep
spell_permanency,Permanency,CONSUMES,abil_constitution,Constitution,permanent point loss,,PHB,90,PERMANENCY,TRUE,prose-sweep
