table,page
Table | Page |,---
Armor Class Table,36
Assassins Table: Experience Levels,30
Bards Table I: Experience Levels,117
Bards Table II: Colleges & Abilities,118
Basic Equipment and Supplies Costs,35
Armor,35
Arms,35
Clothing,35
Herbs,35
Livestock,36
Miscellaneous Equipment & Items,36
Provisions,36
Religious Items,36
Tack & Harness,36
Transport,36
Character Alignment Graph,119
"Character Classes Table I: Hit Dice, Spell Ability, and Class Level Limit",19
Character Classes Table II: Armor & Weapons Permitted,19
Character Race Table I: Character Class Limitations,13
Character Race Table II: Class Level Limitations,14
Character Race Table III: Ability Score Minimums & Maximums,15
Charisma Table,13
"Clerics Spells, Table of",40
Clerics Table I: Experience Levels,20
Clerics Table II: Spells Usable by Experience Level,20
Coin Exchange Value,35
Comparison of Surprise Possibilities,103
Constitution Table,12
Cost and Range of Psionic Attack Modes,110
Cost and Range of Psionic Defense Modes,110
Dexterity Table I: General Information,11
Dexterity Table II: Adjustments for Thieves,12
"Druids Spells, Table of",41
Druids Table I: Experience Levels,21
Druids Table II: Spells Usable by Experience Level,21
Effects of Encumbrance,101
Effect of Physical Activity on the Recovery of Psionic Strength Points,117
Effects on Reaction of Double Surprise,103
"Fighters, Paladins & Rangers Attacks per Melee Round",25
Fighters Table: Experience Levels,22
"Illusionists Spells, Table of",42
Illusionists Table I: Experience Levels,26
Illusionists Table II: Spells Usable by Experience Level,26
Intelligence Table I: General Information,10
Intelligence Table II: Ability for Magic-Users,10
Languages Typically Common,34
"Magic-Users Spells, Table of",41–42
Magic-Users Table I: Experience Levels,25
Magic-Users Table II: Spells Usable by Experience Level,26
Monks Table I: Experience Levels,31
Monks Table II: Monks Ability Table,31
Movement Rate/Distance Travelled Conversion,102
Paladins Table I: Experience Levels,24
Paladin Table II: Spells Usable by Experience Level,24
Penalties and Bonuses for Race,14
Properties of Light Sources,102
Psionic Attack Modes Available,110
Psionic Defense Modes Available,110
Psionic Disciplines,111
Psionic Disciplines Available,111
Racial Preferences Table,18
Rangers Table I: Experience Levels,25
Rangers Table II: Spells Usable by Experience Level,25
Starting Money,35
Strength Table I: General Information,9
Strength Table II: Ability Adjustments,9
The Known Planes of Existence,120
Thieves Table I: Experience Levels,27
Thieves Table II: Thief Function (Plus Racial Adjustments),28
Typical Fees Paid for Assassination,29
Typical Hirelings,39
Weapon Proficiency Table,37
"Weapon Types, General Data & ""To Hit"" Adjustments",38
Hand Held Weapons,38
Hurled Weapons & Missiles,38
Weight & Damage by Weapon Type,37
Wisdom Table I: General Information,11
Wisdom Table II: Adjustments for Clerics & Druids,11
