source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
abil_dexterity,Dexterity,GATES,class_thief,Thief,eligibility,minimum score,PHB,27,THE THIEF,TRUE,prose-sweep
abil_dexterity,Dexterity,MODIFIES,sys_experience,Experience Points,prime requisite bonus,above 15,PHB,27,THE THIEF,TRUE,prose-sweep
sys_alignment,Alignment,CONSTRAINS,class_thief,Thief,neutral or evil,neutral good rare,PHB,27,THE THIEF,TRUE,prose-sweep
class_thief,Thief,MODIFIES,hit_points,Hit Points,hit die type,,PHB,27,THE THIEF,TRUE,prose-sweep
class_thief,Thief,CONSTRAINS,sys_armor,Armor,light armor only,,PHB,27,THE THIEF,TRUE,prose-sweep
class_thief,Thief,CONSTRAINS,sys_equipment,Weapons,limited selection,,PHB,27,THE THIEF,TRUE,prose-sweep
class_thief,Thief,FEEDS_INTO,cbt_attack_matrix,Attack Matrix,slightly better than magic-user,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_pick_pockets,Pick Pockets,DERIVED_FROM,thief_skills,Thief Skills,primary function,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_open_locks,Open Locks,DERIVED_FROM,thief_skills,Thief Skills,primary function,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_find_remove_traps,Find/Remove Traps,DERIVED_FROM,thief_skills,Thief Skills,primary function,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_move_silently,Move Silently,DERIVED_FROM,thief_skills,Thief Skills,primary function,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_hide_in_shadows,Hide in Shadows,DERIVED_FROM,thief_skills,Thief Skills,primary function,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_hear_noise,Hear Noise,DERIVED_FROM,thief_skills,Thief Skills,secondary function,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_climb_walls,Climb Walls,DERIVED_FROM,thief_skills,Thief Skills,secondary function,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_backstab,Back Stab,DERIVED_FROM,thief_skills,Thief Skills,secondary function,,PHB,27,THE THIEF,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,thief_skills,Thief Skills,success chance,,PHB,27,THE THIEF,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,thief_pick_pockets,Pick Pockets,success chance,victim's level modifies,PHB,27,THE THIEF,TRUE,prose-sweep
rule_observer,Observer,MODIFIES,thief_hide_in_shadows,Hide in Shadows,detection chance,observer's powers,PHB,27,THE THIEF,TRUE,prose-sweep
thief_open_locks,Open Locks,OVERRIDES,rule_magical_closure,Magical Closure,foiling magical locks,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_open_locks,Open Locks,ALTERNATIVE_TO,str_open_doors,Open Doors,passing a barrier,,PHB,27,THE THIEF,FALSE,prose-sweep
thief_find_remove_traps,Find/Remove Traps,CONSTRAINS,rule_traps,Traps,small mechanical devices only,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_move_silently,Move Silently,GATES,thief_hear_noise,Hear Noise,approach to the door,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_climb_walls,Climb Walls,CONSTRAINS,rule_surface,Surface,requires coarse surface,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_backstab,Back Stab,MODIFIES,cbt_damage,Damage,multiplied damage,,PHB,27,THE THIEF,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,thief_backstab,Back Stab,damage multiplier tier,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_backstab,Back Stab,MODIFIES,cbt_tohit,To-Hit Roll,bonus from behind,,PHB,27,THE THIEF,TRUE,prose-sweep
thief_backstab,Back Stab,GATES,cbt_rear_attack,Rear Attack,must strike from behind,,PHB,27,THE THIEF,TRUE,prose-sweep
class_thief,Thief,GATES,rule_thieves_cant,Thieves' Cant,class language,,PHB,27,THE THIEF,TRUE,prose-sweep
rule_thieves_cant,Thieves' Cant,DERIVED_FROM,rule_languages,Languages,known in addition to others,,PHB,27,THE THIEF,TRUE,prose-sweep
exp_level,Experience Level,GATES,thief_read_languages,Read Languages,ability unlocked,fourth level,PHB,27,THE THIEF,TRUE,prose-sweep
exp_level,Experience Level,MODIFIES,thief_read_languages,Read Languages,success chance,,PHB,27,THE THIEF,TRUE,prose-sweep
