source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
exp_level,Experience Level,MODIFIES,spell_commune,Commune,questions permitted,,improves,read,PHB,49,Commune,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_conjure_animals,Conjure Animals,duration,,improves,read,PHB,51,Conjure Animals,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_detect_evil,Detect Evil,duration,,improves,read,PHB,44,Detect Evil,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_dispel_magic,Dispel Magic,success chance,,improves,read,PHB,47,Dispel Magic,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_glyph_of_warding,Glyph of Warding,warded area,,improves,read,PHB,47,Glyph of Warding,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_hold_person,Hold Person,duration,,improves,read,PHB,45,Hold Person,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_insect_plague,Insect Plague,duration,,improves,read,PHB,50,Insect Plague,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_light,Light,duration,,improves,read,PHB,44,Light,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_raise_dead,Raise Dead,time dead limit,,improves,read,PHB,50,Raise Dead,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_remove_curse,Remove Curse,reverse duration,,improves,read,PHB,47,Remove Curse,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_restoration,Restoration,treatment window,,improves,read,PHB,52,Restoration,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_resurrection,Resurrection,time dead limit,,improves,read,PHB,52,Resurrection,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_slow_poison,Slow Poison,treatment window,,improves,read,PHB,45,Slow Poison,explicit_rule,page-sweep,core,,,
monster_special,Special Creatures,EXCLUDES,spell_cure_light_wounds,Cure Light Wounds,cannot be affected,creatures harmed only by special weapons,negates,derived,PHB,43,Cure Light Wounds,explicit_rule,page-sweep,core,,,
rule_spell_level,Spell Level,MODIFIES,rule_cleric_spells,Cleric Spells,likelihood the deity concurs,,worsens,read,PHB,43,Notes Regarding Cleric Spells,explicit_rule,page-sweep,core,,,
rule_spell_reversal,Reversed Spells,CONSTRAINS,rule_spell_memorization,Spell Memorization,application fixed at learning,,worsens,read,PHB,43,Notes Regarding Cleric Spells,explicit_rule,page-sweep,core,,,
rule_spell_reversal,Reversed Spells,TRIGGERS,rule_alignment_change,Changing Alignment,alignment drift,continued incautious use,inflicts,read,PHB,43,Notes Regarding Cleric Spells,explicit_rule,page-sweep,core,,,
spell_cure_light_wounds,Cure Light Wounds,TRIGGERS,cbt_tohit,To-Hit Roll,attack roll required,,neutral,read,PHB,43,Cure Light Wounds,explicit_rule,page-sweep,core,,,
spell_glyph_of_warding,Glyph of Warding,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,47,Glyph of Warding,explicit_rule,page-sweep,core,,,
spell_heal,Heal,OVERRIDES,rule_disease,Disease,cures all disease,,neutral,derived,PHB,51,Heal,explicit_rule,page-sweep,core,explicit_replacement,,
spell_hold_person,Hold Person,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,45,Hold Person,explicit_rule,page-sweep,core,,,
spell_raise_dead,Raise Dead,TRIGGERS,rule_alignment_change,Changing Alignment,alignment shift,,inflicts,read,PHB,50,Raise Dead,explicit_rule,page-sweep,core,,,
spell_raise_dead,Raise Dead,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,50,Raise Dead,explicit_rule,page-sweep,core,,,
spell_remove_curse,Remove Curse,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,47,Remove Curse,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_aerial_servant,Aerial Servant,duration,,improves,read,PHB,50,Aerial Servant,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_animate_dead,Animate Dead,number animated,,improves,read,PHB,46,Animate Dead,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_animate_object,Animate Object,volume animated,,improves,read,PHB,51,Animate Object,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_augury,Augury,success chance,,improves,read,PHB,45,Augury,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_blade_barrier,Blade Barrier,duration,,improves,read,PHB,51,Blade Barrier,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_create_food_and_water,Create Food & Water,volume created,,improves,read,PHB,46,Create Food & Water,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_create_water,Create Water,volume created,,improves,read,PHB,43,Create Water,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_detect_lie,Detect Lie,duration,,improves,read,PHB,48,Detect Lie,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_dispel_evil,Dispel Evil,duration,,improves,read,PHB,49,Dispel Evil,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_divination,Divination,success chance,,improves,read,PHB,48,Divination,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_earthquake,Earthquake,area of effect,,improves,read,PHB,52,Earthquake,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_exorcise,Exorcise,success chance,,improves,read,PHB,48,Exorcise,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_find_the_path,Find the Path,duration,,improves,read,PHB,51,Find the Path,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_lower_water,Lower Water,depth and duration,,improves,read,PHB,48,Lower Water,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_part_water,Part Water,trough size,,improves,read,PHB,51,Part Water,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_remove_fear,Remove Fear,saving throw bonus,,improves,read,PHB,44,Remove Fear,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_resist_cold,Resist Cold,duration,,improves,read,PHB,44,Resist Cold,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_resist_fire,Resist Fire,duration,,improves,read,PHB,45,Resist Fire,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_silence_15_radius,"Silence, 15′ Radius",duration,,improves,read,PHB,45,"Silence, 15′ Radius",explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_speak_with_animals,Speak with Animals,duration,,improves,read,PHB,46,Speak with Animals,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_speak_with_monsters,Speak with Monsters,duration,,improves,read,PHB,51,Speak with Monsters,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_speak_with_plants,Speak with Plants,duration,,improves,read,PHB,49,Speak with Plants,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_speak_with_the_dead,Speak with the Dead,questions permitted,,improves,read,PHB,48,Speak with the Dead,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_spiritual_hammer,Spiritual Hammer,weapon enchantment,,improves,read,PHB,46,Spiritual Hammer,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_sticks_to_snakes,Sticks to Snakes,number transformed,,improves,read,PHB,49,Sticks to Snakes,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_symbol,Symbol,duration,,improves,read,PHB,52,Symbol,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_wind_walk,Wind Walk,duration,,improves,read,PHB,54,Wind Walk,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_word_of_recall,Word of Recall,weight transported,,improves,read,PHB,52,Word of Recall,explicit_rule,page-sweep,core,,,
monster_undead,Undead,EXCLUDES,spell_command,Command,cannot be affected,,negates,derived,PHB,43,Command,explicit_rule,page-sweep,core,,,
spell_animate_dead,Animate Dead,TRIGGERS,monster_undead,Undead,creates skeletons or zombies,,neutral,read,PHB,46,Animate Dead,explicit_rule,page-sweep,core,,,
spell_command,Command,TRIGGERS,save_spell,Spell,saving throw,high intelligence or many hit dice,neutral,read,PHB,43,Command,explicit_rule,page-sweep,core,,,
spell_dispel_evil,Dispel Evil,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,49,Dispel Evil,explicit_rule,page-sweep,core,,,
spell_flame_strike,Flame Strike,TRIGGERS,save_spell,Spell,saving throw,reduces damage,neutral,read,PHB,49,Flame Strike,explicit_rule,page-sweep,core,,,
spell_light,Light,TRIGGERS,rule_magic_resistance,Magic Resistance,resistance check,,neutral,read,PHB,44,Light,explicit_rule,page-sweep,core,,,
spell_quest,Quest,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,50,Quest,explicit_rule,page-sweep,core,,,
spell_spiritual_hammer,Spiritual Hammer,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,46,Spiritual Hammer,explicit_rule,page-sweep,core,,,
spell_symbol,Symbol,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,52,Symbol,explicit_rule,page-sweep,core,,,
