source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
exp_level,Experience Level,GATES,psi_disciplines,Psionic Discipline,disciplines gained,,enables,derived,PHB,111,PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
item_magic_item,Magic Device,MODIFIES,psi_ability,Psionic Ability,alteration by devices,,neutral,read,PHB,110,PSIONIC ABILITY,explicit_rule,page-sweep,optional,,,
item_magic_item,Magic Device,MODIFIES,save_magical_attack,Saving Throw vs Magical Attack,the item's save,,improves,read,PHB,115,MAJOR SCIENCES: Molecular Manipulation,explicit_rule,spell-scan,optional,,,
psi_attack_blast,Psionic Blast,CONSUMES,psi_strength_points,Psionic Strength,point cost per usage,,neutral,derived,PHB,110,Attack Modes,explicit_rule,page-sweep,optional,,,
psi_combat,Psionic Combat,TRIGGERS,death_character,Death,death when undefended,,inflicts,read,PHB,111,Defense Modes,explicit_rule,page-sweep,optional,,,
psi_combat,Psionic Combat,TRIGGERS,rule_stun,Stunning Blow,stunning when undefended,,inflicts,read,PHB,111,Defense Modes,explicit_rule,page-sweep,optional,,,
psi_disciplines,Psionic Discipline,CONSUMES,psi_strength_points,Psionic Strength,cost of employment,,neutral,derived,PHB,111,PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
psi_disciplines,Psionic Discipline,DERIVED_FROM,exp_level,Experience Level,level of mastery,,neutral,derived,PHB,111,PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,
psi_strength_points,Psionic Strength,CONSTRAINS,psi_attack_modes,Psionic Attack,attacking when spent,,worsens,read,PHB,110,Attack Modes,explicit_rule,page-sweep,optional,,,
psi_strength_points,Psionic Strength,CONSTRAINS,psi_defense_modes,Defense Mode,defending when spent,,worsens,read,PHB,111,Defense Modes,explicit_rule,page-sweep,optional,,,
psi_strength_points,Psionic Strength,EXCLUDED_FROM,psi_ability,Psionic Ability,spending and regaining,,negates,derived,PHB,110,PSIONIC ABILITY,explicit_rule,page-sweep,optional,,,
psi_strength_points,Psionic Strength,FEEDS_INTO,psi_attack_modes,Psionic Attack,attack strength,,neutral,derived,PHB,110,PSIONIC ABILITY,explicit_rule,page-sweep,optional,,,
psi_strength_points,Psionic Strength,FEEDS_INTO,psi_defense_modes,Defense Mode,defense strength,,neutral,derived,PHB,110,PSIONIC ABILITY,explicit_rule,page-sweep,optional,,,
sys_classes,Character Class,EXCLUDED_FROM,psi_disciplines,Psionic Discipline,class eligibility,,negates,derived,PHB,111,PSIONIC DISCIPLINES,explicit_rule,page-sweep,optional,,,

