source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
item_magic_item,Magic Device,GATES,rule_planar_travel,Ethereal Plane,ointment and items,,enables,derived,PHB,120,ETHEREAL TRAVEL,explicit_rule,page-sweep,core,,,
rule_ether_cyclone,Ether Cyclone,CONSUMES,rule_time,Time,time out of touch,,neutral,derived,PHB,120,ETHEREAL TRAVEL,explicit_rule,page-sweep,core,,,
rule_ether_cyclone,Ether Cyclone,TRIGGERS,rule_planar_travel,Ethereal Plane,carried to another plane,,inflicts,read,PHB,120,ETHEREAL TRAVEL,explicit_rule,page-sweep,core,,,
rule_psionic_use,Use of Psionic Powers,GATES,rule_planar_travel,Ethereal Plane,psionic discipline,,enables,derived,PHB,120,ETHEREAL TRAVEL,explicit_rule,page-sweep,core,,,
rule_psychic_wind,Psychic Wind,TRIGGERS,rule_planar_travel,Ethereal Plane,blown off course,,inflicts,read,PHB,120,ASTRAL TRAVEL,explicit_rule,page-sweep,core,,,
rule_astral_plane,Astral Plane,CONSTRAINS,cbt_melee,Melee Combat,what an attacker destroys,,worsens,read,PHB,120,ETHEREAL AND ASTRAL COMBAT,explicit_rule,page-sweep,core,,,
rule_astral_plane,Astral Plane,CONSTRAINS,rule_outer_planes,The Outer Planes,layers reached,,worsens,read,PHB,120,ASTRAL TRAVEL,explicit_rule,page-sweep,core,,,
rule_astral_plane,Astral Plane,EXCLUDED_FROM,rule_inner_planes,The Inner Planes,does not touch them,other than the Prime Material,negates,derived,PHB,120,ASTRAL TRAVEL,explicit_rule,page-sweep,core,,,
rule_astral_plane,Astral Plane,EXCLUDES,rule_spell_casting,Casting a Spell,casting to the Prime,,negates,derived,PHB,120,ETHEREAL AND ASTRAL COMBAT,explicit_rule,page-sweep,core,,,
rule_astral_plane,Astral Plane,GATES,rule_planar_travel,Ethereal Plane,movement to the Outer,,enables,derived,PHB,120,THE OUTER PLANES: 9Ã¢â¬â25,explicit_rule,page-sweep,core,,,
rule_ethereal_plane,Ethereal Plane,EXCLUDES,rule_rest,Rest and Nourishment,"food, drink and sleep",,negates,derived,PHB,120,ETHEREAL TRAVEL,explicit_rule,page-sweep,core,,,
rule_ethereal_plane,Ethereal Plane,GATES,rule_planar_travel,Ethereal Plane,movement between planes,,enables,derived,PHB,120,THE INNER PLANES: 1Ã¢â¬â8,explicit_rule,page-sweep,core,,,
rule_ethereal_plane,Ethereal Plane,GATES,rule_spell_casting,Casting a Spell,casting to the Prime,,enables,derived,PHB,120,ETHEREAL AND ASTRAL COMBAT,explicit_rule,page-sweep,core,,,
rule_ethereal_plane,Ethereal Plane,MODIFIES,item_magic_item,Magic Device,weapons that stay magical,,worsens,read,PHB,120,ETHEREAL AND ASTRAL COMBAT,explicit_rule,page-sweep,core,,,
rule_ethereal_plane,Ethereal Plane,MODIFIES,rule_hit_points,Hit Points,damage taken there,,worsens,read,PHB,120,ETHEREAL AND ASTRAL COMBAT,explicit_rule,page-sweep,core,,,
rule_negative_material_plane,Negative Material Plane,GATES,monster_undead,Undead,source of their power,,enables,derived,PHB,120,THE INNER PLANES: 1Ã¢â¬â8,explicit_rule,page-sweep,core,,,
rule_outer_planes,The Outer Planes,FEEDS_INTO,sys_alignment,Alignment,source of alignment,,neutral,derived,PHB,120,THE OUTER PLANES: 9Ã¢â¬â25,explicit_rule,page-sweep,core,,,
rule_psychic_wind,Psychic Wind,TRIGGERS,rule_silver_cord,Silver Cord,the cord snapped,,inflicts,read,PHB,120,ASTRAL TRAVEL,explicit_rule,page-sweep,core,,,
rule_silver_cord,Silver Cord,GATES,rule_astral_plane,Astral Plane,sustains the traveller's return,,enables,derived,PHB,120,ASTRAL TRAVEL,explicit_rule,page-sweep,core,,,
rule_silver_cord,Silver Cord,TRIGGERS,rule_death,Death,snapping kills irrevocably,,inflicts,read,PHB,120,ASTRAL TRAVEL,explicit_rule,page-sweep,core,,,
