source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
abil_cha_max_henchmen,Maximum Henchmen,EXCLUDED_FROM,hench_mercenary,Mercenary Soldier,troop numbers,,negates,derived,PHB,13,Notes Regarding Charisma Table,explicit_rule,page-sweep,core,,,
abil_charisma,Charisma,CONSTRAINS,sys_classes,Character Class,class eligibility,at the lowest scores,worsens,read,PHB,13,CHARISMA TABLE,explicit_rule,page-sweep,core,,,
abil_charisma,Charisma,GATES,class_druid,Druid,class eligibility,,enables,derived,PHB,13,CHARISMA TABLE,explicit_rule,page-sweep,core,,,
abil_constitution,Constitution,CONSTRAINS,sys_classes,Character Class,class eligibility,at the lowest scores,worsens,read,PHB,12,CONSTITUTION TABLE,explicit_rule,page-sweep,core,,,
abil_dexterity,Dexterity,CONSTRAINS,sys_classes,Character Class,class eligibility,at the lowest scores,worsens,read,PHB,11,DEXTERITY TABLE I,explicit_rule,page-sweep,core,,,
abil_dexterity,Dexterity,GATES,class_illusionist,Illusionist,class eligibility,,enables,derived,PHB,11,DEXTERITY TABLE I,explicit_rule,page-sweep,core,,,
abil_dexterity,Dexterity,MODIFIES,thief_find_remove_traps,Find/Remove Traps,success chance,,improves,read,PHB,12,DEXTERITY TABLE II: ADJUSTMENTS FOR THIEVES,explicit_rule,page-sweep,core,,,
abil_dexterity,Dexterity,MODIFIES,thief_hide_in_shadows,Hide in Shadows,success chance,,improves,read,PHB,12,DEXTERITY TABLE II: ADJUSTMENTS FOR THIEVES,explicit_rule,page-sweep,core,,,
abil_dexterity,Dexterity,MODIFIES,thief_move_silently,Move Silently,success chance,,improves,read,PHB,12,DEXTERITY TABLE II: ADJUSTMENTS FOR THIEVES,explicit_rule,page-sweep,core,,,
abil_dexterity,Dexterity,MODIFIES,thief_open_locks,Open Locks,success chance,,improves,read,PHB,12,DEXTERITY TABLE II: ADJUSTMENTS FOR THIEVES,explicit_rule,page-sweep,core,,,
abil_dexterity,Dexterity,MODIFIES,thief_pick_pockets,Pick Pockets,success chance,,improves,read,PHB,12,DEXTERITY TABLE II: ADJUSTMENTS FOR THIEVES,explicit_rule,page-sweep,core,,,
abil_intelligence,Intelligence,CONSTRAINS,sys_classes,Character Class,class eligibility,at the lowest scores,worsens,read,PHB,10,INTELLIGENCE TABLE I,explicit_rule,page-sweep,core,,,
abil_intelligence,Intelligence,TRIGGERS,rule_chance_know_spell,Chance to Know Each Listed Spell,recheck of known spells,on relatively permanent score change,inflicts,read,PHB,10,Notes Regarding Intelligence Table II,explicit_rule,page-sweep,core,,,
abil_strength,Strength,CONSTRAINS,sys_classes,Character Class,class eligibility,at the lowest scores,worsens,read,PHB,9,STRENGTH TABLE I,explicit_rule,page-sweep,core,,,
abil_strength,Strength,GATES,class_ranger,Ranger,class eligibility,,enables,derived,PHB,9,STRENGTH TABLE I,explicit_rule,page-sweep,core,,,
abil_wisdom,Wisdom,CONSTRAINS,sys_classes,Character Class,class eligibility,at the lowest scores,worsens,read,PHB,11,WISDOM TABLE I,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,GATES,rule_cleric_bonus_spells,Cleric Bonus Spells,availability,only when the spell level is reached,enables,derived,PHB,11,Notes Regarding Wisdom Table II,explicit_rule,page-sweep,core,,,
race_demihuman,Demihuman,MODIFIES,thief_skills,Thief Skills,racial adjustment,,improves,read,PHB,12,Notes Regarding Dexterity Table II,explicit_rule,page-sweep,core,,,
rule_sex,Character Sex,CONSTRAINS,abil_strength,Strength,maximum score,jointly with race,worsens,read,PHB,9,STRENGTH TABLE I,explicit_rule,page-sweep,core,,,
sys_classes,Character Class,CONSTRAINS,rule_hit_points,Hit Points,constitution bonus cap,non-fighter classes,worsens,read,PHB,12,Notes Regarding Constitution Table,explicit_rule,page-sweep,core,,,
