source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
abil_charisma,Charisma,GATES,race_elf,Elf,racial minimum,,enables,derived,PHB,15,CHARACTER RACE TABLE III: ABILITY SCORE MINIMUMS & MAXIMUMS,explicit_rule,page-sweep,core,,,
abil_constitution,Constitution,GATES,race_half_elf,Half-Elf,racial minimum,,enables,derived,PHB,15,CHARACTER RACE TABLE III: ABILITY SCORE MINIMUMS & MAXIMUMS,explicit_rule,page-sweep,core,,,
abil_strength,Strength,GATES,race_dwarf,Dwarf,racial minimum,,enables,derived,PHB,15,CHARACTER RACE TABLE III: ABILITY SCORE MINIMUMS & MAXIMUMS,explicit_rule,page-sweep,core,,,
abil_strength,Strength,GATES,race_gnome,Gnome,racial minimum,,enables,derived,PHB,15,CHARACTER RACE TABLE III: ABILITY SCORE MINIMUMS & MAXIMUMS,explicit_rule,page-sweep,core,,,
abil_strength,Strength,GATES,race_half_orc,Half-Orc,racial minimum,,enables,derived,PHB,15,CHARACTER RACE TABLE III: ABILITY SCORE MINIMUMS & MAXIMUMS,explicit_rule,page-sweep,core,,,
abil_strength,Strength,GATES,race_halfling,Halfling,racial minimum,,enables,derived,PHB,15,CHARACTER RACE TABLE III: ABILITY SCORE MINIMUMS & MAXIMUMS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,CONSTRAINS,abil_charisma,Charisma,maximum score,outside the character's own race,worsens,read,PHB,15,CHARACTER RACE TABLE III: ABILITY SCORE MINIMUMS & MAXIMUMS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,CONSTRAINS,abil_constitution,Constitution,maximum score,ceiling raised above the human maximum,improves,read,PHB,15,CHARACTER RACE TABLE III: ABILITY SCORE MINIMUMS & MAXIMUMS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,CONSTRAINS,abil_dexterity,Dexterity,maximum score,,worsens,read,PHB,15,CHARACTER RACE TABLE III: ABILITY SCORE MINIMUMS & MAXIMUMS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,CONSTRAINS,abil_strength,Strength,maximum score,females only,worsens,read,PHB,15,CHARACTER RACE TABLE III: ABILITY SCORE MINIMUMS & MAXIMUMS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,CONSTRAINS,exp_level,Experience Level,maximum level,varies by class,worsens,read,PHB,14,CHARACTER RACE TABLE II: CLASS LEVEL LIMITATIONS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,CONSTRAINS,hench_henchmen,Henchmen,henchman ceiling,own-race retainers exempt from the charisma cap,improves,read,PHB,16,Dwarves,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,CONSTRAINS,rule_languages,Languages,additional language limit,regardless of intelligence,worsens,read,PHB,15,Dwarves,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,EXCLUDES,class_cleric,Cleric,class eligibility,,negates,derived,PHB,13,CHARACTER RACE TABLE I: CHARACTER CLASS LIMITATIONS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,EXCLUDES,class_druid,Druid,class eligibility,,negates,derived,PHB,13,CHARACTER RACE TABLE I: CHARACTER CLASS LIMITATIONS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,EXCLUDES,class_illusionist,Illusionist,class eligibility,,negates,derived,PHB,13,CHARACTER RACE TABLE I: CHARACTER CLASS LIMITATIONS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,EXCLUDES,class_magic_user,Magic-User,class eligibility,,negates,derived,PHB,13,CHARACTER RACE TABLE I: CHARACTER CLASS LIMITATIONS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,EXCLUDES,class_monk,Monk,class eligibility,,negates,derived,PHB,13,CHARACTER RACE TABLE I: CHARACTER CLASS LIMITATIONS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,EXCLUDES,class_paladin,Paladin,class eligibility,,negates,derived,PHB,13,CHARACTER RACE TABLE I: CHARACTER CLASS LIMITATIONS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,EXCLUDES,class_ranger,Ranger,class eligibility,,negates,derived,PHB,13,CHARACTER RACE TABLE I: CHARACTER CLASS LIMITATIONS,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,GATES,race_infravision,Infravision,racial vision,,enables,derived,PHB,15,Dwarves,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,GATES,rule_detection,Detection,underground detection,when actively seeking,enables,derived,PHB,,Dwarves,explicit_rule,page-sweep,core,,,
race_dwarf,Dwarf,GATES,rule_multiclass,Multi-Class,multi-class eligibility,,enables,derived,PHB,15,Dwarves,explicit_rule,page-sweep,core,,,
