source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
abil_dexterity,Dexterity,EXCLUDED_FROM,cbt_armor_class,Armor Class,defensive adjustment,monks,negates,derived,PHB,30,The Monk,explicit_rule,page-sweep,core,,,
abil_strength,Strength,EXCLUDED_FROM,cbt_damage,Damage,damage adjustment,monks,negates,derived,PHB,32,The Monk,explicit_rule,page-sweep,core,,,
abil_strength,Strength,EXCLUDED_FROM,cbt_tohit,To-Hit Roll,attack adjustment,monks,negates,derived,PHB,32,The Monk,explicit_rule,page-sweep,core,,,
class_assassin,Assassin,CONSTRAINS,exp_level,Experience Level,class level limit,,worsens,read,PHB,19,"CHARACTER CLASSES TABLE I: HIT DICE, SPELL ABILITY, AND CLASS LEVEL LIMIT",explicit_rule,page-sweep,core,,,
class_assassin,Assassin,CONSTRAINS,sys_equipment,Equipment,armour and weapons permitted,,worsens,read,PHB,19,CHARACTER CLASSES TABLE II: ARMOR AND WEAPONS PERMITTED,explicit_rule,page-sweep,core,,,
class_assassin,Assassin,CONSTRAINS,thief_skills,Thief Skills,effective thieving level,,worsens,read,PHB,29,The Assassin,explicit_rule,page-sweep,core,,,
class_assassin,Assassin,EXCLUDES,rule_spell_casting,Casting a Spell,spell ability,,negates,derived,PHB,19,"CHARACTER CLASSES TABLE I: HIT DICE, SPELL ABILITY, AND CLASS LEVEL LIMIT",explicit_rule,page-sweep,core,,,
class_assassin,Assassin,GATES,rule_assassination,Assassination,assassination attack,on surprise,enables,derived,PHB,29,The Assassin,explicit_rule,page-sweep,core,,,
class_cleric,Cleric,GATES,rule_spell_casting,Casting a Spell,spell ability,,enables,derived,PHB,19,"CHARACTER CLASSES TABLE I: HIT DICE, SPELL ABILITY, AND CLASS LEVEL LIMIT",explicit_rule,page-sweep,core,,,
class_druid,Druid,CONSTRAINS,exp_level,Experience Level,class level limit,,worsens,read,PHB,19,"CHARACTER CLASSES TABLE I: HIT DICE, SPELL ABILITY, AND CLASS LEVEL LIMIT",explicit_rule,page-sweep,core,,,
class_druid,Druid,CONSTRAINS,sys_equipment,Equipment,armour and weapons permitted,,worsens,read,PHB,19,CHARACTER CLASSES TABLE II: ARMOR AND WEAPONS PERMITTED,explicit_rule,page-sweep,core,,,
class_druid,Druid,GATES,rule_languages,Languages,druidic language,,enables,derived,PHB,21,The Druid,explicit_rule,page-sweep,core,,,
class_druid,Druid,GATES,rule_spell_casting,Casting a Spell,spell ability,,enables,derived,PHB,19,"CHARACTER CLASSES TABLE I: HIT DICE, SPELL ABILITY, AND CLASS LEVEL LIMIT",explicit_rule,page-sweep,core,,,
class_druid,Druid,MODIFIES,save_matrix,Saving Throw Matrix,saving throw,fire and lightning attacks,improves,read,PHB,21,The Druid,explicit_rule,page-sweep,core,,,
class_fighter,Fighter,EXCLUDES,rule_spell_casting,Casting a Spell,spell ability,,negates,derived,PHB,19,"CHARACTER CLASSES TABLE I: HIT DICE, SPELL ABILITY, AND CLASS LEVEL LIMIT",explicit_rule,page-sweep,core,,,
class_fighter,Fighter,GATES,hench_mercenary,Mercenary Soldier,men-at-arms attraction,on establishing a freehold,enables,derived,PHB,22,The Fighter,explicit_rule,page-sweep,core,,,
class_fighter,Fighter,GATES,rule_freehold,Freehold,freehold establishment,at high level,enables,derived,PHB,22,The Fighter,explicit_rule,page-sweep,core,,,
class_illusionist,Illusionist,CONSTRAINS,item_magic_item,Magic Device,usable magic items,,worsens,read,PHB,26,The Illusionist,explicit_rule,page-sweep,core,,,
class_illusionist,Illusionist,CONSTRAINS,sys_equipment,Equipment,armour and weapons permitted,,worsens,read,PHB,19,CHARACTER CLASSES TABLE II: ARMOR AND WEAPONS PERMITTED,explicit_rule,page-sweep,core,,,
class_illusionist,Illusionist,GATES,rule_spell_casting,Casting a Spell,spell ability,,enables,derived,PHB,19,"CHARACTER CLASSES TABLE I: HIT DICE, SPELL ABILITY, AND CLASS LEVEL LIMIT",explicit_rule,page-sweep,core,,,
class_magic_user,Magic-User,GATES,item_enchant,Enchanting Items,item enchantment,at high level,enables,derived,PHB,25,The Magic-User,explicit_rule,page-sweep,core,,,
