source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
abil_charisma,Charisma,EXCLUDED_FROM,hench_hirelings,Hirelings,number retainable,,negates,derived,PHB,39,HIRELINGS,explicit_rule,page-sweep,core,,,
abil_charisma,Charisma,MODIFIES,hench_henchmen,Henchmen,number attracted,,improves,read,PHB,39,HENCHMEN,explicit_rule,page-sweep,core,,,
hench_henchmen,Henchmen,CONSTRAINS,hench_experience,Henchman Experience,share of experience awarded,acting under direction,worsens,read,PHB,39,HENCHMEN,explicit_rule,page-sweep,core,,,
hench_henchmen,Henchmen,CONSUMES,money_gp,Money,"wages, upkeep and treasure share",,neutral,derived,PHB,39,HENCHMEN,explicit_rule,page-sweep,core,,,
hench_loyalty,Loyalty Base,TRIGGERS,hench_betrayal,Betrayal,betrayal,under combat or stress,inflicts,read,PHB,39,HENCHMEN,explicit_rule,page-sweep,core,,,
hench_loyalty,Loyalty Base,TRIGGERS,hench_desertion,Desertion,desertion,under combat or stress,inflicts,read,PHB,39,HENCHMEN,explicit_rule,page-sweep,core,,,
money_gp,Money,MODIFIES,hench_loyalty,Loyalty Base,loyalty,remuneration and treasure share,improves,read,PHB,39,HENCHMEN,explicit_rule,page-sweep,core,,,
rule_movement_scale,Movement Scale,CONSTRAINS,ex_movement_rate,Movement Rate,scale by setting,,worsens,read,PHB,39,DISTANCE,explicit_rule,page-sweep,core,,,
rule_movement_scale,Movement Scale,MODIFIES,cbt_missile,Missile Fire,range,outdoors,improves,read,PHB,39,DISTANCE,explicit_rule,page-sweep,core,,,
rule_movement_scale,Movement Scale,MODIFIES,wpn_range,Weapon Range,range,outdoors,improves,read,PHB,39,DISTANCE,explicit_rule,page-sweep,core,,,
sys_alignment,Alignment,CONSTRAINS,hench_henchmen,Henchmen,compatibility,,worsens,read,PHB,39,HENCHMEN,explicit_rule,page-sweep,core,,,
sys_alignment,Alignment,MODIFIES,hench_loyalty,Loyalty Base,loyalty,radical difference,worsens,read,PHB,39,HENCHMEN,explicit_rule,page-sweep,core,,,
time_segment_round_turn,Round and Segment,GATES,cbt_initiative,Initiative,segment ordering,,enables,derived,PHB,39,TIME,explicit_rule,page-sweep,core,,,
