source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
exp_level,Experience Level,MODIFIES,spell_commune,Commune,questions permitted,,improves,read,PHB,49,Commune,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_conjure_animals,Conjure Animals,duration,,improves,read,PHB,51,Conjure Animals,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_detect_evil,Detect Evil,duration,,improves,read,PHB,44,Detect Evil,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_dispel_magic,Dispel Magic,success chance,,improves,read,PHB,47,Dispel Magic,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_glyph_of_warding,Glyph of Warding,warded area,,improves,read,PHB,47,Glyph of Warding,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_hold_person,Hold Person,duration,,improves,read,PHB,45,Hold Person,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_insect_plague,Insect Plague,duration,,improves,read,PHB,50,Insect Plague,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_light,Light,duration,,improves,read,PHB,44,Light,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_raise_dead,Raise Dead,time dead limit,,improves,read,PHB,50,Raise Dead,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_remove_curse,Remove Curse,reverse duration,,improves,read,PHB,47,Remove Curse,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_restoration,Restoration,treatment window,,improves,read,PHB,52,Restoration,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_resurrection,Resurrection,time dead limit,,improves,read,PHB,52,Resurrection,explicit_rule,page-sweep,core,,,
exp_level,Experience Level,MODIFIES,spell_slow_poison,Slow Poison,treatment window,,improves,read,PHB,45,Slow Poison,explicit_rule,page-sweep,core,,,
monster_special,Special Creatures,EXCLUDES,spell_cure_light_wounds,Cure Light Wounds,cannot be affected,creatures harmed only by special weapons,negates,derived,PHB,43,Cure Light Wounds,explicit_rule,page-sweep,core,,,
rule_spell_level,Spell Level,MODIFIES,rule_cleric_spells,Cleric Spells,likelihood the deity concurs,,worsens,read,PHB,43,Notes Regarding Cleric Spells,explicit_rule,page-sweep,core,,,
rule_spell_reversal,Reversed Spells,CONSTRAINS,rule_spell_memorization,Spell Memorization,application fixed at learning,,worsens,read,PHB,43,Notes Regarding Cleric Spells,explicit_rule,page-sweep,core,,,
rule_spell_reversal,Reversed Spells,TRIGGERS,rule_alignment_change,Changing Alignment,alignment drift,continued incautious use,inflicts,read,PHB,43,Notes Regarding Cleric Spells,explicit_rule,page-sweep,core,,,
spell_cure_light_wounds,Cure Light Wounds,TRIGGERS,cbt_tohit,To-Hit Roll,attack roll required,,neutral,read,PHB,43,Cure Light Wounds,explicit_rule,page-sweep,core,,,
spell_glyph_of_warding,Glyph of Warding,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,47,Glyph of Warding,explicit_rule,page-sweep,core,,,
spell_heal,Heal,OVERRIDES,rule_disease,Disease,cures all disease,,neutral,derived,PHB,51,Heal,explicit_rule,page-sweep,core,explicit_replacement,,
spell_hold_person,Hold Person,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,45,Hold Person,explicit_rule,page-sweep,core,,,
spell_raise_dead,Raise Dead,TRIGGERS,rule_alignment_change,Changing Alignment,alignment shift,,inflicts,read,PHB,50,Raise Dead,explicit_rule,page-sweep,core,,,
spell_raise_dead,Raise Dead,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,50,Raise Dead,explicit_rule,page-sweep,core,,,
spell_remove_curse,Remove Curse,TRIGGERS,save_spell,Spell,saving throw,,neutral,read,PHB,47,Remove Curse,explicit_rule,page-sweep,core,,,
