source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
abil_constitution,Constitution,MODIFIES,spell_statue,Statue,survival of the transformation,,improves,read,PHB,89,Statue,explicit_rule,spell-scan,core,,,
abil_intelligence,Intelligence,MODIFIES,spell_magic_jar,Magic Jar,saving throw by score difference,,improves,read,PHB,81,Magic Jar,explicit_rule,spell-scan,core,,,
abil_wisdom,Wisdom,MODIFIES,spell_magic_jar,Magic Jar,saving throw by score difference,,improves,read,PHB,81,Magic Jar,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_anti_magic_shell,Anti-Magic Shell,duration,,improves,read,PHB,82,Anti-Magic Shell,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_cloudkill,Cloudkill,duration,,improves,read,PHB,79,Cloudkill,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_death_spell,Death Spell,area of effect,,improves,read,PHB,83,Death Spell,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_feeblemind,Feeblemind,range,,improves,read,PHB,80,Feeblemind,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_lower_water,Lower Water,area of effect,,improves,read,PHB,85,Lower Water,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_magic_jar,Magic Jar,range,,improves,read,PHB,81,Magic Jar,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_part_water,Part Water,range,,improves,read,PHB,85,Part Water,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_polymorph_any_object,Polymorph Any Object,range,,improves,read,PHB,91,Polymorph Any Object,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_sertens_spell_immunity,Serten's Spell Immunity,how many creatures can be protected,,improves,read,PHB,91,Serten’s Spell Immunity,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_shape_change,Shape Change,duration,,improves,read,PHB,93,Shape Change,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_statue,Statue,duration,,improves,read,PHB,89,Statue,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_wall_of_force,Wall of Force,area of effect,,improves,read,PHB,82,Wall of Force,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_wall_of_iron,Wall of Iron,thickness and area,,improves,read,PHB,82,Wall of Iron,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_wall_of_stone,Wall of Stone,thickness and area,,improves,read,PHB,82,Wall of Stone,explicit_rule,spell-scan,core,,,
monster_undead,Undead,EXCLUDED_FROM,spell_death_spell,Death Spell,not affected,,negates,derived,PHB,83,Death Spell,explicit_rule,spell-scan,core,,,
spell_anti_magic_shell,Anti-Magic Shell,EXCLUDED_FROM,cbt_missile,Missile Fire,normal missiles pass through,,negates,derived,PHB,82,Anti-Magic Shell,explicit_rule,spell-scan,core,,,
spell_anti_magic_shell,Anti-Magic Shell,EXCLUDES,item_magic_item,Magic Device,magic items do not function within,,negates,derived,PHB,82,Anti-Magic Shell,explicit_rule,spell-scan,core,,,
spell_anti_magic_shell,Anti-Magic Shell,EXCLUDES,rule_spell_casting,Casting a Spell,spells and their effects cannot enter,,negates,derived,PHB,82,Anti-Magic Shell,explicit_rule,spell-scan,core,,,
spell_dispel_magic,Dispel Magic,EXCLUDES,spell_permanency,Permanency,dispelling negates the permanence,,negates,derived,PHB,91,Permanency,explicit_rule,spell-scan,core,,,
spell_dispel_magic,Dispel Magic,EXCLUDES,spell_wall_of_iron,Wall of Iron,the only magical means of removal,,negates,derived,PHB,82,Wall of Iron,explicit_rule,spell-scan,core,,,
