source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
abil_intelligence,Intelligence,MODIFIES,spell_phantasmal_killer,Phantasmal Killer,the disbelief roll,,improves,read,PHB,98,Phantasmal Killer,explicit_rule,spell-scan,core,,,
abil_wisdom,Wisdom,MODIFIES,spell_phantasmal_killer,Phantasmal Killer,the disbelief roll,,improves,read,PHB,98,Phantasmal Killer,explicit_rule,spell-scan,core,,,
cbt_surprise,Surprise,MODIFIES,spell_phantasmal_killer,Phantasmal Killer,the disbelief roll,,worsens,read,PHB,98,Phantasmal Killer,explicit_rule,spell-scan,core,,,
class_illusionist,Illusionist,GATES,spell_first_level_magic_user_spells,First Level Magic-User Spells,access to the list,,enables,derived,PHB,100,First Level Magic-User Spells,explicit_rule,spell-scan,core,,,
class_illusionist,Illusionist,MODIFIES,spell_phantasmal_killer,Phantasmal Killer,the disbelief roll,,improves,read,PHB,98,Phantasmal Killer,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,GATES,spell_first_level_magic_user_spells,First Level Magic-User Spells,level of access,,enables,derived,PHB,100,First Level Magic-User Spells,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_audible_glamer,Audible Glamer,range,,improves,read,PHB,94,Audible Glamer,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_blur,Blur,duration,,improves,read,PHB,95,Blur,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_chaos,Chaos,duration,,improves,read,PHB,98,Chaos,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_color_spray,Color Spray,levels of creatures affected,,improves,read,PHB,94,Color Spray,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_demi_shadow_magic,Demi-Shadow Magic,damage when disbelieved,,improves,read,PHB,99,Demi-Shadow Magic,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_demi_shadow_monsters,Demi-Shadow Monsters,duration,,improves,read,PHB,98,Demi-Shadow Monsters,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_detect_illusion,Detect Illusion,duration,,improves,read,PHB,94,Detect Illusion,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_dispel_exhaustion,Dispel Exhaustion,duration,,improves,read,PHB,97,Dispel Exhaustion,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_dispel_illusion,Dispel Illusion,chance of dispelling,,improves,read,PHB,96,Dispel Illusion,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_first_level_magic_user_spells,First Level Magic-User Spells,how many are gained,,improves,read,PHB,100,First Level Magic-User Spells,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_fog_cloud,Fog Cloud,duration,,improves,read,PHB,95,Fog Cloud,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_illusionary_script,Illusionary Script,duration of the confusion,,improves,read,PHB,96,Illusionary Script,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_improved_invisibility,Improved Invisibility,duration,,improves,read,PHB,97,Improved Invisibility,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_improved_phantasmal_force,Improved Phantasmal Force,area of effect,,improves,read,PHB,95,Improved Phantasmal Force,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_major_creation,Major Creation,duration,,improves,read,PHB,98,Major Creation,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_mass_suggestion,Mass Suggestion,creatures affected,,improves,read,PHB,99,Mass Suggestion,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_massmorph,Massmorph,area of effect,,improves,read,PHB,97,Massmorph,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_minor_creation,Minor Creation,volume created,,improves,read,PHB,98,Minor Creation,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_mirror_image,Mirror Image,duration,,improves,read,PHB,96,Mirror Image,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_misdirection,Misdirection,duration,,improves,read,PHB,96,Misdirection,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_non_detection,Non-detection,duration,,improves,read,PHB,97,Non-detection,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_paralyzation,Paralyzation,range,,improves,read,PHB,97,Paralyzation,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_permanent_illusion,Permanent Illusion,area of effect,,improves,read,PHB,99,Permanent Illusion,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_phantasmal_killer,Phantasmal Killer,range,,improves,read,PHB,98,Phantasmal Killer,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_prismatic_wall,Prismatic Wall,size of the wall,,improves,read,PHB,100,Prismatic Wall,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_programmed_illusion,Programmed Illusion,area of effect,,improves,read,PHB,99,Programmed Illusion,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_projected_image,Projected Image,range,,improves,read,PHB,99,Projected Image,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_shades,Shades,duration,,improves,read,PHB,99,Shades,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_shadow_door,Shadow Door,duration,,improves,read,PHB,99,Shadow Door,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_shadow_magic,Shadow Magic,damage when disbelieved,,improves,read,PHB,99,Shadow Magic,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_shadow_monsters,Shadow Monsters,duration,,improves,read,PHB,98,Shadow Monsters,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_shadow_monsters,Shadow Monsters,total hit dice created,,improves,read,PHB,98,Shadow Monsters,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_spectral_force,Spectral Force,area of effect,,improves,read,PHB,97,Spectral Force,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_summon_shadow,Summon Shadow,duration,,improves,read,PHB,99,Summon Shadow,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_summon_shadow,Summon Shadow,shadows conjured,,improves,read,PHB,99,Summon Shadow,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_true_sight,True Sight,duration,,improves,read,PHB,99,True Sight,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_veil,Veil,area of effect,,improves,read,PHB,99,Veil,explicit_rule,spell-scan,core,,,
exp_level,Experience Level,MODIFIES,spell_wall_of_fog,Wall of Fog,area of effect,,improves,read,PHB,95,Wall of Fog,explicit_rule,spell-scan,core,,,
item_helm_telepathy,Helm of Telepathy,MODIFIES,spell_phantasmal_killer,Phantasmal Killer,disbelief and reversal,,improves,read,PHB,98,Phantasmal Killer,explicit_rule,spell-scan,core,,,
rule_concentration,Concentration,GATES,spell_improved_phantasmal_force,Improved Phantasmal Force,minimal concentration sustains it,,enables,derived,PHB,95,Improved Phantasmal Force,explicit_rule,spell-scan,core,,,
rule_disbelief,Disbelief,EXCLUDES,spell_phantasmal_killer,Phantasmal Killer,the killer defeated,,negates,derived,PHB,98,Phantasmal Killer,explicit_rule,spell-scan,core,,,
rule_disbelief,Disbelief,MODIFIES,spell_shadow_monsters,Shadow Monsters,how real they are,,worsens,read,PHB,98,Shadow Monsters,explicit_rule,spell-scan,core,,,
rule_hit_dice,Hit Dice,CONSTRAINS,spell_hypnotic_pattern,Hypnotic Pattern,levels held,,worsens,read,PHB,95,Hypnotic Pattern,explicit_rule,spell-scan,core,,,
rule_hit_dice,Hit Dice,CONSTRAINS,spell_paralyzation,Paralyzation,hit dice held,,worsens,read,PHB,97,Paralyzation,explicit_rule,spell-scan,core,,,
rule_hit_dice,Hit Dice,MODIFIES,spell_color_spray,Color Spray,which effect applies,,worsens,read,PHB,94,Color Spray,explicit_rule,spell-scan,core,,,
spell_blindness,Blindness,EXCLUDED_FROM,spell_cure_blindness,Cure Blindness,removal by cure,,negates,derived,PHB,95,Blindness,explicit_rule,spell-scan,core,,,
spell_blindness,Blindness,TRIGGERS,rule_blindness,Blindness,the recipient is blinded,,inflicts,read,PHB,95,Blindness,explicit_rule,spell-scan,core,,,
spell_blur,Blur,MODIFIES,cbt_tohit,To-Hit Roll,attackers are penalised,,worsens,read,PHB,95,Blur,explicit_rule,spell-scan,core,,,
spell_blur,Blur,MODIFIES,save_matrix,Saving Throw Matrix,save against magic,,improves,read,PHB,95,Blur,explicit_rule,spell-scan,core,,,
spell_chaos,Chaos,EXCLUDES,save_matrix,Saving Throw Matrix,saving throw allowed,,negates,derived,PHB,98,Chaos,explicit_rule,spell-scan,core,,,
spell_color_spray,Color Spray,TRIGGERS,rule_blindness,Blindness,blindness by level,,inflicts,read,PHB,94,Color Spray,explicit_rule,spell-scan,core,,,
spell_color_spray,Color Spray,TRIGGERS,rule_stunned,Stunned,stunning by level,,inflicts,read,PHB,94,Color Spray,explicit_rule,spell-scan,core,,,
spell_color_spray,Color Spray,TRIGGERS,rule_unconsciousness,Unconsciousness,unconsciousness by level,,inflicts,read,PHB,94,Color Spray,explicit_rule,spell-scan,core,,,
spell_component_material,Material Component,MODIFIES,spell_vision,Vision,the sacrifice offered,,improves,read,PHB,100,Vision,explicit_rule,spell-scan,core,,,
spell_demi_shadow_magic,Demi-Shadow Magic,CROSS_REFERENCES,spell_shadow_magic,Shadow Magic,the spell list,,neutral,derived,PHB,99,Demi-Shadow Magic,explicit_reference,spell-scan,core,,,
spell_demi_shadow_monsters,Demi-Shadow Monsters,CROSS_REFERENCES,spell_shadow_monsters,Shadow Monsters,degree of reality,,neutral,derived,PHB,98,Demi-Shadow Monsters,explicit_reference,spell-scan,core,,,
spell_detect_illusion,Detect Illusion,GATES,rule_disbelief,Disbelief,seeing through illusion,,enables,derived,PHB,94,Detect Illusion,explicit_rule,spell-scan,core,,,
spell_dispel_exhaustion,Dispel Exhaustion,MODIFIES,ex_movement_rate,Movement Rate,recipients move faster,,improves,read,PHB,97,Dispel Exhaustion,explicit_rule,spell-scan,core,,,
spell_dispel_exhaustion,Dispel Exhaustion,MODIFIES,rule_hit_points,Hit Points,apparent restoration that lapses,,improves,read,PHB,97,Dispel Exhaustion,explicit_rule,spell-scan,core,,,
spell_dispel_illusion,Dispel Illusion,EXCLUDES,spell_paralyzation,Paralyzation,removes the effect,,negates,derived,PHB,97,Paralyzation,explicit_rule,spell-scan,core,,,
spell_dispel_illusion,Dispel Illusion,EXCLUDES,spell_phantasmal_force,Phantasmal Force,the illusion dispelled,,negates,derived,PHB,96,Dispel Illusion,explicit_rule,spell-scan,core,,,
spell_dispel_magic,Dispel Magic,EXCLUDES,spell_blindness,Blindness,removal of blindness,,negates,derived,PHB,95,Blindness,explicit_rule,spell-scan,core,,,
spell_dispel_magic,Dispel Magic,EXCLUDES,spell_deafness,Deafness,removal of deafness,,negates,derived,PHB,95,Deafness,explicit_rule,spell-scan,core,,,
spell_dispel_magic,Dispel Magic,EXCLUDES,spell_permanent_illusion,Permanent Illusion,dispelling the illusion,,negates,derived,PHB,99,Permanent Illusion,explicit_rule,spell-scan,core,,,
spell_emotion,Emotion,CROSS_REFERENCES,spell_fear,Fear,the fear emotion,,neutral,derived,PHB,97,Emotion,explicit_reference,spell-scan,core,,,
spell_first_level_magic_user_spells,First Level Magic-User Spells,CROSS_REFERENCES,rule_magic_user_spells,Magic-User Spells,source of the list,,neutral,derived,PHB,100,First Level Magic-User Spells,explicit_reference,spell-scan,core,,,
spell_gaze_reflection,Gaze Reflection,EXCLUDES,cbt_gaze_attack,Gaze Attack,the gaze attack,,negates,derived,PHB,94,Gaze Reflection,explicit_rule,spell-scan,core,,,
spell_hypnotic_pattern,Hypnotic Pattern,TRIGGERS,rule_immobile,Total Immobility,viewers stand fascinated,,inflicts,read,PHB,95,Hypnotic Pattern,explicit_rule,spell-scan,core,,,
spell_hypnotism,Hypnotism,GATES,spell_suggestion,Suggestion,susceptibility to suggestion,,enables,derived,PHB,95,Hypnotism,explicit_rule,spell-scan,core,,,
spell_illusionary_script,Illusionary Script,TRIGGERS,spell_confusion,Confusion,an unintended reader,,inflicts,read,PHB,96,Illusionary Script,explicit_rule,spell-scan,core,,,
spell_improved_invisibility,Improved Invisibility,EXCLUDED_FROM,rule_invisibility,Invisibility,ending on attack,,negates,derived,PHB,97,Improved Invisibility,explicit_rule,spell-scan,core,,,
spell_improved_invisibility,Improved Invisibility,MODIFIES,cbt_tohit,To-Hit Roll,observant opponents are penalised,,worsens,read,PHB,97,Improved Invisibility,explicit_rule,spell-scan,core,,,
spell_improved_invisibility,Improved Invisibility,MODIFIES,save_matrix,Saving Throw Matrix,the recipient's saving throws,,improves,read,PHB,97,Improved Invisibility,explicit_rule,spell-scan,core,,,
spell_major_creation,Major Creation,CROSS_REFERENCES,spell_minor_creation,Minor Creation,materials creatable,,neutral,derived,PHB,98,Major Creation,explicit_reference,spell-scan,core,,,
spell_mass_suggestion,Mass Suggestion,CROSS_REFERENCES,spell_suggestion,Suggestion,targets affected,,neutral,derived,PHB,99,Mass Suggestion,explicit_reference,spell-scan,core,,,
spell_mass_suggestion,Mass Suggestion,MODIFIES,save_matrix,Saving Throw Matrix,single-subject save,,worsens,read,PHB,99,Mass Suggestion,explicit_rule,spell-scan,core,,,
spell_minor_creation,Minor Creation,CONSUMES,spell_component_material,Material Component,a sample material,,neutral,derived,PHB,98,Minor Creation,explicit_rule,spell-scan,core,,,
spell_misdirection,Misdirection,MODIFIES,spell_detect_evil,Detect Evil,what is reported,,worsens,read,PHB,96,Misdirection,explicit_rule,spell-scan,core,,,
spell_misdirection,Misdirection,MODIFIES,spell_detect_invisibility,Detect Invisibility,what is reported,,worsens,read,PHB,96,Misdirection,explicit_rule,spell-scan,core,,,
spell_misdirection,Misdirection,MODIFIES,spell_detect_magic,Detect Magic,what is reported,,worsens,read,PHB,96,Misdirection,explicit_rule,spell-scan,core,,,
spell_non_detection,Non-detection,EXCLUDES,spell_detect_magic,Detect Magic,detecting the caster,,negates,derived,PHB,97,Non-detection,explicit_rule,spell-scan,core,,,
spell_non_detection,Non-detection,EXCLUDES,spell_esp,ESP,reading the caster,,negates,derived,PHB,97,Non-detection,explicit_rule,spell-scan,core,,,
spell_paralyzation,Paralyzation,TRIGGERS,rule_immobile,Total Immobility,the recipients are paralyzed,,inflicts,read,PHB,97,Paralyzation,explicit_rule,spell-scan,core,,,
spell_permanent_illusion,Permanent Illusion,CROSS_REFERENCES,spell_spectral_force,Spectral Force,duration,,neutral,derived,PHB,99,Permanent Illusion,explicit_reference,spell-scan,core,,,
spell_programmed_illusion,Programmed Illusion,CROSS_REFERENCES,spell_spectral_force,Spectral Force,trigger condition,,neutral,derived,PHB,99,Programmed Illusion,explicit_reference,spell-scan,core,,,
