source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
abil_charisma,Charisma,CONSTRAINS,hench_henchmen,Henchmen,charisma limit,,worsens,read,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
class_bard,Bard,CONSTRAINS,hench_henchmen,Henchmen,classes employable,,worsens,read,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
class_bard,Bard,CONSTRAINS,hench_henchmen,Henchmen,service as a henchman,,worsens,read,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
class_bard,Bard,DERIVED_FROM,rule_druid_spells,Druid Spells,spell list,,neutral,derived,PHB,117,BARDS TABLE I,explicit_rule,page-sweep,optional,,,
class_bard,Bard,EXCLUDES,rule_poison_use,Use of Poison,poison is never used,except by neutral evil bards,negates,derived,PHB,118,BARDS TABLE III: ARMOR AND WEAPONS PERMITTED,explicit_rule,page-sweep,optional,,,
class_bard,Bard,GATES,item_magic_item,Magic Device,component class items,,enables,derived,PHB,118,BARDS,explicit_rule,page-sweep,optional,,,
class_bard,Bard,GATES,rule_oil,Oil,oil is permitted,,enables,derived,PHB,118,BARDS TABLE III: ARMOR AND WEAPONS PERMITTED,explicit_rule,page-sweep,optional,,,
class_bard,Bard,GATES,rule_scroll_use,Reading Spell from Scroll,druid scrolls,,enables,derived,PHB,118,Notes Regarding Bards Table I,explicit_rule,page-sweep,optional,,,
class_bard,Bard,MODIFIES,item_pipes_sewers,Pipes of the Sewers,superior for a bard,,improves,read,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
class_bard,Bard,MODIFIES,rule_languages,Languages,new tongues without study,,improves,read,PHB,118,Notes Regarding Bards Table II,explicit_rule,page-sweep,optional,,,
class_druid,Druid,FEEDS_INTO,class_bard,Bard,druidic powers,,neutral,derived,PHB,118,Notes Regarding Bards Table I,explicit_rule,page-sweep,optional,,,
class_fighter,Fighter,FEEDS_INTO,class_bard,Bard,combat level,,neutral,derived,PHB,118,BARDS,explicit_rule,page-sweep,optional,,,
class_fighter,Fighter,FEEDS_INTO,rule_hit_points,Hit Points,fighter hit dice,,neutral,derived,PHB,118,Notes Regarding Bards Table I,explicit_rule,page-sweep,optional,,,
class_thief,Thief,FEEDS_INTO,class_bard,Bard,thieving level,,neutral,derived,PHB,118,BARDS,explicit_rule,page-sweep,optional,,,
class_thief,Thief,FEEDS_INTO,rule_hit_points,Hit Points,thief hit dice,where that class level is the higher,neutral,derived,PHB,118,Notes Regarding Bards Table I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,CONSTRAINS,class_bard,Bard,casting ability cap,,worsens,read,PHB,118,Notes Regarding Bards Table I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,GATES,hench_henchmen,Henchmen,number maintainable,,enables,derived,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,GATES,rule_stronghold,Stronghold,construction of a stronghold,,enables,derived,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,MODIFIES,class_bard,Bard,spells available,,improves,read,PHB,117,BARDS TABLE I,explicit_rule,page-sweep,optional,,,
item_bard_instrument,Bardic Instruments,GATES,class_bard,Bard,stringed instrument required,,enables,derived,PHB,118,BARDS,explicit_rule,page-sweep,optional,,,
item_magic_item,Magic Device,MODIFIES,class_bard,Bard,baneful writing,,worsens,read,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
item_magic_item,Magic Device,MODIFIES,class_bard,Bard,librams beyond the norm,,improves,read,PHB,118,BARDS,explicit_rule,page-sweep,optional,,,
race_elf,Elf,GATES,hench_henchmen,Henchmen,races employable,,enables,derived,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
race_half_elf,Half-Elf,GATES,class_bard,Bard,human or half-elven only,,enables,derived,PHB,117,BARD RACE,explicit_rule,page-sweep,optional,,,
race_half_elf,Half-Elf,GATES,hench_henchmen,Henchmen,races employable,,enables,derived,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
race_human,Human,GATES,class_bard,Bard,human or half-elven only,,enables,derived,PHB,117,BARD RACE,explicit_rule,page-sweep,optional,,,
race_human,Human,GATES,hench_henchmen,Henchmen,races employable,,enables,derived,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
rule_dm_discretion,DM Discretion,GATES,item_magic_item,Magic Device,bard-only items,,enables,derived,PHB,119,BARDS,explicit_rule,page-sweep,optional,,,
rule_dual_class,The Character with Two Classes,EXCLUDED_FROM,class_bard,Bard,class-change hit dice,,negates,derived,PHB,118,Notes Regarding Bards Table I,explicit_rule,page-sweep,optional,,,
sys_armor,Armor,CONSTRAINS,class_bard,Bard,armour and shield permitted,,worsens,read,PHB,118,BARDS TABLE III: ARMOR AND WEAPONS PERMITTED,explicit_rule,page-sweep,optional,,,
