source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
exp_level,Experience Level,MODIFIES,rule_treasure_division,Division of Treasure,rolls when dicing,,improves,read,PHB,122,Magical Treasure:,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,MODIFIES,rule_treasure_division,Division of Treasure,shares by level,the shares-by-level agreement,improves,read,PHB,122,Agreements:,explicit_rule,page-sweep,optional,,,
hench_henchmen,Henchmen,CONSTRAINS,rule_treasure_division,Division of Treasure,rolls for a henchman,,worsens,read,PHB,122,Magical Treasure:,explicit_rule,page-sweep,optional,,,
hench_henchmen,Henchmen,EXCLUDED_FROM,rule_treasure_division,Division of Treasure,bonus share,,negates,derived,PHB,122,Modifiers:,explicit_rule,page-sweep,optional,,,
hench_henchmen,Henchmen,MODIFIES,rule_treasure_division,Division of Treasure,fractional divisor,,neutral,read,PHB,122,Modifiers:,explicit_rule,page-sweep,optional,,,
item_magic_item,Magic Device,FEEDS_INTO,rule_treasure_division,Division of Treasure,items parcelled,,neutral,derived,PHB,122,Magical Treasure:,explicit_rule,page-sweep,optional,,,
money_gp,Money,FEEDS_INTO,rule_treasure_division,Division of Treasure,balancing the parcels,,neutral,derived,PHB,122,Magical Treasure:,explicit_rule,page-sweep,optional,,,
rule_death,Death,CONSTRAINS,rule_treasure_division,Division of Treasure,treasure gained before death,,worsens,read,PHB,122,Modifiers:,explicit_rule,page-sweep,optional,,,
rule_dual_class,The Character with Two Classes,CONSTRAINS,rule_treasure_division,Division of Treasure,shares by class,,worsens,read,PHB,122,Agreements:,explicit_rule,page-sweep,optional,,,
rule_multiclass,Multi-Class,MODIFIES,rule_treasure_division,Division of Treasure,level calculation,,neutral,read,PHB,122,Agreements:,explicit_rule,page-sweep,optional,,,
rule_treasure_division,Division of Treasure,FEEDS_INTO,xp_treasure,Experience for Treasure,the individual share,,neutral,derived,PHB,122,Agreements:,inferred_rule,page-sweep,optional,,,
