source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
rule_deity,Non-Human Deity,DERIVED_FROM,monster_hd,Stat Block,deities carry armor class hit points and attacks,,UA,113,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
rule_deity,Non-Human Deity,FEEDS_INTO,magic_resistance,Magic Resistance,each deity has a resistance rating,,UA,114,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
rule_deity,Non-Human Deity,GATES,item_magic_weapon,Weapon Threshold,most require enchanted weapons to strike,,UA,118,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
rule_deity,Deity,TRIGGERS,gen_random_encounter,Summoned Servants,deities call elementals and creatures,,UA,113,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
rule_deity,Extraordinary Service,TRIGGERS,item_magic_item,Divine Boon,exceptional worshipers may receive a gift,,UA,114,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
rule_deity,Divine Boon,CONSTRAINS,rule_player_character,Lifetime Limit,such a gift comes only once,,UA,114,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
sys_classes,Character Class,FEEDS_INTO,rule_deity,Worshiper Base,each deity draws particular classes,,UA,116,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
rule_deity,Deity Strictures,CONSTRAINS,thief_skills,Thieving,some deities forbid theft for gain,,UA,116,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
rule_deity,Deity Strictures,CONSTRAINS,sys_alignment,Worshiper Conduct,each god sets behavioural limits,,UA,116,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
race_halfling,Halfling Pantheon,EXCLUDES,sys_alignment,Evil Deities,halflings have no evil gods,,UA,115,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
race_gnome,Gnomish Pantheon,GATES,rule_deity,Urdlen,a single evil god opposed to the rest,,UA,117,THE GODS OF THE GNOMES,TRUE,page-sweep
rule_deity,Urdlen,TRIGGERS,cbt_melee,Divine Conflict,at war with the other gnomish deities,,UA,118,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
class_assassin,Assassins and Evil Thieves,FEEDS_INTO,rule_deity,Urdlen,the evil god's worshiper base,,UA,118,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
rule_planar_travel,Outer Planes,GATES,rule_deity,Divine Residence,each pantheon dwells on a specific plane,,UA,117,THE GODS OF THE GNOMES,TRUE,page-sweep
sys_alignment,Alignment,FEEDS_INTO,rule_planar_travel,Afterlife Destination,faithful souls go to their god's plane,,UA,117,THE GODS OF THE GNOMES,TRUE,page-sweep
rule_deity,Racial Pantheon,MODIFIES,race,Racial Character,pantheons reflect the race's nature,,UA,115,APPENDIX S: NON-HUMAN DEITIES,TRUE,page-sweep
