source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass
comeliness,Comeliness,DERIVED_FROM,sys_ability_scores,Ability Scores,seventh ability score,,UA,7,COMELINESS,TRUE,prose-sweep
abil_charisma,Charisma,MODIFIES,comeliness,Comeliness,adjusts the score,,UA,7,COMELINESS,TRUE,prose-sweep
comeliness,Comeliness,MODIFIES,cbt_encounter_reactions,Encounter Reactions,reaction adjustment,,UA,7,COMELINESS,TRUE,prose-sweep
comeliness,Comeliness,TRIGGERS,rule_fascinate,Fascinate,at high scores,,UA,7,COMELINESS,TRUE,prose-sweep
rule_fascinate,Fascinate,EXCLUDES,cbt_melee,Combat Ability,does not impair fighting,,UA,7,COMELINESS,TRUE,prose-sweep
rule_fascinate,Fascinate,EXCLUDES,rule_spell_casting,Spell Casting,does not impair casting,,UA,7,COMELINESS,TRUE,prose-sweep
rule_fascinate,Fascinate,MODIFIES,sys_alignment,Alignment,actions while fascinated may affect it,,UA,7,COMELINESS,TRUE,prose-sweep
spell_change_self,Change Self,MODIFIES,comeliness,Comeliness,slight temporary shift,,UA,7,COMELINESS,TRUE,prose-sweep
spell_polymorph_other,Polymorph,MODIFIES,comeliness,Comeliness,shift from original,,UA,7,COMELINESS,TRUE,prose-sweep
spell_shape_change,Shape Change,OVERRIDES,comeliness,Comeliness,confers full comeliness of new form,,UA,7,COMELINESS,TRUE,prose-sweep
class_cavalier,Cavalier,DERIVED_FROM,class_fighter,Fighter,new subclass,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep
class_paladin,Paladin,DERIVED_FROM,class_cavalier,Cavalier,reassigned as cavalier subclass,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep
class_barbarian,Barbarian,DERIVED_FROM,class_fighter,Fighter,new subclass,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep
class_thief_acrobat,Thief-Acrobat,DERIVED_FROM,class_thief,Thief,new subclass,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep
sys_alignment,Alignment,GATES,class_cavalier,Cavalier,non-evil at start,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep
sys_alignment,Alignment,GATES,class_barbarian,Barbarian,non-lawful,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep
sys_alignment,Alignment,GATES,class_thief,Thief,non-good at start,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep
race,Race,CONSTRAINS,class_cavalier,Cavalier,limited racial access,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep
race_subrace,Elven Sub-Race,GATES,class_cavalier,Cavalier,dark gray or high elf descent only,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep
race_subrace,Elven Sub-Race,CONSTRAINS,class_ranger,Ranger,wild elf descent excluded,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep
prof_specialization,Weapon Specialization,DERIVED_FROM,prof_weapon,Weapon Proficiency,additional proficiency investment,,UA,15,WEAPON SPECIALIZATION,TRUE,prose-sweep
prof_specialization,Weapon Specialization,MODIFIES,cbt_tohit,To-Hit Roll,bonus with chosen weapon,,UA,15,WEAPON SPECIALIZATION,TRUE,prose-sweep
prof_specialization,Weapon Specialization,MODIFIES,cbt_damage,Damage,bonus with chosen weapon,,UA,15,WEAPON SPECIALIZATION,TRUE,prose-sweep
prof_specialization,Weapon Specialization,MODIFIES,cbt_attacks_per_round,Attacks Per Melee Round,increased rate,,UA,15,WEAPON SPECIALIZATION,TRUE,prose-sweep
prof_specialization,Weapon Specialization,GATES,class_fighter,Fighter,fighter classes only,,UA,15,WEAPON SPECIALIZATION,TRUE,prose-sweep
spell_cantrip,Cantrip,DERIVED_FROM,rule_magic_user_spells,Magic-User Spells,zero level spells,,UA,44,CANTRIPS,TRUE,prose-sweep
spell_cantrip,Cantrip,CONSUMES,rule_spell_memorization,Spell Memorization,occupies preparation,,UA,44,CANTRIPS,TRUE,prose-sweep
race_subrace,Sub-Race,MODIFIES,race,Race,expanded racial roster,,UA,3,CHARACTER RACES,TRUE,prose-sweep
sys_armor,Armor,CONSTRAINS,thief_skills,Thief Skills,penalty by armor type,,UA,22,THIEF SKILLS,TRUE,prose-sweep
