source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass,status
spell_penetrate_disguise,Penetrate Disguise,OVERRIDES,rule_disguise,Disguise,sees through non-magical disguise,,UA,33,CLERIC SPELLS (1ST LEVEL),TRUE,spell-scan,optional
spell_penetrate_disguise,Penetrate Disguise,EXCLUDES,rule_illusion,Illusion,cannot reveal an illusion,,UA,33,CLERIC SPELLS (1ST LEVEL),TRUE,spell-scan,optional
spell_penetrate_disguise,Penetrate Disguise,EXCLUDES,campaign_social_class,Rank and Status,does not detect actual station,,UA,33,CLERIC SPELLS (1ST LEVEL),TRUE,spell-scan,optional
spell_penetrate_disguise,Penetrate Disguise,FEEDS_INTO,spell_friends,Friends Spell,detects a figure under that dweomer,,UA,33,CLERIC SPELLS (1ST LEVEL),TRUE,spell-scan,optional
spell_negative_plane_protection,Negative Plane Protection,MODIFIES,exp_level_loss,Energy Drain,partial protection from draining undead,,UA,36,CLERIC SPELLS (3RD LEVEL),TRUE,spell-scan,optional
spell_negative_plane_protection,Negative Plane Protection,TRIGGERS,save_matrix,Saving Throw vs Death Magic,grants a save on being touched,,UA,36,CLERIC SPELLS (3RD LEVEL),TRUE,spell-scan,optional
rule_planar_travel,Positive Material Plane,FEEDS_INTO,spell_negative_plane_protection,Negative Plane Protection,the channel offsets the attack,,UA,36,CLERIC SPELLS (3RD LEVEL),TRUE,spell-scan,optional
monster_undead,Negative Plane Undead,GATES,spell_negative_plane_protection,Negative Plane Protection,only such undead are warded,,UA,36,CLERIC SPELLS (3RD LEVEL),TRUE,spell-scan,optional
spell_imbue_spell_ability,Imbue With Spell Ability,GATES,rule_spell_casting,Spell Casting,bestows casting on a non-caster,,UA,38,CLERIC SPELLS (4TH LEVEL),TRUE,spell-scan,optional
sys_classes,Character Class,CONSTRAINS,spell_imbue_spell_ability,Imbue With Spell Ability,only certain classes may receive it,,UA,38,CLERIC SPELLS (4TH LEVEL),TRUE,spell-scan,optional
exp_level,Ranger and Paladin Level,EXCLUDES,spell_imbue_spell_ability,Imbue With Spell Ability,upper level rangers and paladins are barred,,UA,38,CLERIC SPELLS (4TH LEVEL),TRUE,spell-scan,optional
monster_hd,Hit Dice,CONSTRAINS,spell_imbue_spell_ability,Imbue With Spell Ability,recipient needs a full hit die,,UA,38,CLERIC SPELLS (4TH LEVEL),TRUE,spell-scan,optional
spell_imbue_spell_ability,Imbue With Spell Ability,CONSUMES,rule_spell_memorization,Cleric's Own Spells,the cleric surrenders the imbued spell,,UA,38,CLERIC SPELLS (4TH LEVEL),TRUE,spell-scan,optional
spell_heroes_feast,Heroes' Feast,OVERRIDES,rule_disease,Disease,cures all diseases,,UA,40,CLERIC SPELLS (6TH LEVEL),TRUE,spell-scan,optional
spell_heroes_feast,Heroes' Feast,EXCLUDES,save_poison,Poison,immunity for hours,,UA,40,CLERIC SPELLS (6TH LEVEL),TRUE,spell-scan,optional
spell_heroes_feast,Heroes' Feast,MODIFIES,hit_points,Hit Points,heals damage,,UA,40,CLERIC SPELLS (6TH LEVEL),TRUE,spell-scan,optional
spell_heroes_feast,Heroes' Feast,TRIGGERS,spell_bless,Bless,the food acts as a bless spell,,UA,40,CLERIC SPELLS (6TH LEVEL),TRUE,spell-scan,optional
