source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass,status
rule_ceremony,Ceremony,GATES,exp_level,Cleric Level,each rite requires a minimum level,,UA,32,CLERIC SPELLS (1ST LEVEL),TRUE,spell-scan,optional
rule_ceremony,Ceremony,TRIGGERS,rule_aging,Coming of Age,rites are tied to life stages,,UA,32,CLERIC SPELLS (1ST LEVEL),TRUE,spell-scan,optional
rule_ceremony,Consecrate Ground,EXCLUDES,monster_undead,Undead,wards an area against them,,UA,32,CLERIC SPELLS (1ST LEVEL),TRUE,spell-scan,optional
rule_ceremony,Anathematize,TRIGGERS,rule_fear,Dread,the excommunicated inspire dread,,UA,32,CLERIC SPELLS (1ST LEVEL),FALSE,spell-scan,optional
spell_imbue_spell_ability,Imbue With Spell Ability,GATES,thief_skills,Thieves,thieves are among the eligible classes,,UA,38,CLERIC SPELLS (4TH LEVEL),TRUE,spell-scan,optional
rule_ceremony,Druidic Ceremony,MODIFIES,sys_alignment,Standing,rites confer or remove standing,,UA,41,DRUID SPELLS,TRUE,spell-scan,optional
spell_detect_poison,Detect Poison,FEEDS_INTO,save_poison,Poison,identifies toxic substances,,UA,42,DRUID SPELLS (1ST LEVEL),TRUE,spell-scan,optional
spell_detect_poison,Detect Poison,CONSTRAINS,rule_information,Poison Type,reveals presence but not the specific venom,,UA,42,DRUID SPELLS (1ST LEVEL),TRUE,spell-scan,optional
spell_cantrip,Flavor,ALTERNATIVE_TO,save_poison,Taste Masking,may disguise a taste,,UA,46,MAGIC-USER SPELLS (CANTRIPS),FALSE,spell-scan,optional
spell_cantrip,Shine,MODIFIES,rule_disguise,Appearance,polishes and brightens an object,,UA,46,MAGIC-USER SPELLS (CANTRIPS),TRUE,spell-scan,optional
spell_cantrip,Mute,MODIFIES,rule_noise,Sound,silences a small source,,UA,48,MAGIC-USER SPELLS (CANTRIPS),TRUE,spell-scan,optional
spell_cantrip,Gnats,TRIGGERS,rule_distraction,Distraction,summons biting insects,,UA,50,MAGIC-USER SPELLS (CANTRIPS),TRUE,spell-scan,optional
spell_melfs_acid_arrow,Melf's Acid Arrow,TRIGGERS,rule_item_destruction,Corrosion,acid damages equipment,,UA,54,MAGIC-USER SPELLS (2ND LEVEL),TRUE,spell-scan,optional
exp_level,Caster Level,MODIFIES,spell_melfs_acid_arrow,Acid Duration,rounds of acid scale with level,,UA,54,MAGIC-USER SPELLS (2ND LEVEL),TRUE,spell-scan,optional
spell_sepia_snake_sigil,Sepia Snake Sigil,TRIGGERS,rule_immobile,Suspended Animation,the victim is held motionless,,UA,56,MAGIC-USER SPELLS (3RD LEVEL),TRUE,spell-scan,optional
spell_sepia_snake_sigil,Suspended Animation,EXCLUDES,rule_aging,Aging,the trapped creature does not age,,UA,56,MAGIC-USER SPELLS (3RD LEVEL),TRUE,spell-scan,optional
exp_level,Caster Level,FEEDS_INTO,spell_sepia_snake_sigil,Snake Hit Dice,the conjured force matches caster level,,UA,56,MAGIC-USER SPELLS (3RD LEVEL),TRUE,spell-scan,optional
spell_sepia_snake_sigil,Sepia Snake,EXCLUDES,rule_player_character,The Caster,will not attack its own summoner,,UA,56,MAGIC-USER SPELLS (3RD LEVEL),TRUE,spell-scan,optional
spell_wind_wall,Wind Wall,EXCLUDES,cbt_missile,Light Missiles,arrows and bolts are deflected,,UA,56,MAGIC-USER SPELLS (3RD LEVEL),TRUE,spell-scan,optional
spell_magic_mirror,Magic Mirror,ALTERNATIVE_TO,rule_scrying,Scrying,turns a mirror into a crystal ball,,UA,57,MAGIC-USER SPELLS (4TH LEVEL),TRUE,spell-scan,optional
spell_dismissal,Dismissal,TRIGGERS,rule_planar_travel,Forced Return,sends an extraplanar creature home,,UA,58,MAGIC-USER SPELLS (5TH LEVEL),TRUE,spell-scan,optional
rule_information,True Name,GATES,spell_dismissal,Dismissal,the creature's name must be known and spoken,,UA,58,MAGIC-USER SPELLS (5TH LEVEL),TRUE,spell-scan,optional
magic_resistance,Magic Resistance,MODIFIES,spell_dismissal,Dismissal,resistance applies against the attempt,,UA,58,MAGIC-USER SPELLS (5TH LEVEL),TRUE,spell-scan,optional
spell_dismissal,Dismissal,ALTERNATIVE_TO,spell_abjure,Abjure,the arcane counterpart of the clerical spell,,UA,58,MAGIC-USER SPELLS (5TH LEVEL),TRUE,spell-scan,optional
spell_dolor,Dolor,TRIGGERS,rule_planar_travel,Extraplanar Compulsion,forces compliance from a foreign creature,,UA,58,MAGIC-USER SPELLS (5TH LEVEL),TRUE,spell-scan,optional
sys_alignment,Opposed Alignment,GATES,spell_dolor,Dolor,targets must be oppositely aligned or hostile,,UA,58,MAGIC-USER SPELLS (5TH LEVEL),TRUE,spell-scan,optional
spell_dolor,Dolor,TRIGGERS,rule_fear,Unease and Doubt,escalating dread over three rounds,,UA,58,MAGIC-USER SPELLS (5TH LEVEL),TRUE,spell-scan,optional
spell_leomunds_belabourment,Leomund's Lamentable Belabourment,TRIGGERS,ex_falling,Wandering into Hazards,distracted victims may stumble,,UA,59,MAGIC-USER SPELLS (6TH LEVEL),FALSE,spell-scan,optional
spell_sending,Sending,GATES,rule_planar_travel,Cross-Planar Message,contact across the planes,,UA,59,MAGIC-USER SPELLS (5TH LEVEL),TRUE,spell-scan,optional
spell_eyebite,Eyebite,ALTERNATIVE_TO,spell_charm_person,Charm,one of four selectable effects,,UA,60,MAGIC-USER SPELLS (6TH LEVEL),TRUE,spell-scan,optional
spell_eyebite,Eyebite,TRIGGERS,rule_fear,Fear,one of four selectable effects,,UA,60,MAGIC-USER SPELLS (6TH LEVEL),TRUE,spell-scan,optional
spell_eyebite,Eyebite,TRIGGERS,rule_disease,Sickness,one of four selectable effects,,UA,60,MAGIC-USER SPELLS (6TH LEVEL),TRUE,spell-scan,optional
spell_eyebite,Eyebite,CONSTRAINS,spell_eyebite,Eyebite,using one effect dissipates the whole spell,,UA,60,MAGIC-USER SPELLS (6TH LEVEL),TRUE,spell-scan,optional
spell_banishment,Banishment,TRIGGERS,rule_planar_travel,Forced Return,drives extraplanar creatures home permanently,,UA,61,MAGIC-USER SPELLS (7TH LEVEL),TRUE,spell-scan,optional
