source_id,source_label,edge_type,target_id,target_label,aspect,condition,polarity,polarity_basis,book,page,section,evidence,pass,status,supersession_basis,general_rule_id,review_flag
exp_level,Experience Level,DERIVED_FROM,tbl_cavaliers_i,Cavaliers Table I,level threshold,,neutral,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,GATES,monster_griffon,Griffon,steed handling,,enables,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,GATES,monster_hippogriff,Hippogriff,steed handling,,enables,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,GATES,monster_pegasus,Pegasus,steed handling,,enables,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,MODIFIES,rule_level_title,Level Title,title advancement,,neutral,read,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
exp_level,Experience Level,MODIFIES,rule_weapon_of_choice,Weapon of Choice,to hit bonus,,improves,read,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
rule_armorial_bearing,Armorial Bearing,DERIVED_FROM,campaign_social_class,Social Class and Rank,device of station,,neutral,derived,UA,16,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
rule_chivalric_code,Code of Chivalry,CONSTRAINS,class_cavalier,Cavalier,battlefield control,,neutral,read,UA,16,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
rule_chivalric_code,Code of Chivalry,CONSTRAINS,class_cavalier,Cavalier,conduct required,,neutral,read,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
rule_chivalric_code,Code of Chivalry,CONSTRAINS,prof_weapon,Weapon Proficiency,distance weapons avoided,,neutral,read,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
rule_chivalric_code,Code of Chivalry,GATES,class_cavalier,Cavalier,knighthood retained,order or liege lord demands revocation,enables,derived,UA,16,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
rule_chivalric_code,Code of Chivalry,MODIFIES,sys_experience,Experience Points,award reduced,code violated,worsens,read,UA,16,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
rule_hit_points,Hit Points,DERIVED_FROM,tbl_cavaliers_i,Cavaliers Table I,hit dice by level,,neutral,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
rule_level_title,Level Title,DERIVED_FROM,tbl_cavaliers_i,Cavaliers Table I,title by level,,neutral,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
rule_weapon_of_choice,Weapon of Choice,CONSTRAINS,class_cavalier,Cavalier,same weapon retained,,neutral,read,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
rule_weapon_of_choice,Weapon of Choice,EXCLUDED_FROM,cbt_damage,Damage,to hit bonus,,negates,derived,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
rule_weapon_of_choice,Weapon of Choice,EXCLUDED_FROM,item_magic_weapon,Magic Weapon,hitting magic immune,,negates,derived,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
rule_weapon_of_choice,Weapon of Choice,MODIFIES,cbt_attacks_per_round,Attacks Per Melee Round,effective level,,improves,read,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
rule_weapon_of_choice,Weapon of Choice,MODIFIES,cbt_tohit,To-Hit Roll,chosen weapon bonus,,improves,read,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
rule_zero_level_progression,Zero Level Progression,CONSTRAINS,class_cavalier,Cavalier,special abilities withheld,,neutral,read,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
rule_zero_level_progression,Zero Level Progression,GATES,class_cavalier,Cavalier,low born entry,,enables,derived,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
rule_zero_level_progression,Zero Level Progression,MODIFIES,rule_hit_points,Hit Points,entry path dice,,neutral,read,UA,14,THE CAVALIER,explicit_rule,page-sweep,optional,,,
weapon_lance,Lance,DERIVED_FROM,weapon_awl_pike,Awl Pike,dismounted specifications,heavy lance,neutral,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
weapon_lance,Lance,DERIVED_FROM,weapon_spear,Spear,dismounted specifications,medium or light lance,neutral,derived,UA,15,CAVALIERS TABLE I,explicit_rule,page-sweep,optional,,,
