id,label,kind,degree,roles
abil_cha_loyalty_base,Loyalty Base,abil,1,
abil_cha_max_henchmen,Maximum Henchmen,abil,6,
abil_cha_reaction_adj,Reaction Adjustment,abil,1,
abil_charisma,Charisma,abil,37,gatekeeper|modifier_source|tuning_point
abil_constitution,Constitution,abil,43,gatekeeper|modifier_source|resource|tuning_point
abil_dex_defensive_adjustment,Dexterity Defensive Adjustment,abil,17,
abil_dex_reaction_adjustment,Reaction/Attacking Adjustment,abil,7,
abil_dexterity,Dexterity,abil,53,gatekeeper|modifier_source|tuning_point
abil_intelligence,Intelligence,abil,54,gatekeeper|modifier_source|tuning_point
abil_str_exceptional,Exceptional Strength,abil,10,
abil_strength,Strength,abil,72,gatekeeper|modifier_source|tuning_point
abil_wisdom,Wisdom,abil,38,gatekeeper|modifier_source|tuning_point
align_change,Changing Alignment,align,11,trigger_source
campaign_circumstances,Campaign Circumstances,campaign,1,
campaign_climate,Climate and Ecology,campaign,9,resolution_machinery
campaign_construction,Construction,campaign,16,consumer|gated_privilege|time_sink|wealth_sink
campaign_peasants,Peasants Serfs and Slaves,campaign,7,
campaign_setting,Campaign Background,campaign,3,
campaign_settlement,Town or City,campaign,11,modifier_source
campaign_social_class,Social Class and Rank,campaign,27,gated_privilege
campaign_taxation,Taxation,campaign,9,consumer|wealth_sink
campaign_territory,Territory,campaign,15,gated_privilege|wealth_sink
cbt_aerial,Aerial Combat,cbt,7,
cbt_aerial_maneuver,Maneuverability Class,cbt,3,
cbt_armor_class,Armor Class,cbt,46,boundary_marker|tuning_point
cbt_attack_matrix,Attack Matrix,cbt,33,accumulator|aggregator|boundary_marker|resolution_machinery
cbt_attacks_per_round,Attacks Per Melee Round,cbt,17,tuning_point
cbt_breath_weapon,Breath Weapon,cbt,1,
cbt_charge,Charging,cbt,7,
cbt_close_range,Closing to Striking Range,cbt,2,
cbt_damage,Damage,cbt,78,override_source|triggered_procedure|tuning_point
cbt_encounter_distance,Encounter Distance,cbt,11,
cbt_encounter_reactions,Encounter Reactions,cbt,48,accumulator|aggregator|gated_privilege|triggered_procedure|tuning_point
cbt_fall_back,Falling Back,cbt,3,
cbt_flank_attack,Flank Attack,cbt,2,
cbt_flee,Fleeing,cbt,10,gated_privilege|triggered_procedure
cbt_gaze_attack,Gaze Attack,cbt,1,
cbt_grenade_missile,Grenade-Like Missiles,cbt,7,
cbt_initiative,Initiative,cbt,36,aggregator|gatekeeper|tuning_point
cbt_melee,Melee Combat,cbt,66,gated_privilege|trigger_source|triggered_procedure|tuning_point
cbt_melee_round,Melee Round,cbt,1,
cbt_missile,Missile Fire,cbt,23,accumulator|boundary_marker|gated_privilege|tuning_point
cbt_morale,Morale,cbt,35,aggregator|trigger_source|triggered_procedure|tuning_point
cbt_overbear,Overbearing,cbt,13,gated_privilege
cbt_parry,Parry,cbt,7,
cbt_pummel_grapple,Pummeling Grappling and Overbearing,cbt,58,aggregator|boundary_marker|gated_privilege|tuning_point
cbt_pursuit_evasion,Pursuit and Evasion,cbt,27,accumulator|gated_privilege|tuning_point
cbt_rear_attack,Rear Attack,cbt,8,
cbt_subdue,Striking to Subdue,cbt,14,gated_privilege
cbt_surprise,Surprise,cbt,49,consumer|gatekeeper|override_source|time_sink|tuning_point
cbt_tohit,To-Hit Roll,cbt,63,accumulator|gated_privilege|resolution_machinery|tuning_point
class_assassin,Assassin,class,31,gated_privilege|gatekeeper
class_barbarian,Barbarian,class,15,boundary_marker
class_bard,Bard,class,20,gated_privilege
class_cavalier,Cavalier,class,46,gated_privilege|modifier_source
class_cleric,Cleric,class,32,gated_privilege|gatekeeper
class_druid,Druid,class,28,consumer|gated_privilege|gatekeeper
class_fighter,Fighter,class,26,gated_privilege|gatekeeper
class_followers,Followers,class,28,aggregator|consumer|gated_privilege|wealth_sink
class_illusionist,Illusionist,class,17,gated_privilege
class_magic_user,Magic-User,class,30,gated_privilege|gatekeeper
class_monk,Monk,class,44,boundary_marker|gated_privilege|gatekeeper|modifier_source
class_monk_loss,Loss of Monk Status,class,3,
class_paladin,Paladin,class,37,gated_privilege|gatekeeper
class_paladin_loss,Loss of Paladinhood,class,6,
class_ranger,Ranger,class,24,gated_privilege
class_thief,Thief,class,25,gatekeeper
class_thief_acrobat,Thief-Acrobat,class,17,gated_privilege
comeliness,Comeliness,comeliness,25,tuning_point
cursed_item,Cursed Sword,cursed,28,accumulator
death_character,Death,death,38,accumulator|triggered_procedure
death_drowning,Drowning,death,1,
