source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass,status
monster_bear,Bear,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_brain_mole,Brain Mole,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_couatl,Couatl,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_demon,Demon,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_demon_succubus,Demon: Succubus,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_devil,Devil,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_dinosaur,Dinosaur,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_gray_ooze,Gray Ooze,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_intellect_devourer,Intellect Devourer,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_lich,Lich,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_lycanthrope,Lycanthrope,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_medusa,Medusa,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_men_cavemen,Men (Cavemen),GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_men_cavemen_merchant,Men (Cavemen): Merchant,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_men_cavemen_pilgrim,Men (Cavemen): Pilgrim,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_mind_flayer,Mind Flayer,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_shedu,Shedu,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_su_monster,Su-Monster,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_titan,Titan,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_triton,Triton,GATES,sys_psionics,Psionic Ability,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_axe_beak,Axe Beak,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_centaur,Centaur,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_couatl,Couatl,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_demon,Demon,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_devil,Devil,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_dragon,Dragon,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_dwarf,Dwarf,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_ear_seekers_electricgiantweed,Ear Seekers: Electricgiantweed,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_efreeti,Efreeti,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_eye_of_the_deep,Eye Of The Deep,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_flightless_bird,Flightless Bird,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_gargoyle,Gargoyle,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_ghast,Ghast,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_gnome,Gnome,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_goblin_iron_golem,Goblin: Iron Golem,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_halfling,Halfling,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_imp,Imp,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_lycanthrope,Lycanthrope,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_masher,Masher,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_medusa,Medusa,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_pixie,Pixie,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_pseudo_dragon,Pseudo-Dragon,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_quasit,Quasit,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_rakshasa,Rakshasa,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_rakshasa_mantapungisting,Rakshasa: Mantapungisting,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_roper,Roper,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_salamander,Salamander,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_sea_hag,Sea Hag,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_skeleton,Skeleton,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_slithering_tracker,Slithering Tracker,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_spectre,Spectre,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_spider,Spider,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_sprite,Sprite,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_titanothere,Titanothere,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_titanothere_giant_toadice_toadpoisonous_,Titanothere: Giant Toadice Toadpoisonous Toad,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_troglodyte,Troglodyte,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_unicorn,Unicorn,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_vampire,Vampire,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_wight,Wight,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_wyvern,Wyvern,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_xorn,Xorn,TRIGGERS,save_poison,Poison Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_cerebral_parasite,Cerebral Parasite,TRIGGERS,exp_level_loss,Energy Drain,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_demon_succubus,Demon: Succubus,TRIGGERS,exp_level_loss,Energy Drain,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_spectre,Spectre,TRIGGERS,exp_level_loss,Energy Drain,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_vampire,Vampire,TRIGGERS,exp_level_loss,Energy Drain,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_wight,Wight,TRIGGERS,exp_level_loss,Energy Drain,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_wraith,Wraith,TRIGGERS,exp_level_loss,Energy Drain,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_cerebral_parasite,Cerebral Parasite,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_demon,Demon,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_ear_seekers,Ear Seekers,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_gargoyle,Gargoyle,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_green_slime,Green Slime,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_leopard,Leopard,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_lycanthrope,Lycanthrope,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_neo_otyugh,Neo-Otyugh,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_night_hag,Night Hag,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_otyugh,Otyugh,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_rakshasa,Rakshasa,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_rot_grub,Rot Grub,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_thought_eater,Thought Eater,TRIGGERS,rule_disease,Disease,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_carrion_crawler,Carrion Crawler,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_demon,Demon,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_dragonne,Dragonne,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_efreeti,Efreeti,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_ettin,Ettin,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_gelatinous_cube,Gelatinous Cube,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_ghast,Ghast,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_ghoul,Ghoul,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_lich,Lich,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_pixie,Pixie,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_rakshasa_mantapungisting,Rakshasa: Mantapungisting,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_slithering_tracker,Slithering Tracker,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_spectre,Spectre,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_vampire,Vampire,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_water_weird,Water Weird,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_wight,Wight,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_xorn,Xorn,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_yeti,Yeti,TRIGGERS,rule_immobile,Paralysis,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_basilisk,Basilisk,TRIGGERS,save_petrify,Petrification,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_cockatrice,Cockatrice,TRIGGERS,save_petrify,Petrification,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_medusa,Medusa,TRIGGERS,save_petrify,Petrification,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_chimera,Chimera,TRIGGERS,save_breath,Breath Weapon,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_dragon,Dragon,TRIGGERS,save_breath,Breath Weapon,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_dragonne,Dragonne,TRIGGERS,save_breath,Breath Weapon,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_gorgon,Gorgon,TRIGGERS,save_breath,Breath Weapon,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_basilisk,Basilisk,TRIGGERS,rule_gaze_attack,Gaze Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_catoblepas,Catoblepas,TRIGGERS,rule_gaze_attack,Gaze Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_demon,Demon,TRIGGERS,rule_gaze_attack,Gaze Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_devil,Devil,TRIGGERS,rule_gaze_attack,Gaze Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
monster_jackalwere,Jackalwere,TRIGGERS,rule_gaze_attack,Gaze Attack,monster special ability,,MM,,MONSTER STAT BLOCKS,TRUE,mm-index,core
