source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass,status
abil_constitution,Constitution,MODIFIES,hit_points,Hit Points,per-die adjustment,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,MODIFIES,hit_points,Hit Points,raised ceiling,fighter classes only,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,MODIFIES,rule_system_shock,System Shock Survival,survival chance,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,MODIFIES,rule_resurrection_survival,Resurrection Survival,survival chance,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,GATES,class_illusionist,Illusionist,eligibility,minimum score,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,GATES,class_fighter,Fighter,eligibility,minimum score,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,GATES,class_paladin,Paladin,eligibility,minimum score,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,GATES,class_monk,Monk,eligibility,minimum score,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,GATES,class_ranger,Ranger,eligibility,minimum score,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,GATES,race_dwarf,Dwarf,eligibility,minimum score,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,GATES,race_elf,Elf,eligibility,minimum score,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,GATES,race_gnome,Gnome,eligibility,minimum score,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,GATES,race_halfling,Halfling,eligibility,minimum score,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_constitution,Constitution,GATES,race_half_orc,Half-Orc,eligibility,minimum score,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
rule_aging,Aging,TRIGGERS,rule_system_shock,System Shock Survival,roll required,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
rule_petrification,Petrification,TRIGGERS,rule_system_shock,System Shock Survival,roll required,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
spell_polymorph_other,Polymorph Others,TRIGGERS,rule_system_shock,System Shock Survival,roll required,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
spell_polymorph_any_object,Polymorph Any Object,TRIGGERS,rule_system_shock,System Shock Survival,roll required,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
spell_flesh_to_stone,Flesh to Stone,TRIGGERS,rule_system_shock,System Shock Survival,roll required,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
class_fighter,,OVERRIDES,hit_points,,raises Con hp ceiling,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
spell_raise_dead,,MODIFIES,abil_constitution,,permanent loss per raise,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
race,,MODIFIES,abil_constitution,,racial adjustment,,PHB,15,CHARACTER RACE TABLE III,TRUE,prose-sweep,core
spell_petrification,,TRIGGERS,rule_system_shock,,roll required,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
spell_raise_dead,,TRIGGERS,rule_resurrection_survival,,roll required,,PHB,12,CONSTITUTION TABLE,TRUE,prose-sweep,core
abil_strength,Strength,MODIFIES,cbt_tohit,To-Hit Roll,hit probability,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep,core
abil_strength,Strength,MODIFIES,cbt_damage,Damage,damage dealt,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep,core
abil_strength,Strength,MODIFIES,enc_weight_allowance,Weight Allowance,carrying capacity,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep,core
abil_strength,Strength,MODIFIES,str_open_doors,Open Doors,chances out of six,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep,core
abil_strength,Strength,MODIFIES,str_bend_bars,Bend Bars/Lift Gates,percentage chance,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep,core
abil_strength,Strength,MODIFIES,sys_experience,Experience Points,prime requisite bonus,fighters at high score,PHB,9,STRENGTH,TRUE,prose-sweep,core
str_open_doors,Open Doors,ALTERNATIVE_TO,str_bend_bars,Bend Bars/Lift Gates,passing a barrier,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep,core
str_open_doors,Open Doors,CONSUMES,rule_time,Time,per attempt,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep,core
str_open_doors,Open Doors,TRIGGERS,rule_noise,Noise,alerts nearby,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep,core
str_bend_bars,Bend Bars/Lift Gates,CONSTRAINS,str_bend_bars,Bend Bars/Lift Gates,one attempt only ever,,PHB,9,STRENGTH TABLE II,TRUE,prose-sweep,core
str_exceptional,Exceptional Strength,GATES,abil_strength,Strength,percentile rating,fighter classes only,PHB,9,STRENGTH,TRUE,prose-sweep,core
abil_intelligence,Intelligence,MODIFIES,rule_languages,Languages,number known,,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,MODIFIES,sys_experience,Experience Points,prime requisite bonus,magic-users at high score,PHB,10,INTELLIGENCE,TRUE,prose-sweep,core
abil_intelligence,Intelligence,MODIFIES,rule_chance_know_spell,Chance to Know Each Listed Spell,learning chance,,PHB,10,INTELLIGENCE TABLE II,TRUE,prose-sweep,core
abil_intelligence,Intelligence,CONSTRAINS,rule_spells_per_level,Spells Knowable Per Level,minimum and maximum,,PHB,10,INTELLIGENCE TABLE II,TRUE,prose-sweep,core
abil_intelligence,Intelligence,GATES,rule_spell_level_access,High-Level Spell Access,comprehension,5th level and above,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,GATES,class_magic_user,Magic-User,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,GATES,class_paladin,Paladin,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,GATES,class_assassin,Assassin,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,GATES,class_ranger,Ranger,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,GATES,class_illusionist,Illusionist,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,GATES,race_half_elf,Half-Elf,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,GATES,race_halfling,Halfling,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,GATES,race_gnome,Gnome,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,GATES,race_elf,Elf,eligibility,minimum score,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
abil_intelligence,Intelligence,CONSTRAINS,race_half_orc,Half-Orc,score ceiling,,PHB,10,INTELLIGENCE TABLE I,TRUE,prose-sweep,core
race,Race,CONSTRAINS,rule_languages,Languages,racial limits,,PHB,10,INTELLIGENCE,TRUE,prose-sweep,core
abil_wisdom,Wisdom,MODIFIES,save_magical_attack,Saving Throw vs Magical Attack,die roll,mental attack forms only,PHB,11,WISDOM TABLE I,TRUE,prose-sweep,core
abil_wisdom,Wisdom,MODIFIES,sys_experience,Experience Points,prime requisite bonus,clerics at high score,PHB,11,WISDOM,TRUE,prose-sweep,core
abil_wisdom,Wisdom,MODIFIES,rule_cleric_bonus_spells,Cleric Bonus Spells,additional spells,exceptional wisdom,PHB,11,WISDOM TABLE II,TRUE,prose-sweep,core
abil_wisdom,Wisdom,MODIFIES,rule_spell_failure,Chance of Spell Failure,failure chance,low wisdom only,PHB,11,WISDOM TABLE II,TRUE,prose-sweep,core
abil_wisdom,Wisdom,GATES,class_cleric,Cleric,eligibility,minimum score,PHB,11,WISDOM TABLE I,TRUE,prose-sweep,core
abil_wisdom,Wisdom,GATES,class_druid,Druid,eligibility,minimum score,PHB,11,WISDOM TABLE I,TRUE,prose-sweep,core
abil_wisdom,Wisdom,GATES,class_paladin,Paladin,eligibility,minimum score,PHB,11,WISDOM TABLE I,TRUE,prose-sweep,core
abil_wisdom,Wisdom,GATES,class_ranger,Ranger,eligibility,minimum score,PHB,11,WISDOM TABLE I,TRUE,prose-sweep,core
abil_wisdom,Wisdom,GATES,class_monk,Monk,eligibility,minimum score,PHB,11,WISDOM TABLE I,TRUE,prose-sweep,core
abil_wisdom,Wisdom,GATES,rule_spell_level_access,High-Level Spell Access,clerical 6th and 7th,,PHB,11,WISDOM TABLE II,TRUE,prose-sweep,core
abil_wisdom,Wisdom,CONSTRAINS,race_half_orc,Half-Orc,score ceiling,,PHB,11,WISDOM TABLE I,TRUE,prose-sweep,core
abil_wisdom,Wisdom,CONSTRAINS,race_halfling,Halfling,score ceiling,,PHB,11,WISDOM TABLE I,TRUE,prose-sweep,core
rule_spell_failure,Chance of Spell Failure,CONSUMES,rule_spell_slot,Memorized Spell,expended on failure,,PHB,11,WISDOM TABLE II,TRUE,prose-sweep,core
abil_dexterity,Dexterity,MODIFIES,cbt_initiative,Initiative,reaction adjustment,,PHB,11,DEXTERITY TABLE I,TRUE,prose-sweep,core
abil_dexterity,Dexterity,MODIFIES,cbt_missile,Missile Fire,attack adjustment,,PHB,11,DEXTERITY TABLE I,TRUE,prose-sweep,core
abil_dexterity,Dexterity,MODIFIES,cbt_armor_class,Armor Class,defensive adjustment,,PHB,11,DEXTERITY TABLE I,TRUE,prose-sweep,core
abil_dexterity,Dexterity,MODIFIES,thief_skills,Thief Skills,professional activities,,PHB,11,DEXTERITY TABLE II,TRUE,prose-sweep,core
abil_dexterity,Dexterity,MODIFIES,sys_experience,Experience Points,prime requisite bonus,thieves at high score,PHB,11,DEXTERITY,TRUE,prose-sweep,core
abil_dexterity,Dexterity,GATES,class_magic_user,Magic-User,eligibility,minimum score,PHB,11,DEXTERITY TABLE I,TRUE,prose-sweep,core
abil_dexterity,Dexterity,GATES,race_half_elf,Half-Elf,eligibility,minimum score,PHB,11,DEXTERITY TABLE I,TRUE,prose-sweep,core
abil_dexterity,Dexterity,GATES,race_elf,Elf,eligibility,minimum score,PHB,11,DEXTERITY TABLE I,TRUE,prose-sweep,core
abil_dexterity,Dexterity,GATES,race_halfling,Halfling,eligibility,minimum score,PHB,11,DEXTERITY TABLE I,TRUE,prose-sweep,core
abil_charisma,Charisma,MODIFIES,hench_max_number,Maximum Henchmen,cap,,PHB,13,CHARISMA TABLE,TRUE,prose-sweep,core
abil_charisma,Charisma,MODIFIES,hench_loyalty,Loyalty Base,loyalty,,PHB,13,CHARISMA TABLE,TRUE,prose-sweep,core
abil_charisma,Charisma,MODIFIES,cbt_encounter_reactions,Encounter Reactions,reaction adjustment,,PHB,13,CHARISMA TABLE,TRUE,prose-sweep,core
race,Race,CONSTRAINS,sys_classes,Character Class,which classes permitted,,PHB,13,CHARACTER RACE TABLE I,TRUE,prose-sweep,core
race,Race,CONSTRAINS,exp_level,Experience Level,maximum level attainable,by class,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep,core
race,Race,GATES,rule_npc_only_classes,NPC-Only Class Access,player availability,parenthesised entries,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep,core
abil_strength,Strength,MODIFIES,exp_level,Experience Level,raises racial level cap,demihuman fighters,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep,core
abil_intelligence,Intelligence,MODIFIES,exp_level,Experience Level,raises racial level cap,elven and half-elven magic-users,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep,core
abil_intelligence,Intelligence,MODIFIES,exp_level,Experience Level,raises racial level cap,gnome illusionists,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep,core
abil_dexterity,Dexterity,MODIFIES,exp_level,Experience Level,raises racial level cap,gnome illusionists,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep,core
abil_dexterity,Dexterity,MODIFIES,exp_level,Experience Level,raises racial level cap,half-orc thieves,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep,core
race_subrace,Sub-Race,MODIFIES,exp_level,Experience Level,raises racial level cap,halfling sub-races,PHB,14,CHARACTER RACE TABLE II,TRUE,prose-sweep,core
race_dwarf,Dwarf,MODIFIES,abil_constitution,Constitution,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep,core
race_dwarf,Dwarf,MODIFIES,abil_charisma,Charisma,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep,core
race_elf,Elf,MODIFIES,abil_dexterity,Dexterity,racial adjustment,,PHB,14,PENALTIES AND BONUSES FOR RACE,TRUE,prose-sweep,core
