source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass,status
comeliness,Comeliness,DERIVED_FROM,sys_ability_scores,Ability Scores,seventh ability score,,UA,7,COMELINESS,TRUE,prose-sweep,optional
abil_charisma,Charisma,MODIFIES,comeliness,Comeliness,adjusts the score,,UA,7,COMELINESS,TRUE,prose-sweep,optional
comeliness,Comeliness,MODIFIES,cbt_encounter_reactions,Encounter Reactions,reaction adjustment,,UA,7,COMELINESS,TRUE,prose-sweep,optional
comeliness,Comeliness,TRIGGERS,rule_fascinate,Fascinate,at high scores,,UA,7,COMELINESS,TRUE,prose-sweep,optional
rule_fascinate,Fascinate,EXCLUDES,cbt_melee,Combat Ability,does not impair fighting,,UA,7,COMELINESS,TRUE,prose-sweep,optional
rule_fascinate,Fascinate,EXCLUDES,rule_spell_casting,Spell Casting,does not impair casting,,UA,7,COMELINESS,TRUE,prose-sweep,optional
rule_fascinate,Fascinate,MODIFIES,sys_alignment,Alignment,actions while fascinated may affect it,,UA,7,COMELINESS,TRUE,prose-sweep,optional
spell_change_self,Change Self,MODIFIES,comeliness,Comeliness,slight temporary shift,,UA,7,COMELINESS,TRUE,prose-sweep,optional
spell_polymorph_other,Polymorph,MODIFIES,comeliness,Comeliness,shift from original,,UA,7,COMELINESS,TRUE,prose-sweep,optional
spell_shape_change,Shape Change,OVERRIDES,comeliness,Comeliness,confers full comeliness of new form,,UA,7,COMELINESS,TRUE,prose-sweep,optional
class_cavalier,Cavalier,DERIVED_FROM,class_fighter,Fighter,new subclass,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep,optional
class_paladin,Paladin,DERIVED_FROM,class_cavalier,Cavalier,reassigned as cavalier subclass,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep,optional
class_barbarian,Barbarian,DERIVED_FROM,class_fighter,Fighter,new subclass,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep,optional
class_thief_acrobat,Thief-Acrobat,DERIVED_FROM,class_thief,Thief,new subclass,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep,optional
sys_alignment,Alignment,GATES,class_cavalier,Cavalier,non-evil at start,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep,optional
sys_alignment,Alignment,GATES,class_barbarian,Barbarian,non-lawful,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep,optional
sys_alignment,Alignment,GATES,class_thief,Thief,non-good at start,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep,optional
race,Race,CONSTRAINS,class_cavalier,Cavalier,limited racial access,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep,optional
race_subrace,Elven Sub-Race,GATES,class_cavalier,Cavalier,dark gray or high elf descent only,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep,optional
race_subrace,Elven Sub-Race,CONSTRAINS,class_ranger,Ranger,wild elf descent excluded,,UA,12,CHARACTER CLASSES,TRUE,prose-sweep,optional
prof_specialization,Weapon Specialization,DERIVED_FROM,prof_weapon,Weapon Proficiency,additional proficiency investment,,UA,15,WEAPON SPECIALIZATION,TRUE,prose-sweep,optional
prof_specialization,Weapon Specialization,MODIFIES,cbt_tohit,To-Hit Roll,bonus with chosen weapon,,UA,15,WEAPON SPECIALIZATION,TRUE,prose-sweep,optional
prof_specialization,Weapon Specialization,MODIFIES,cbt_damage,Damage,bonus with chosen weapon,,UA,15,WEAPON SPECIALIZATION,TRUE,prose-sweep,optional
prof_specialization,Weapon Specialization,MODIFIES,cbt_attacks_per_round,Attacks Per Melee Round,increased rate,,UA,15,WEAPON SPECIALIZATION,TRUE,prose-sweep,optional
prof_specialization,Weapon Specialization,GATES,class_fighter,Fighter,fighter classes only,,UA,15,WEAPON SPECIALIZATION,TRUE,prose-sweep,optional
spell_cantrip,Cantrip,DERIVED_FROM,rule_magic_user_spells,Magic-User Spells,zero level spells,,UA,44,CANTRIPS,TRUE,prose-sweep,optional
spell_cantrip,Cantrip,CONSUMES,rule_spell_memorization,Spell Memorization,occupies preparation,,UA,44,CANTRIPS,TRUE,prose-sweep,optional
race_subrace,Sub-Race,MODIFIES,race,Race,expanded racial roster,,UA,3,CHARACTER RACES,TRUE,prose-sweep,optional
sys_armor,Armor,CONSTRAINS,thief_skills,Thief Skills,penalty by armor type,,UA,22,THIEF SKILLS,TRUE,prose-sweep,optional
comeliness,Comeliness,FEEDS_INTO,cbt_encounter_reactions,Initial Reactions,determines first impressions,,UA,6,CHARACTER ABILITIES,TRUE,page-sweep,optional
comeliness,Comeliness,EXCLUDES,abil_charisma,Charisma,attractiveness is not leadership,,UA,6,CHARACTER ABILITIES,TRUE,page-sweep,optional
rule_disease,Disease,MODIFIES,comeliness,Comeliness,via charisma loss,,UA,6,CHARACTER ABILITIES,TRUE,page-sweep,optional
rule_aging,Aging,MODIFIES,comeliness,Comeliness,via charisma loss,,UA,6,CHARACTER ABILITIES,TRUE,page-sweep,optional
item_artifact,Artifacts,MODIFIES,comeliness,Comeliness,via charisma loss,,UA,6,CHARACTER ABILITIES,TRUE,page-sweep,optional
race,Race,MODIFIES,comeliness,Comeliness,racial adjustment applies cross-race only,,UA,6,CHARACTER ABILITIES,TRUE,page-sweep,optional
race_half_orc,Half-Orc,MODIFIES,comeliness,Comeliness,largest racial penalty,,UA,6,CHARACTER ABILITIES,TRUE,page-sweep,optional
race_elf,Elven Subrace,MODIFIES,comeliness,Comeliness,gray and high elves gain the most,,UA,6,CHARACTER ABILITIES,TRUE,page-sweep,optional
spell_polymorph_self,Polymorph,MODIFIES,comeliness,Comeliness,larger shift from subtle social cues,,UA,7,CHARACTER ABILITIES (COMELINESS),TRUE,page-sweep,optional
rule_illusion,Illusion of High Comeliness,CONSTRAINS,rule_fascinate,Fascinate,effective for one round only,,UA,7,CHARACTER ABILITIES (COMELINESS),TRUE,page-sweep,optional
race_subrace,Racial Stock,CONSTRAINS,sys_classes,Character Class,expanded class limitations table,,UA,7,CHARACTER RACE TABLE I.,TRUE,page-sweep,optional
race_subrace,Racial Stock,CONSTRAINS,exp_level,Class Level Limits,expanded level limit table,,UA,8,CHARACTER RACE TABLE II.,TRUE,page-sweep,optional
sys_ability_scores,Ability Scores,MODIFIES,exp_level,Class Level Limits,high scores raise demihuman caps,,UA,8,CHARACTER RACE TABLE II.,TRUE,page-sweep,optional
race_elf,Elven Subraces,DERIVED_FROM,race_elf,Elf,dark gray high sylvan valley and wild,,UA,9,TABLE II.C: ELVES,TRUE,page-sweep,optional
race_dwarf,Dwarven Subraces,DERIVED_FROM,race_dwarf,Dwarf,expanded dwarven stocks,,UA,10,Dwarves:,TRUE,page-sweep,optional
race_gnome,Gnomish Subraces,DERIVED_FROM,race_gnome,Gnome,expanded gnomish stocks,,UA,11,Gnomes:,TRUE,page-sweep,optional
race_subrace,Subrace,MODIFIES,tbl_racial_preferences,Racial Preferences,expanded preference table,,UA,12,RACIAL PREFERENCES TABLE,TRUE,page-sweep,optional
race_subrace,Subrace,MODIFIES,race_infravision,Infravision,ranges vary by subrace,,UA,10,Dwarves:,TRUE,page-sweep,optional
race_subrace,Subrace,MODIFIES,save_matrix,Saving Throws,resistances vary by subrace,,UA,10,Dwarves:,TRUE,page-sweep,optional
class_cavalier,Cavalier,EXCLUDED_FROM,sys_experience,Prime Requisite Bonus,no prime requisite so no bonus,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
abil_strength,Strength,GATES,class_cavalier,Cavalier,high minimum score,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
abil_dexterity,Dexterity,GATES,class_cavalier,Cavalier,high minimum score,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
abil_constitution,Constitution,GATES,class_cavalier,Cavalier,high minimum score,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
class_cavalier,Cavalier,DERIVED_FROM,cbt_attack_matrix,Fighter Matrix,attacks as a fighter,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
class_cavalier,Cavalier,EXCLUDED_FROM,prof_specialization,Weapon Specialization,cavaliers and paladins are barred,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
class_paladin,Paladin,EXCLUDED_FROM,prof_specialization,Weapon Specialization,barred as a cavalier subclass,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
rule_service,Service to a Deity or Order,GATES,class_cavalier,Cavalier,must serve some higher cause,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
campaign_social_class,Upper Class Status,GATES,class_cavalier,Cavalier,immediate entry requires noble birth,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
campaign_social_class,Lower Social Standing,TRIGGERS,exp_level,Zero Level Grades,must progress through Horseman and Lancer,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
rule_sponsorship,Sponsorship,GATES,class_cavalier,Cavalier,a higher authority must vouch for low-born entrants,,UA,14,THE CAVALIER,TRUE,page-sweep,optional
