id,label,kind,degree,core_degree,in_degree,out_degree,roles
exp_level,Experience Level,exp,172,129,55,117,aggregator|boundary_marker|gated_privilege|gatekeeper|modifier_source|override_source|resolution_machinery|tuning_point
sys_alignment,Alignment,sys,105,85,47,58,aggregator|gated_privilege|gatekeeper|modifier_source|trigger_source|tuning_point
magic_resistance,Magic Resistance,magic,97,92,92,5,accumulator|tuning_point
money_gp,Money,money,89,83,70,19,advancement_currency|aggregator|modifier_source|resource|tuning_point
rule_deity,Deity,rule,69,41,33,36,aggregator|gated_privilege|gatekeeper|modifier_source|trigger_source|triggered_procedure|tuning_point
rule_time,Time,rule,68,56,46,22,gatekeeper|resource|sink
rule_hit_points,Hit Points,rule,67,49,46,21,advancement_currency|modifier_source|tuning_point
cbt_damage,Damage,cbt,67,41,58,9,aggregator|override_source|triggered_procedure|tuning_point
abil_strength,Strength,abil,65,58,26,39,gatekeeper|modifier_source|tuning_point
save_matrix,Saving Throw Matrix,save,65,50,54,11,aggregator|gatekeeper|tuning_point
cbt_melee,Melee Combat,cbt,62,48,52,10,gated_privilege|trigger_source|triggered_procedure
item_magic_weapon,Magic Weapon,item,61,45,45,16,gated_privilege|modifier_source
ex_movement_rate,Movement Rate,ex,60,43,49,11,boundary_marker|gated_privilege|resolution_machinery|tuning_point
sys_classes,Character Class,sys,59,51,25,34,boundary_marker|gated_privilege|gatekeeper|modifier_source|resolution_machinery
gen_random_encounter,Random Encounters,gen,59,52,38,21,aggregator|gated_privilege|trigger_source|triggered_procedure
rule_dm_discretion,DM Discretion,rule,58,40,5,53,gatekeeper|modifier_source|override_source
cbt_pummel_grapple,Pummeling Grappling and Overbearing,cbt,58,36,44,14,aggregator|boundary_marker|gated_privilege|tuning_point
save_poison,Saving Throw vs Poison,save,54,40,52,2,accumulator|triggered_procedure|tuning_point
sys_equipment,Equipment,sys,52,44,37,15,aggregator|boundary_marker|consumer|gated_privilege|logistical_burden|wealth_sink
abil_dexterity,Dexterity,abil,51,43,15,36,gatekeeper|modifier_source|tuning_point
cbt_tohit,To-Hit Roll,cbt,51,37,49,2,accumulator|resolution_machinery|tuning_point
item_magic_item,Magic Device,item,50,38,24,26,advancement_currency|aggregator|gated_privilege|modifier_source|override_source
race_any,Race,race,49,36,7,42,gated_privilege|gatekeeper|modifier_source|wealth_sink
